,gt,pred,de
0,0.011145599,-0.005940549,False
12126,-0.090385556,-0.03148532,False
12127,0.0806986,-0.04396458,False
12128,0.054502234,-0.018162578,False
12129,0.09240113,0.014255758,False
12130,-0.10652181,-0.14163753,False
12131,-0.0102479765,-0.0102479765,False
12132,-0.0045059593,-0.0045059593,False
12133,0.02192814,0.0,False
12134,0.0,0.0007441138,False
12135,-0.06483972,-0.06322166,False
12136,0.15941167,0.021344423,False
12137,0.020622093,-0.023047596,False
12138,0.030886061,0.005110368,False
12139,0.0,0.0,False
12140,-0.011636371,-0.02866847,False
12141,-0.007314071,-0.009885915,False
12142,0.0,0.0,False
12157,0.087200314,-0.01858015,False
12156,0.032526426,-0.020699099,False
12155,0.0,0.0,False
12154,0.061200883,0.015554469,False
12153,0.02384661,0.0,False
12152,-0.02457264,-0.026105464,False
12125,0.05650413,-0.05113083,False
12151,0.020190481,-0.0033912933,False
12149,0.054711163,0.03374034,False
12147,-0.78668547,-2.5917466,False
12146,0.002694128,-0.019435441,False
12145,-0.022837669,0.010727316,False
12144,-0.25382417,-0.38038713,False
12143,0.028905883,-0.010088243,False
12150,0.09468794,-0.059042275,False
12124,-0.11677152,-0.009842157,False
12123,-0.14908266,-0.058650374,False
12122,0.11078498,0.0154449195,False
12103,0.26147956,-0.06124848,False
12102,0.040094614,0.038836777,False
12101,0.2855955,-0.03178677,False
12100,-2.3782253e-05,0.035644576,False
12099,-0.012190737,-0.045278806,False
12098,-0.2666155,-0.103022575,False
12104,-0.29944974,-0.097504735,False
12097,-0.021172836,-0.021172836,False
12095,-0.02344077,0.00966537,False
12094,-0.00830636,-0.006199311,False
12093,-0.023296872,-0.0031853914,False
12092,-0.19960207,0.013541341,False
12091,0.008085494,-0.014694457,False
12090,0.18003422,0.0051661134,False
12096,0.14159004,0.0119837,False
12158,0.015319221,-0.042807877,False
12105,-0.16151369,-0.09109938,False
12107,0.06948587,0.005516529,False
12121,0.01992484,-0.0026325746,False
12120,0.024456669,0.015702687,False
12119,0.0,0.0,False
12118,0.15137784,0.020908788,False
12117,0.019193754,0.040699914,False
12116,-0.054174215,-0.04150918,False
12106,-0.018243877,-0.03917891,False
12115,0.0020257533,0.050909787,False
12113,-0.036478426,0.015146628,False
12112,-0.047027424,-0.0017439723,False
12111,-0.027108908,-0.04323697,False
12110,0.058139384,0.043687582,False
12109,-0.01774822,0.010250095,False
12108,0.0021717884,0.011622265,False
12114,-0.124375165,-0.093269706,False
12089,-0.17002167,-0.0018132627,False
12159,-0.005143561,0.003459374,False
12161,-0.013590224,0.009723753,False
12198,0.16717947,-0.078027666,False
12199,-0.47021914,-0.10868931,False
12200,-0.14898825,-0.040291548,False
12201,0.034368806,-0.007778503,False
12202,0.007223062,-0.008346375,False
12203,0.010099305,-0.007877447,False
12204,-0.007131047,-0.007131047,False
12205,-0.012414634,0.0149190575,False
12206,-0.061159924,-0.022124816,False
12207,0.014766466,-0.008574374,False
12208,-0.12711269,0.07447219,False
12209,-0.004802211,-0.004802211,False
12210,0.07465911,-0.0014658049,False
12211,-0.46684813,-0.16733217,False
12212,0.16459316,0.040468037,False
12213,-0.025968261,-0.00743223,False
12214,-0.0033912933,0.0029448252,False
12228,-0.48547125,-0.13981271,False
12227,0.008107197,-0.012577696,False
12226,0.056305133,-0.006456457,False
12225,0.006090343,0.14575201,False
12224,0.03225258,-0.06291859,False
12223,0.07685,0.04343745,False
12197,0.0,0.0,False
12222,0.10986352,-0.19067502,False
12220,-0.0050021075,-0.0050021075,False
12219,0.02191622,0.0,False
12218,0.08854057,-0.00795652,False
12217,0.0,0.0,False
12216,0.021665297,0.0,False
12215,0.02258691,0.0,False
12221,-0.029078154,-0.027677273,False
12196,-0.7158121,0.030189395,False
12195,0.06511605,0.11918548,False
12194,-0.0062266327,-0.02875698,False
12175,-0.023594797,-0.014175184,False
12174,0.0,0.0,False
12173,-0.030438034,-0.040697277,False
12172,-0.004503161,-0.004503161,False
12171,0.007992066,0.020068645,False
12170,0.014227437,-0.021930153,False
12176,-0.0028657522,-0.016281765,False
12169,0.05597523,-0.012677967,False
12167,-0.066161126,0.007131189,False
12166,0.09780286,0.012748182,False
12165,-0.7930262,-0.26454163,False
12164,-0.18925211,-0.06184432,False
12163,-0.0015889481,0.020725973,False
12162,-0.035895262,0.003178537,False
12168,-0.017166898,0.035205245,False
12160,0.0,0.0010252108,False
12177,-0.010007545,-0.061434604,False
12179,0.042406835,0.004234556,False
12193,0.031962566,-0.0093706995,False
12192,-0.41427135,0.04111594,False
12191,-0.07038352,0.05206263,False
12190,-0.019327426,0.0047745965,False
12189,-0.010486239,-0.008578977,False
12188,-0.017591327,-0.041064095,False
12178,0.014128552,0.01296134,False
12187,-0.07676583,-0.17930095,False
12185,0.0,0.0026187217,False
12184,0.014163798,-0.00879918,False
12183,-0.15618241,-0.15315461,False
12182,0.06494777,0.009069547,False
12181,-0.12078637,-0.3128086,False
12180,-0.009961537,-0.009961537,False
12186,0.062170744,0.0055094957,False
12229,-0.0699161,-0.06292169,False
12088,-0.021795087,0.013169438,False
12086,0.15629476,0.03579676,False
11984,-0.025682107,0.01744634,False
11985,0.15437824,0.03110516,False
11986,-0.09332284,-0.044034153,False
11987,-0.97420233,-0.14588428,False
11988,0.08104794,0.08939792,False
11989,0.117213726,0.032921374,False
11990,-0.36592925,-0.14580643,False
11991,-0.4278456,-0.17992723,False
11992,-0.4134934,-0.355479,False
11993,-0.041551564,-0.021350779,False
11994,0.0381421,-0.16487856,False
11995,-0.11963743,-0.07425642,False
11996,-0.23365068,0.014787197,False
11997,-0.03388792,-0.009833284,False
11998,0.009163407,-0.0136294,False
11999,-0.00763466,-0.033242278,False
12000,0.13747633,0.045197427,False
12014,-0.4002961,-0.06676364,False
12013,-0.101317525,0.017210245,False
12012,0.14881778,-0.15420783,False
12011,-0.11990982,-0.05549699,False
12010,0.047041297,-0.0530836,False
12009,0.034115314,-0.09682095,False
11983,-0.1504732,-0.027520597,False
12008,0.038685083,0.027768016,False
12006,-0.17427798,-0.016790837,False
12005,-0.08177233,0.061897635,False
12004,-0.031675257,-0.016941048,False
12003,0.079279244,-0.1075249,False
12002,-0.3793471,-0.20786428,False
12001,-0.049651504,-0.008699387,False
12007,0.102313034,0.032143943,False
11982,0.21051025,-0.011069775,False
11981,-0.03439644,-0.05987923,False
11980,0.0730876,-0.05980763,False
11960,0.018640898,-0.05043503,False
11959,-0.0012047924,-0.00010664761,False
11958,0.0024066456,-0.0026407726,False
11957,-0.60245943,-0.063289165,False
11955,0.03741841,-0.0011876747,False
11954,-0.18524611,-0.05680442,False
11962,-0.011326591,-0.01679788,False
11952,-0.09011234,0.03484255,False
11950,-0.48006523,-0.2555759,False
11949,0.078514576,0.0007839203,False
11948,-0.10979205,-0.00029110909,False
11947,-0.48454928,-0.28024483,False
11946,-0.4055735,-0.12880158,False
11945,0.039128527,0.028922118,False
11951,0.072411016,-0.0060905293,False
12015,-0.02280654,0.041011892,False
11963,-0.005755715,-0.047689293,False
11965,-0.036023274,0.036605954,False
11979,0.089945525,-0.06502381,False
11978,-0.2636487,-0.04296893,False
11977,-0.0033912933,-0.0011072606,False
11976,-0.4497527,-0.21070075,False
11975,-1.5312965,-0.16851425,False
11974,0.008188844,-0.02667433,False
11964,0.07972114,0.047440395,False
11973,-0.020727322,-0.03155364,False
11971,0.035773486,-0.016171724,False
11970,-0.06123437,0.0033934712,False
11969,0.06592524,0.060869753,False
11968,0.0014861096,-0.024503611,False
11967,0.0037939958,-0.007550277,False
11966,-0.082405746,-0.036355555,False
11972,-0.009039648,-0.009039648,False
12087,-0.04759366,-0.012340497,False
12016,0.0684976,-0.021270946,False
12018,0.050733566,0.0034729242,False
12055,-0.040440984,-0.020935446,False
12056,-0.03714991,-0.015705528,False
12057,0.0058596786,-0.01820798,False
12058,0.0015817061,0.046422772,False
12059,0.01680918,0.003757298,False
12060,0.013423085,-0.03895086,False
12061,0.021117091,0.0043905377,False
12062,-0.16160452,-0.045081615,False
12063,-0.037600845,5.9351325e-05,False
12064,-0.17834672,-0.1336171,False
12065,-0.045297235,-0.017635107,False
12066,-0.015097231,0.015313953,False
12067,0.012157708,-0.033744633,False
12068,0.10066217,-0.020241022,False
12069,-0.075616874,-0.025895633,False
12070,0.068755865,0.024149299,False
12071,0.121619575,0.032427505,False
12085,-0.052120917,-0.009864032,False
12084,0.23761451,0.016220927,False
12083,0.1772427,-0.016523838,False
12082,-0.006138563,0.123962075,False
12081,-0.07128286,-0.015560091,False
12080,-0.6047987,-0.18037033,False
12054,0.038760915,-0.010627113,False
12079,0.045191765,0.07664728,False
12077,0.00053551793,-0.038366735,False
12076,-0.06258044,-0.014531016,False
12075,0.054792948,0.049039416,False
12074,0.055755652,-0.01779002,False
12073,0.19625384,0.033690423,False
12072,-0.15650722,-0.11078629,False
12078,0.018834447,-0.0035172813,False
12053,-0.004784322,-0.0037758998,False
12052,-0.042576484,-0.030406162,False
12051,-0.03610146,-0.038321257,False
12032,-0.6568904,0.09603274,False
12031,-0.05780475,-0.017692208,False
12030,0.11229845,-0.020584285,False
12029,0.046178572,0.057037987,False
12028,-0.10329558,-0.024375409,False
12027,-0.037029333,-0.011512712,False
12033,-0.083798826,-0.0012508035,False
12026,-0.004728931,-0.004728931,False
12024,-0.008782454,-0.005878711,False
12023,-0.01909254,-0.012174012,False
12022,0.043047488,-0.007496983,False
12021,0.002792783,0.016456567,False
12020,-0.08148754,-0.09276509,False
12019,-0.025185235,0.016772904,False
12025,0.014325639,-0.009988271,False
12017,-0.04225627,-0.09883206,False
12034,-0.043199696,-0.042873852,False
