pos_ratio,model,cov_drug,cell_type
0.9466666666666667,DIFFCRISP,B cells_Belinostat,B cells
0.7999999999999999,DIFFCRISP,B cells_CHIR99021,B cells
0.98,DIFFCRISP,B cells_Crizotinib,B cells
0.64,DIFFCRISP,B cells_Dabrafenib,B cells
0.9733333333333333,DIFFCRISP,B cells_Dactolisib,B cells
0.98,DIFFCRISP,B cells_Foretinib,B cells
0.98,DIFFCRISP,B cells_Idelalisib,B cells
0.98,DIFFCRISP,B cells_LDN193189,B cells
0.9666666666666667,DIFFCRISP,B cells_Linagliptin,B cells
0.8866666666666667,DIFFCRISP,B cells_ODemethylatedAdapalene,B cells
0.9666666666666667,DIFFCRISP,B cells_Palbociclib,B cells
0.9133333333333334,DIFFCRISP,B cells_Penfluridol,B cells
0.9533333333333333,DIFFCRISP,B cells_PorcnInhibitorIII,B cells
0.8933333333333332,DIFFCRISP,B cells_R428,B cells
0.84,DIFFCRISP,Myeloid cells_Belinostat,Myeloid cells
0.7866666666666667,DIFFCRISP,Myeloid cells_CHIR99021,Myeloid cells
0.9933333333333333,DIFFCRISP,Myeloid cells_Crizotinib,Myeloid cells
0.44,DIFFCRISP,Myeloid cells_Dabrafenib,Myeloid cells
0.9133333333333334,DIFFCRISP,Myeloid cells_Dactolisib,Myeloid cells
0.9866666666666667,DIFFCRISP,Myeloid cells_Foretinib,Myeloid cells
0.96,DIFFCRISP,Myeloid cells_Idelalisib,Myeloid cells
0.7200000000000001,DIFFCRISP,Myeloid cells_LDN193189,Myeloid cells
0.9533333333333333,DIFFCRISP,Myeloid cells_Linagliptin,Myeloid cells
0.96,DIFFCRISP,Myeloid cells_MLN2238,Myeloid cells
0.8466666666666667,DIFFCRISP,Myeloid cells_ODemethylatedAdapalene,Myeloid cells
0.96,DIFFCRISP,Myeloid cells_Palbociclib,Myeloid cells
0.98,DIFFCRISP,Myeloid cells_Penfluridol,Myeloid cells
0.48666666666666664,DIFFCRISP,Myeloid cells_PorcnInhibitorIII,Myeloid cells
0.5933333333333333,DIFFCRISP,Myeloid cells_R428,Myeloid cells
0.96,DIFFCRISP,NK cells_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,NK cells
1.0,DIFFCRISP,NK cells_ABT199GDC0199,NK cells
0.96,DIFFCRISP,NK cells_ABT737,NK cells
0.9866666666666667,DIFFCRISP,NK cells_AMD070hydrochloride,NK cells
0.8466666666666667,DIFFCRISP,NK cells_AT13387,NK cells
0.98,DIFFCRISP,NK cells_AT7867,NK cells
0.9866666666666667,DIFFCRISP,NK cells_AVL292,NK cells
1.0,DIFFCRISP,NK cells_AZ628,NK cells
1.0,DIFFCRISP,NK cells_AZD3514,NK cells
0.9933333333333333,DIFFCRISP,NK cells_AZD4547,NK cells
0.9866666666666667,DIFFCRISP,NK cells_AZD8330,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Alogliptin,NK cells
0.8533333333333334,DIFFCRISP,NK cells_Alvocidib,NK cells
0.98,DIFFCRISP,NK cells_Amiodarone,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Atorvastatin,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Azacitidine,NK cells
0.94,DIFFCRISP,NK cells_BAY613606,NK cells
0.9733333333333333,DIFFCRISP,NK cells_BAY872243,NK cells
1.0,DIFFCRISP,NK cells_BID1870,NK cells
0.86,DIFFCRISP,NK cells_BMS265246,NK cells
0.9666666666666667,DIFFCRISP,NK cells_BMS387032,NK cells
0.9666666666666667,DIFFCRISP,NK cells_BMS536924,NK cells
0.9733333333333333,DIFFCRISP,NK cells_BMS777607,NK cells
0.98,DIFFCRISP,NK cells_BX912,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Belinostat,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Bosutinib,NK cells
1.0,DIFFCRISP,NK cells_Buspirone,NK cells
0.9666666666666667,DIFFCRISP,NK cells_CC401,NK cells
0.9866666666666667,DIFFCRISP,NK cells_CEP37440,NK cells
0.9866666666666667,DIFFCRISP,NK cells_CGM097,NK cells
0.9133333333333334,DIFFCRISP,NK cells_CGP60474,NK cells
0.9866666666666667,DIFFCRISP,NK cells_CHIR99021,NK cells
0.98,DIFFCRISP,NK cells_Cabozantinib,NK cells
0.9133333333333334,DIFFCRISP,NK cells_Canertinib,NK cells
1.0,DIFFCRISP,NK cells_Ceritinib,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Chlorpheniramine,NK cells
0.98,DIFFCRISP,NK cells_Clemastine,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Clomipramine,NK cells
1.0,DIFFCRISP,NK cells_Clotrimazole,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Colchicine,NK cells
0.98,DIFFCRISP,NK cells_Colforsin,NK cells
0.96,DIFFCRISP,NK cells_Crizotinib,NK cells
0.7399999999999999,DIFFCRISP,NK cells_Dabrafenib,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Dactolisib,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Dasatinib,NK cells
1.0,DIFFCRISP,NK cells_Decitabine,NK cells
0.9333333333333332,DIFFCRISP,NK cells_Defactinib,NK cells
0.98,DIFFCRISP,NK cells_Desloratadine,NK cells
1.0,DIFFCRISP,NK cells_Disulfiram,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Dovitinib,NK cells
0.9400000000000001,DIFFCRISP,NK cells_Doxorubicin,NK cells
0.9666666666666667,DIFFCRISP,NK cells_FK866,NK cells
0.9533333333333333,DIFFCRISP,NK cells_Flutamide,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Foretinib,NK cells
0.98,DIFFCRISP,NK cells_GLPG0634,NK cells
0.9933333333333333,DIFFCRISP,NK cells_GO6976,NK cells
0.9933333333333333,DIFFCRISP,NK cells_GSK1070916,NK cells
0.9,DIFFCRISP,NK cells_GSK256066,NK cells
0.9066666666666667,DIFFCRISP,NK cells_GW843682X,NK cells
0.8666666666666667,DIFFCRISP,NK cells_GanetespibSTA9090,NK cells
0.9733333333333333,DIFFCRISP,NK cells_HMN214,NK cells
0.98,DIFFCRISP,NK cells_HYDROXYUREA,NK cells
0.96,DIFFCRISP,NK cells_IBET151,NK cells
1.0,DIFFCRISP,NK cells_IKKInhibitorVII,NK cells
