,pos_ratio,model,cov_drug,cell_type
0,0.7400000095367432,CRISP,Myeloid cells_Belinostat,Myeloid cells
1,0.7400000095367432,CRISP,Myeloid cells_CHIR99021,Myeloid cells
2,0.7599999904632568,CRISP,Myeloid cells_Crizotinib,Myeloid cells
3,0.6800000071525574,CRISP,Myeloid cells_Dabrafenib,Myeloid cells
4,0.7799999713897705,CRISP,Myeloid cells_Dactolisib,Myeloid cells
5,0.7799999713897705,CRISP,Myeloid cells_Foretinib,Myeloid cells
6,0.8600000143051147,CRISP,Myeloid cells_Idelalisib,Myeloid cells
7,0.9399999976158142,CRISP,Myeloid cells_LDN193189,Myeloid cells
8,0.8399999737739563,CRISP,Myeloid cells_Linagliptin,Myeloid cells
9,0.8199999928474426,CRISP,Myeloid cells_ODemethylatedAdapalene,Myeloid cells
10,0.7799999713897705,CRISP,Myeloid cells_Palbociclib,Myeloid cells
11,0.8600000143051147,CRISP,Myeloid cells_Penfluridol,Myeloid cells
12,0.25999999046325684,CRISP,Myeloid cells_PorcnInhibitorIII,Myeloid cells
13,0.2199999988079071,CRISP,Myeloid cells_R428,Myeloid cells
14,0.9200000166893005,CRISP,T regulatory cells_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,T regulatory cells
15,0.4000000059604645,CRISP,T regulatory cells_ABT199GDC0199,T regulatory cells
16,0.41999998688697815,CRISP,T regulatory cells_ABT737,T regulatory cells
17,0.6600000262260437,CRISP,T regulatory cells_AMD070hydrochloride,T regulatory cells
18,0.9800000190734863,CRISP,T regulatory cells_AT13387,T regulatory cells
19,0.7200000286102295,CRISP,T regulatory cells_AT7867,T regulatory cells
20,0.6600000262260437,CRISP,T regulatory cells_AVL292,T regulatory cells
21,0.6600000262260437,CRISP,T regulatory cells_AZ628,T regulatory cells
22,0.41999998688697815,CRISP,T regulatory cells_AZD3514,T regulatory cells
23,0.4399999976158142,CRISP,T regulatory cells_AZD4547,T regulatory cells
24,0.699999988079071,CRISP,T regulatory cells_AZD8330,T regulatory cells
25,0.46000000834465027,CRISP,T regulatory cells_Alogliptin,T regulatory cells
26,0.9599999785423279,CRISP,T regulatory cells_Alvocidib,T regulatory cells
27,0.3400000035762787,CRISP,T regulatory cells_Amiodarone,T regulatory cells
28,0.5,CRISP,T regulatory cells_Atorvastatin,T regulatory cells
29,0.3199999928474426,CRISP,T regulatory cells_Azacitidine,T regulatory cells
30,0.9800000190734863,CRISP,T regulatory cells_BAY613606,T regulatory cells
31,0.8799999952316284,CRISP,T regulatory cells_BAY872243,T regulatory cells
32,0.41999998688697815,CRISP,T regulatory cells_BID1870,T regulatory cells
33,0.6000000238418579,CRISP,T regulatory cells_BMS265246,T regulatory cells
34,1.0,CRISP,T regulatory cells_BMS387032,T regulatory cells
35,0.9399999976158142,CRISP,T regulatory cells_BMS536924,T regulatory cells
36,0.6000000238418579,CRISP,T regulatory cells_BMS777607,T regulatory cells
37,0.8199999928474426,CRISP,T regulatory cells_BX912,T regulatory cells
38,0.8399999737739563,CRISP,T regulatory cells_Belinostat,T regulatory cells
39,0.8399999737739563,CRISP,T regulatory cells_Bosutinib,T regulatory cells
40,0.6000000238418579,CRISP,T regulatory cells_Buspirone,T regulatory cells
41,0.6200000047683716,CRISP,T regulatory cells_CC401,T regulatory cells
42,0.5400000214576721,CRISP,T regulatory cells_CEP37440,T regulatory cells
43,0.6800000071525574,CRISP,T regulatory cells_CGM097,T regulatory cells
44,0.8999999761581421,CRISP,T regulatory cells_CGP60474,T regulatory cells
45,0.5400000214576721,CRISP,T regulatory cells_CHIR99021,T regulatory cells
46,0.3799999952316284,CRISP,T regulatory cells_Cabozantinib,T regulatory cells
47,0.6200000047683716,CRISP,T regulatory cells_Canertinib,T regulatory cells
48,0.6399999856948853,CRISP,T regulatory cells_Ceritinib,T regulatory cells
49,0.7599999904632568,CRISP,T regulatory cells_Chlorpheniramine,T regulatory cells
50,0.5400000214576721,CRISP,T regulatory cells_Clemastine,T regulatory cells
51,0.5,CRISP,T regulatory cells_Clomipramine,T regulatory cells
52,0.7599999904632568,CRISP,T regulatory cells_Clotrimazole,T regulatory cells
53,0.5199999809265137,CRISP,T regulatory cells_Colchicine,T regulatory cells
54,0.47999998927116394,CRISP,T regulatory cells_Colforsin,T regulatory cells
55,0.7599999904632568,CRISP,T regulatory cells_Crizotinib,T regulatory cells
56,0.7599999904632568,CRISP,T regulatory cells_Dabrafenib,T regulatory cells
57,0.8999999761581421,CRISP,T regulatory cells_Dactolisib,T regulatory cells
58,0.9599999785423279,CRISP,T regulatory cells_Dasatinib,T regulatory cells
59,0.5400000214576721,CRISP,T regulatory cells_Decitabine,T regulatory cells
60,0.46000000834465027,CRISP,T regulatory cells_Defactinib,T regulatory cells
61,0.6000000238418579,CRISP,T regulatory cells_Desloratadine,T regulatory cells
62,0.47999998927116394,CRISP,T regulatory cells_Disulfiram,T regulatory cells
63,0.699999988079071,CRISP,T regulatory cells_Dovitinib,T regulatory cells
64,0.7400000095367432,CRISP,T regulatory cells_Doxorubicin,T regulatory cells
65,0.6800000071525574,CRISP,T regulatory cells_FK866,T regulatory cells
66,0.3799999952316284,CRISP,T regulatory cells_Flutamide,T regulatory cells
67,0.6800000071525574,CRISP,T regulatory cells_Foretinib,T regulatory cells
68,0.9800000190734863,CRISP,T regulatory cells_GLPG0634,T regulatory cells
69,0.4399999976158142,CRISP,T regulatory cells_GO6976,T regulatory cells
70,0.6600000262260437,CRISP,T regulatory cells_GSK1070916,T regulatory cells
71,0.6600000262260437,CRISP,T regulatory cells_GSK256066,T regulatory cells
72,0.46000000834465027,CRISP,T regulatory cells_GW843682X,T regulatory cells
73,0.5199999809265137,CRISP,T regulatory cells_HMN214,T regulatory cells
74,0.7599999904632568,CRISP,T regulatory cells_HYDROXYUREA,T regulatory cells
75,0.8600000143051147,CRISP,T regulatory cells_IBET151,T regulatory cells
76,0.8999999761581421,CRISP,T regulatory cells_IKKInhibitorVII,T regulatory cells
77,0.8999999761581421,CRISP,T regulatory cells_IMD0354,T regulatory cells
78,1.0,CRISP,T regulatory cells_IN1451,T regulatory cells
79,0.800000011920929,CRISP,T regulatory cells_Idelalisib,T regulatory cells
80,0.5199999809265137,CRISP,T regulatory cells_Imatinib,T regulatory cells
81,0.4399999976158142,CRISP,T regulatory cells_Isoniazid,T regulatory cells
82,0.5400000214576721,CRISP,T regulatory cells_Ixabepilone,T regulatory cells
83,0.5799999833106995,CRISP,T regulatory cells_K02288,T regulatory cells
84,0.5600000023841858,CRISP,T regulatory cells_Ketoconazole,T regulatory cells
85,0.5400000214576721,CRISP,T regulatory cells_LDN193189,T regulatory cells
86,0.6800000071525574,CRISP,T regulatory cells_LY2090314,T regulatory cells
87,0.47999998927116394,CRISP,T regulatory cells_Lamivudine,T regulatory cells
88,0.5199999809265137,CRISP,T regulatory cells_Lapatinib,T regulatory cells
89,0.36000001430511475,CRISP,T regulatory cells_Linagliptin,T regulatory cells
90,0.41999998688697815,CRISP,T regulatory cells_MGCD265,T regulatory cells
91,0.5199999809265137,CRISP,T regulatory cells_MK5108,T regulatory cells
92,0.5799999833106995,CRISP,T regulatory cells_Masitinib,T regulatory cells
93,0.5600000023841858,CRISP,T regulatory cells_Methotrexate,T regulatory cells
94,0.9800000190734863,CRISP,T regulatory cells_Midostaurin,T regulatory cells
95,0.8199999928474426,CRISP,T regulatory cells_MometasoneFuroate,T regulatory cells
96,0.800000011920929,CRISP,T regulatory cells_MubritinibTAK165,T regulatory cells
97,0.5400000214576721,CRISP,T regulatory cells_Navitoclax,T regulatory cells
98,0.5,CRISP,T regulatory cells_Nefazodone,T regulatory cells
99,0.7599999904632568,CRISP,T regulatory cells_Nilotinib,T regulatory cells
100,0.6000000238418579,CRISP,T regulatory cells_ODemethylatedAdapalene,T regulatory cells
101,0.6800000071525574,CRISP,T regulatory cells_OSI930,T regulatory cells
102,1.0,CRISP,T regulatory cells_OprozomibONX0912,T regulatory cells
103,0.5,CRISP,T regulatory cells_Oxybenzone,T regulatory cells
104,0.5199999809265137,CRISP,T regulatory cells_PD0325901,T regulatory cells
105,0.8199999928474426,CRISP,T regulatory cells_PF03814735,T regulatory cells
106,1.0,CRISP,T regulatory cells_PF04691502,T regulatory cells
107,0.8600000143051147,CRISP,T regulatory cells_PRT062607,T regulatory cells
108,0.5600000023841858,CRISP,T regulatory cells_Palbociclib,T regulatory cells
109,0.47999998927116394,CRISP,T regulatory cells_Penfluridol,T regulatory cells
110,0.8600000143051147,CRISP,T regulatory cells_Perhexiline,T regulatory cells
111,0.7799999713897705,CRISP,T regulatory cells_Phenylbutazone,T regulatory cells
112,0.5199999809265137,CRISP,T regulatory cells_PitavastatinCalcium,T regulatory cells
113,0.4399999976158142,CRISP,T regulatory cells_Pomalidomide,T regulatory cells
114,0.5,CRISP,T regulatory cells_PorcnInhibitorIII,T regulatory cells
115,0.7599999904632568,CRISP,T regulatory cells_Prednisolone,T regulatory cells
116,0.4000000059604645,CRISP,T regulatory cells_Protriptyline,T regulatory cells
117,0.5799999833106995,CRISP,T regulatory cells_Quizartinib,T regulatory cells
118,0.6200000047683716,CRISP,T regulatory cells_R428,T regulatory cells
119,0.699999988079071,CRISP,T regulatory cells_RG7090,T regulatory cells
120,0.5799999833106995,CRISP,T regulatory cells_RG7112,T regulatory cells
121,0.47999998927116394,CRISP,T regulatory cells_RN486,T regulatory cells
122,0.6200000047683716,CRISP,T regulatory cells_RVX208,T regulatory cells
123,0.5799999833106995,CRISP,T regulatory cells_Raloxifene,T regulatory cells
124,0.7799999713897705,CRISP,T regulatory cells_Resminostat,T regulatory cells
125,0.6600000262260437,CRISP,T regulatory cells_Ricolinostat,T regulatory cells
126,0.5,CRISP,T regulatory cells_Riociguat,T regulatory cells
127,0.8199999928474426,CRISP,T regulatory cells_Ruxolitinib,T regulatory cells
128,0.5600000023841858,CRISP,T regulatory cells_SB525334,T regulatory cells
129,0.5600000023841858,CRISP,T regulatory cells_SCH58261,T regulatory cells
130,0.5600000023841858,CRISP,T regulatory cells_SLx2119,T regulatory cells
131,0.5600000023841858,CRISP,T regulatory cells_STK219801,T regulatory cells
132,0.8199999928474426,CRISP,T regulatory cells_Saracatinib,T regulatory cells
133,0.7200000286102295,CRISP,T regulatory cells_Selumetinib,T regulatory cells
134,0.5600000023841858,CRISP,T regulatory cells_Sgccbp30,T regulatory cells
135,0.7400000095367432,CRISP,T regulatory cells_Sunitinib,T regulatory cells
136,0.699999988079071,CRISP,T regulatory cells_TGX221,T regulatory cells
137,0.5600000023841858,CRISP,T regulatory cells_TIE2KinaseInhibitor,T regulatory cells
138,0.4399999976158142,CRISP,T regulatory cells_TLHRAS26,T regulatory cells
139,0.9399999976158142,CRISP,T regulatory cells_TPCA1,T regulatory cells
140,0.5799999833106995,CRISP,T regulatory cells_TR14035,T regulatory cells
141,0.8399999737739563,CRISP,T regulatory cells_Tacalcitol,T regulatory cells
142,0.8199999928474426,CRISP,T regulatory cells_Tamatinib,T regulatory cells
143,0.46000000834465027,CRISP,T regulatory cells_Tipifarnib,T regulatory cells
144,0.5400000214576721,CRISP,T regulatory cells_Tivantinib,T regulatory cells
145,0.5799999833106995,CRISP,T regulatory cells_Tivozanib,T regulatory cells
146,0.800000011920929,CRISP,T regulatory cells_Topotecan,T regulatory cells
147,0.5199999809265137,CRISP,T regulatory cells_Tosedostat,T regulatory cells
148,0.6399999856948853,CRISP,T regulatory cells_Trametinib,T regulatory cells
149,0.8799999952316284,CRISP,T regulatory cells_UNIIBXU45ZH6LI,T regulatory cells
150,0.5600000023841858,CRISP,T regulatory cells_Vandetanib,T regulatory cells
151,0.8799999952316284,CRISP,T regulatory cells_Vanoxerine,T regulatory cells
152,0.7799999713897705,CRISP,T regulatory cells_Vardenafil,T regulatory cells
153,0.699999988079071,CRISP,T regulatory cells_YK4279,T regulatory cells
154,0.6600000262260437,CRISP,B cells_Belinostat,B cells
155,0.5799999833106995,CRISP,B cells_CHIR99021,B cells
156,0.8999999761581421,CRISP,B cells_Crizotinib,B cells
157,0.4000000059604645,CRISP,B cells_Dabrafenib,B cells
158,0.8999999761581421,CRISP,B cells_Dactolisib,B cells
159,0.8600000143051147,CRISP,B cells_Foretinib,B cells
160,0.800000011920929,CRISP,B cells_Idelalisib,B cells
161,0.7200000286102295,CRISP,B cells_LDN193189,B cells
162,0.6800000071525574,CRISP,B cells_Linagliptin,B cells
163,0.6399999856948853,CRISP,B cells_ODemethylatedAdapalene,B cells
