exp,label
7.318604,CRISP
7.4595113,CRISP
7.4622736,CRISP
7.3358083,CRISP
7.3057685,CRISP
7.4135303,CRISP
7.12515,CRISP
7.1487074,CRISP
7.4119687,CRISP
7.303522,CRISP
7.207384,CRISP
7.292085,CRISP
7.1908283,CRISP
6.7964892,CRISP
7.1851616,CRISP
7.269663,CRISP
6.930312,CRISP
7.2429533,CRISP
7.614104,CRISP
7.161224,CRISP
7.6034613,CRISP
7.3651876,CRISP
7.6981435,CRISP
7.1113095,CRISP
7.3254147,CRISP
7.4540787,CRISP
7.881758,CRISP
7.217518,CRISP
7.0807014,CRISP
7.7308154,CRISP
7.0466557,CRISP
7.298376,CRISP
7.1917944,CRISP
7.5566735,CRISP
7.19293,CRISP
7.367737,CRISP
7.4116783,CRISP
7.5871468,CRISP
7.211687,CRISP
7.883381,CRISP
7.2020335,CRISP
7.272634,CRISP
7.170938,CRISP
7.0513167,CRISP
7.7271447,CRISP
7.609591,CRISP
7.282312,CRISP
7.2340803,CRISP
7.2914834,CRISP
7.4625087,CRISP
7.3348875,CRISP
7.750759,CRISP
7.1199336,CRISP
7.4855504,CRISP
7.3887777,CRISP
7.429591,CRISP
7.0573683,CRISP
7.7029157,CRISP
7.108379,CRISP
7.0873876,CRISP
6.9838505,CRISP
7.7650194,CRISP
7.2888846,CRISP
7.6364183,CRISP
7.327744,CRISP
7.2963815,CRISP
7.3947306,CRISP
7.297317,CRISP
7.51645,CRISP
7.71101,CRISP
6.547658,CRISP
7.681312,CRISP
6.661031,CRISP
7.3308864,CRISP
7.3735633,CRISP
7.1174245,CRISP
7.0340066,CRISP
7.3211813,CRISP
7.2402225,CRISP
7.679775,CRISP
7.1240873,CRISP
7.0986376,CRISP
7.1930923,CRISP
7.135242,CRISP
7.47913,CRISP
7.352589,CRISP
7.253838,CRISP
7.510208,CRISP
7.9753685,CRISP
7.2792544,CRISP
7.213243,CRISP
7.1877217,CRISP
7.595671,CRISP
7.313449,CRISP
6.895342,CRISP
7.3508296,CRISP
7.3322177,CRISP
7.5401077,CRISP
7.1920247,CRISP
7.3494563,CRISP
7.2229276,CRISP
7.657823,CRISP
7.4023128,CRISP
7.060406,CRISP
7.3121123,CRISP
7.230315,CRISP
7.578604,CRISP
7.3202724,CRISP
7.359509,CRISP
7.0850177,CRISP
7.693447,CRISP
6.9882965,CRISP
7.5490084,CRISP
7.1856704,CRISP
7.347145,CRISP
6.986803,CRISP
7.1837134,CRISP
7.3925347,CRISP
7.2241526,CRISP
7.627518,CRISP
7.0954304,CRISP
6.9931016,CRISP
7.6710496,CRISP
6.9350114,CRISP
7.4406223,CRISP
7.340642,CRISP
7.042442,CRISP
7.3002114,CRISP
7.162553,CRISP
7.3788595,CRISP
7.032389,CRISP
7.5871563,CRISP
7.6979547,CRISP
7.1124315,CRISP
7.4443393,CRISP
7.7321463,CRISP
6.963528,CRISP
7.144039,CRISP
7.2654614,CRISP
7.2402077,CRISP
7.1200066,CRISP
7.550144,CRISP
7.4652247,CRISP
7.0731792,CRISP
7.6479354,CRISP
7.4008617,CRISP
7.2058682,CRISP
6.9180017,CRISP
6.8216395,CRISP
7.1024055,CRISP
