exp,label
9.014817,DIFFCRISP
8.642017,DIFFCRISP
7.829679,DIFFCRISP
7.919225,DIFFCRISP
8.135363,DIFFCRISP
8.100349,DIFFCRISP
7.8592772,DIFFCRISP
7.850953,DIFFCRISP
7.417956,DIFFCRISP
7.9546857,DIFFCRISP
8.000854,DIFFCRISP
7.6956553,DIFFCRISP
8.161333,DIFFCRISP
7.324488,DIFFCRISP
7.933425,DIFFCRISP
7.7003303,DIFFCRISP
7.3937664,DIFFCRISP
8.516945,DIFFCRISP
8.548917,DIFFCRISP
7.338231,DIFFCRISP
7.618315,DIFFCRISP
9.2105055,DIFFCRISP
6.7341795,DIFFCRISP
8.598672,DIFFCRISP
7.674557,DIFFCRISP
7.781527,DIFFCRISP
7.950452,DIFFCRISP
7.55922,DIFFCRISP
8.393038,DIFFCRISP
8.523516,DIFFCRISP
9.107133,DIFFCRISP
8.09977,DIFFCRISP
8.398654,DIFFCRISP
7.800667,DIFFCRISP
8.110959,DIFFCRISP
8.525985,DIFFCRISP
7.329521,DIFFCRISP
8.980439,DIFFCRISP
7.6480303,DIFFCRISP
8.202305,DIFFCRISP
7.4947157,DIFFCRISP
8.388077,DIFFCRISP
7.5726256,DIFFCRISP
7.94387,DIFFCRISP
8.148784,DIFFCRISP
7.499656,DIFFCRISP
7.65797,DIFFCRISP
7.3875785,DIFFCRISP
7.0602684,DIFFCRISP
7.866164,DIFFCRISP
7.7994504,DIFFCRISP
8.0641,DIFFCRISP
7.598525,DIFFCRISP
8.553334,DIFFCRISP
9.106065,DIFFCRISP
7.298661,DIFFCRISP
7.234653,DIFFCRISP
7.863092,DIFFCRISP
8.02988,DIFFCRISP
7.461677,DIFFCRISP
7.8481426,DIFFCRISP
8.864955,DIFFCRISP
7.1731143,DIFFCRISP
8.18039,DIFFCRISP
7.9698553,DIFFCRISP
7.8565545,DIFFCRISP
7.864316,DIFFCRISP
8.228197,DIFFCRISP
7.316154,DIFFCRISP
7.918733,DIFFCRISP
7.44055,DIFFCRISP
8.483359,DIFFCRISP
8.217772,DIFFCRISP
7.6582146,DIFFCRISP
7.0363693,DIFFCRISP
7.3152113,DIFFCRISP
8.189148,DIFFCRISP
9.199874,DIFFCRISP
8.383958,DIFFCRISP
8.076375,DIFFCRISP
7.746934,DIFFCRISP
7.097066,DIFFCRISP
7.560185,DIFFCRISP
8.107247,DIFFCRISP
9.131876,DIFFCRISP
7.580933,DIFFCRISP
8.1174965,DIFFCRISP
8.475932,DIFFCRISP
8.715855,DIFFCRISP
7.7773104,DIFFCRISP
7.5007596,DIFFCRISP
9.089523,DIFFCRISP
7.781695,DIFFCRISP
7.5117497,DIFFCRISP
8.418616,DIFFCRISP
7.1656637,DIFFCRISP
7.163015,DIFFCRISP
7.1746006,DIFFCRISP
7.656946,DIFFCRISP
8.235684,DIFFCRISP
7.2086697,DIFFCRISP
8.264314,DIFFCRISP
8.705988,DIFFCRISP
7.4436865,DIFFCRISP
8.289965,DIFFCRISP
8.534846,DIFFCRISP
7.9850626,DIFFCRISP
6.7823133,DIFFCRISP
7.634308,DIFFCRISP
8.4708605,DIFFCRISP
7.360222,DIFFCRISP
8.0668955,DIFFCRISP
8.386465,DIFFCRISP
8.079647,DIFFCRISP
7.9325943,DIFFCRISP
7.8230767,DIFFCRISP
7.930791,DIFFCRISP
7.8295407,DIFFCRISP
7.464366,DIFFCRISP
7.8041353,DIFFCRISP
7.773429,DIFFCRISP
7.4568377,DIFFCRISP
8.107555,DIFFCRISP
7.823552,DIFFCRISP
7.705858,DIFFCRISP
8.526202,DIFFCRISP
8.111709,DIFFCRISP
7.6564035,DIFFCRISP
7.2376895,DIFFCRISP
8.586909,DIFFCRISP
8.341332,DIFFCRISP
7.8465858,DIFFCRISP
8.190994,DIFFCRISP
8.519111,DIFFCRISP
8.620403,DIFFCRISP
8.145014,DIFFCRISP
7.5277343,DIFFCRISP
7.359267,DIFFCRISP
8.116335,DIFFCRISP
7.6729207,DIFFCRISP
8.406844,DIFFCRISP
7.99769,DIFFCRISP
7.39684,DIFFCRISP
7.857995,DIFFCRISP
7.7743063,DIFFCRISP
7.501937,DIFFCRISP
7.514761,DIFFCRISP
8.238717,DIFFCRISP
8.201508,DIFFCRISP
7.0663104,DIFFCRISP
7.5604877,DIFFCRISP
8.476701,DIFFCRISP
7.6935987,DIFFCRISP
7.855148,DIFFCRISP
7.50492,DIFFCRISP
7.6571684,DIFFCRISP
8.265033,DIFFCRISP
7.3811064,DIFFCRISP
7.8970957,DIFFCRISP
7.7352185,DIFFCRISP
7.7731094,DIFFCRISP
8.966263,DIFFCRISP
7.763601,DIFFCRISP
7.483399,DIFFCRISP
7.6213174,DIFFCRISP
7.4400992,DIFFCRISP
7.431932,DIFFCRISP
8.923446,DIFFCRISP
7.436881,DIFFCRISP
8.275399,DIFFCRISP
8.523991,DIFFCRISP
7.4582376,DIFFCRISP
7.5243626,DIFFCRISP
8.160788,DIFFCRISP
7.3767104,DIFFCRISP
8.609672,DIFFCRISP
7.8863535,DIFFCRISP
7.90784,DIFFCRISP
