exp,label
7.4352555,CRISP
7.6659746,CRISP
7.6547785,CRISP
7.3248134,CRISP
7.4673266,CRISP
7.5746207,CRISP
7.31158,CRISP
7.071759,CRISP
7.5392547,CRISP
7.3644695,CRISP
7.051484,CRISP
7.0622473,CRISP
7.2736597,CRISP
6.8202596,CRISP
7.208533,CRISP
7.317899,CRISP
6.9682097,CRISP
7.381408,CRISP
7.4652343,CRISP
7.267791,CRISP
7.7508807,CRISP
7.518086,CRISP
8.000704,CRISP
7.1914487,CRISP
7.4212084,CRISP
7.365735,CRISP
7.6377883,CRISP
7.274031,CRISP
7.1586323,CRISP
8.032559,CRISP
7.153349,CRISP
7.4382143,CRISP
7.3677473,CRISP
7.782239,CRISP
7.3053856,CRISP
7.544918,CRISP
7.515899,CRISP
7.6913366,CRISP
7.4679236,CRISP
7.68019,CRISP
7.29101,CRISP
7.250631,CRISP
7.3626275,CRISP
7.1146765,CRISP
7.6644073,CRISP
7.601028,CRISP
7.101093,CRISP
7.4257393,CRISP
7.363763,CRISP
7.6460233,CRISP
7.4120035,CRISP
7.6438394,CRISP
7.356369,CRISP
7.690598,CRISP
7.532418,CRISP
7.503603,CRISP
7.2882915,CRISP
8.0077095,CRISP
7.1819954,CRISP
7.333241,CRISP
7.266361,CRISP
7.5383224,CRISP
7.4434876,CRISP
7.759459,CRISP
7.610127,CRISP
7.3768744,CRISP
7.6041183,CRISP
7.4777107,CRISP
7.3892307,CRISP
8.00447,CRISP
6.504831,CRISP
7.509179,CRISP
6.6835294,CRISP
7.431975,CRISP
7.539717,CRISP
7.318573,CRISP
6.9682393,CRISP
7.46189,CRISP
7.0903974,CRISP
7.677164,CRISP
7.37238,CRISP
7.333515,CRISP
7.335392,CRISP
7.380422,CRISP
7.605953,CRISP
7.102,CRISP
7.4017463,CRISP
7.6917925,CRISP
7.6221023,CRISP
7.443686,CRISP
7.322494,CRISP
7.09731,CRISP
7.880925,CRISP
7.4313164,CRISP
7.0453176,CRISP
7.561555,CRISP
7.5229645,CRISP
7.6871085,CRISP
7.3071795,CRISP
7.153012,CRISP
7.3242803,CRISP
7.8037686,CRISP
7.4991384,CRISP
7.2342443,CRISP
7.53332,CRISP
7.4418902,CRISP
7.784978,CRISP
7.50055,CRISP
7.461135,CRISP
7.1574283,CRISP
8.006213,CRISP
6.9072065,CRISP
7.860437,CRISP
7.3694115,CRISP
7.4022512,CRISP
7.2390065,CRISP
7.3604736,CRISP
7.1690273,CRISP
7.3388715,CRISP
7.3601594,CRISP
7.3454576,CRISP
7.0976377,CRISP
7.46155,CRISP
7.182299,CRISP
7.613271,CRISP
7.1941137,CRISP
7.343173,CRISP
7.485348,CRISP
7.2873735,CRISP
7.694095,CRISP
6.966238,CRISP
7.719747,CRISP
7.9836574,CRISP
7.102217,CRISP
7.593092,CRISP
7.72851,CRISP
7.033018,CRISP
7.3526497,CRISP
7.4053507,CRISP
7.4839344,CRISP
7.1729383,CRISP
7.463527,CRISP
7.649087,CRISP
7.138428,CRISP
7.6558113,CRISP
7.5641146,CRISP
7.2751994,CRISP
6.9705734,CRISP
6.8511677,CRISP
7.2601137,CRISP
7.550045,CRISP
7.267831,CRISP
7.187599,CRISP
7.304429,CRISP
7.281035,CRISP
7.3856306,CRISP
7.4847445,CRISP
7.4150867,CRISP
7.2896905,CRISP
7.131935,CRISP
7.2299237,CRISP
7.329385,CRISP
7.6138425,CRISP
7.459995,CRISP
7.445147,CRISP
7.543525,CRISP
7.7699113,CRISP
7.4501677,CRISP
7.424818,CRISP
7.3925176,CRISP
7.452663,CRISP
7.488198,CRISP
7.368451,CRISP
7.191671,CRISP
7.305489,CRISP
7.608043,CRISP
7.38632,CRISP
7.2446885,CRISP
7.3198004,CRISP
7.4498553,CRISP
7.3536735,CRISP
7.3625164,CRISP
7.2893863,CRISP
7.9769306,CRISP
7.5297356,CRISP
7.702295,CRISP
7.504104,CRISP
7.4778233,CRISP
7.441946,CRISP
7.578441,CRISP
7.501544,CRISP
7.465499,CRISP
7.8284783,CRISP
7.541383,CRISP
7.359994,CRISP
7.305254,CRISP
7.4520683,CRISP
7.306974,CRISP
7.6948667,CRISP
7.2957067,CRISP
7.2205663,CRISP
7.2628613,CRISP
7.1774964,CRISP
7.2852693,CRISP
7.197521,CRISP
7.3715954,CRISP
7.5364704,CRISP
7.021792,CRISP
7.156558,CRISP
7.290836,CRISP
7.188883,CRISP
7.9952765,CRISP
7.6779995,CRISP
7.3767734,CRISP
7.339972,CRISP
6.888672,CRISP
7.294832,CRISP
7.3752456,CRISP
7.7920713,CRISP
7.548607,CRISP
7.272976,CRISP
7.1240673,CRISP
7.869881,CRISP
7.6437607,CRISP
7.4125013,CRISP
7.364238,CRISP
7.5185766,CRISP
7.1456194,CRISP
7.62032,CRISP
7.584051,CRISP
7.453637,CRISP
7.360113,CRISP
7.41539,CRISP
7.218938,CRISP
7.316475,CRISP
7.669606,CRISP
7.6800556,CRISP
7.540365,CRISP
7.2067986,CRISP
7.3161407,CRISP
7.866289,CRISP
7.072686,CRISP
7.260137,CRISP
7.759682,CRISP
7.4208903,CRISP
7.2545075,CRISP
7.392139,CRISP
7.7424054,CRISP
7.5734315,CRISP
7.195518,CRISP
7.497287,CRISP
7.1861877,CRISP
7.4338493,CRISP
7.714796,CRISP
7.6485744,CRISP
7.4692965,CRISP
7.393684,CRISP
7.015202,CRISP
7.455105,CRISP
7.181232,CRISP
7.453669,CRISP
7.345526,CRISP
6.966022,CRISP
7.652834,CRISP
7.761091,CRISP
7.254599,CRISP
7.436135,CRISP
7.3333726,CRISP
7.2556744,CRISP
7.2503333,CRISP
6.8816576,CRISP
7.336163,CRISP
8.013685,CRISP
7.3438644,CRISP
7.393301,CRISP
7.348534,CRISP
7.4504375,CRISP
7.357011,CRISP
7.916491,CRISP
7.6521745,CRISP
7.459517,CRISP
7.115849,CRISP
7.3216352,CRISP
7.461909,CRISP
7.2510715,CRISP
7.4349227,CRISP
7.4789314,CRISP
7.258009,CRISP
7.615423,CRISP
6.8766937,CRISP
7.437739,CRISP
7.4996095,CRISP
7.8132544,CRISP
7.4926124,CRISP
7.2210455,CRISP
7.3597665,CRISP
7.5201077,CRISP
7.5460434,CRISP
7.312286,CRISP
7.376229,CRISP
7.2718825,CRISP
7.290784,CRISP
7.3425226,CRISP
7.6063576,CRISP
7.248955,CRISP
7.573461,CRISP
7.983017,CRISP
7.467606,CRISP
7.4535584,CRISP
7.772722,CRISP
7.390798,CRISP
7.554367,CRISP
7.3643866,CRISP
7.608029,CRISP
7.282849,CRISP
7.336966,CRISP
7.3555756,CRISP
7.4495783,CRISP
7.4559007,CRISP
7.175666,CRISP
7.561646,CRISP
7.6312733,CRISP
7.3577757,CRISP
7.4873133,CRISP
7.57164,CRISP
7.025981,CRISP
7.312675,CRISP
7.2405,CRISP
7.3580704,CRISP
7.102315,CRISP
7.238305,CRISP
7.4194064,CRISP
7.6572104,CRISP
7.422248,CRISP
7.5713797,CRISP
7.5119047,CRISP
7.3579087,CRISP
7.28298,CRISP
7.767437,CRISP
7.5492787,CRISP
7.296388,CRISP
7.082495,CRISP
7.681408,CRISP
7.2791824,CRISP
7.103723,CRISP
7.341279,CRISP
7.358506,CRISP
7.683061,CRISP
7.312348,CRISP
7.6891317,CRISP
7.497017,CRISP
7.553034,CRISP
7.4250355,CRISP
7.3746004,CRISP
7.6425,CRISP
7.288265,CRISP
7.693042,CRISP
7.4844446,CRISP
7.415752,CRISP
7.522361,CRISP
7.306454,CRISP
7.5124927,CRISP
7.594708,CRISP
7.550595,CRISP
7.46808,CRISP
7.955247,CRISP
7.3738284,CRISP
7.876584,CRISP
7.3524084,CRISP
7.4220285,CRISP
7.435152,CRISP
7.08929,CRISP
7.966615,CRISP
7.2842426,CRISP
7.205288,CRISP
7.6560483,CRISP
7.4968085,CRISP
7.4738007,CRISP
7.3202477,CRISP
7.3505297,CRISP
7.0810266,CRISP
7.440501,CRISP
7.529579,CRISP
7.986552,CRISP
7.810496,CRISP
7.3127594,CRISP
7.421644,CRISP
7.437306,CRISP
7.3102016,CRISP
7.2250323,CRISP
7.2698374,CRISP
7.274476,CRISP
6.9807544,CRISP
7.234716,CRISP
7.0708213,CRISP
7.45425,CRISP
7.6883497,CRISP
7.9167166,CRISP
7.295479,CRISP
7.344624,CRISP
7.38977,CRISP
7.4386225,CRISP
7.566238,CRISP
7.807644,CRISP
7.2112374,CRISP
7.2872024,CRISP
7.3503466,CRISP
7.5296326,CRISP
7.374699,CRISP
7.859,CRISP
7.4686146,CRISP
7.4721384,CRISP
7.383332,CRISP
7.243989,CRISP
7.098309,CRISP
7.428568,CRISP
7.010821,CRISP
7.458493,CRISP
7.676301,CRISP
7.6457076,CRISP
7.543667,CRISP
7.5804763,CRISP
7.4221087,CRISP
7.3805285,CRISP
7.460979,CRISP
7.529294,CRISP
7.098855,CRISP
7.4695773,CRISP
7.5883055,CRISP
7.348037,CRISP
6.985449,CRISP
7.251896,CRISP
7.431362,CRISP
7.4646573,CRISP
7.1268225,CRISP
7.658665,CRISP
7.1158814,CRISP
7.2172995,CRISP
7.520107,CRISP
7.0810013,CRISP
7.3311977,CRISP
7.2214665,CRISP
7.470688,CRISP
7.441724,CRISP
7.465644,CRISP
7.731315,CRISP
7.6486244,CRISP
7.122074,CRISP
7.2722588,CRISP
7.7151237,CRISP
7.413092,CRISP
7.400156,CRISP
7.837987,CRISP
7.176485,CRISP
7.4586453,CRISP
7.4326077,CRISP
8.024487,CRISP
7.4069924,CRISP
7.1943364,CRISP
7.515497,CRISP
7.543196,CRISP
7.3866987,CRISP
7.4779544,CRISP
7.5929513,CRISP
7.3896646,CRISP
7.272573,CRISP
7.245171,CRISP
6.9518275,CRISP
7.408477,CRISP
7.3889832,CRISP
7.2741776,CRISP
7.2068386,CRISP
7.4663296,CRISP
7.3612356,CRISP
7.310547,CRISP
7.0956187,CRISP
7.360411,CRISP
8.053407,CRISP
7.2134256,CRISP
7.3163195,CRISP
7.6089773,CRISP
7.236499,CRISP
7.1459246,CRISP
7.650115,CRISP
7.3512964,CRISP
7.339421,CRISP
7.364042,CRISP
7.5844107,CRISP
7.337537,CRISP
7.438135,CRISP
7.4768963,CRISP
7.4585433,CRISP
7.876521,CRISP
7.568904,CRISP
7.142497,CRISP
7.424006,CRISP
7.397542,CRISP
7.2462454,CRISP
7.6152816,CRISP
7.092938,CRISP
7.6008654,CRISP
7.445583,CRISP
7.244215,CRISP
7.770377,CRISP
7.8941455,CRISP
7.3755865,CRISP
7.630333,CRISP
7.527544,CRISP
7.187508,CRISP
7.69952,CRISP
7.553187,CRISP
6.8459272,CRISP
6.919529,CRISP
7.278239,CRISP
7.0181217,CRISP
7.5066457,CRISP
7.1243744,CRISP
7.3613887,CRISP
7.0539107,CRISP
7.7889776,CRISP
7.3956375,CRISP
7.248593,CRISP
7.6165843,CRISP
7.519428,CRISP
7.348545,CRISP
7.3331203,CRISP
7.2889957,CRISP
7.558281,CRISP
7.4058447,CRISP
6.9807076,CRISP
7.6367526,CRISP
7.463274,CRISP
7.4704466,CRISP
7.318541,CRISP
7.2636952,CRISP
7.4768143,CRISP
7.686329,CRISP
7.601868,CRISP
7.517802,CRISP
7.243244,CRISP
7.071397,CRISP
7.2114587,CRISP
7.542157,CRISP
7.1877804,CRISP
7.354055,CRISP
7.2189326,CRISP
7.607708,CRISP
6.9000673,CRISP
7.375822,CRISP
7.323931,CRISP
7.699907,CRISP
7.370102,CRISP
7.1934576,CRISP
7.569981,CRISP
7.3836308,CRISP
7.4858475,CRISP
7.3196797,CRISP
7.4205785,CRISP
7.456207,CRISP
7.205779,CRISP
7.443054,CRISP
7.606144,CRISP
7.5562053,CRISP
7.4034324,CRISP
7.2062006,CRISP
6.9590964,CRISP
7.888678,CRISP
7.402482,CRISP
7.089758,CRISP
7.342085,CRISP
7.227543,CRISP
7.1860957,CRISP
