exp,label
8.263021,DIFFCRISP
7.8263235,DIFFCRISP
7.3249598,DIFFCRISP
8.176947,DIFFCRISP
7.3988442,DIFFCRISP
7.324864,DIFFCRISP
7.808133,DIFFCRISP
7.2320776,DIFFCRISP
7.640353,DIFFCRISP
7.4350204,DIFFCRISP
8.722037,DIFFCRISP
7.712214,DIFFCRISP
8.348518,DIFFCRISP
7.383586,DIFFCRISP
7.972914,DIFFCRISP
7.7009945,DIFFCRISP
7.4176917,DIFFCRISP
8.315284,DIFFCRISP
8.469908,DIFFCRISP
8.429107,DIFFCRISP
7.3778934,DIFFCRISP
8.664726,DIFFCRISP
7.828044,DIFFCRISP
8.891494,DIFFCRISP
7.745108,DIFFCRISP
8.496991,DIFFCRISP
7.4702153,DIFFCRISP
7.738824,DIFFCRISP
8.278535,DIFFCRISP
8.539258,DIFFCRISP
7.779532,DIFFCRISP
7.751395,DIFFCRISP
8.151298,DIFFCRISP
7.950558,DIFFCRISP
8.492959,DIFFCRISP
8.499186,DIFFCRISP
7.1512446,DIFFCRISP
7.4605155,DIFFCRISP
7.5993876,DIFFCRISP
8.824773,DIFFCRISP
7.7068577,DIFFCRISP
8.251059,DIFFCRISP
7.5302477,DIFFCRISP
7.616079,DIFFCRISP
7.6022153,DIFFCRISP
7.2405086,DIFFCRISP
7.872736,DIFFCRISP
8.108599,DIFFCRISP
7.1054626,DIFFCRISP
7.174594,DIFFCRISP
8.4359665,DIFFCRISP
7.0888095,DIFFCRISP
7.52544,DIFFCRISP
7.20573,DIFFCRISP
8.440474,DIFFCRISP
7.5208163,DIFFCRISP
7.4669576,DIFFCRISP
7.5440574,DIFFCRISP
7.923363,DIFFCRISP
8.126134,DIFFCRISP
8.006723,DIFFCRISP
8.5630455,DIFFCRISP
7.2626576,DIFFCRISP
7.946087,DIFFCRISP
7.969334,DIFFCRISP
7.223742,DIFFCRISP
7.720733,DIFFCRISP
8.381652,DIFFCRISP
7.3927608,DIFFCRISP
7.351773,DIFFCRISP
7.610972,DIFFCRISP
7.837754,DIFFCRISP
7.8506346,DIFFCRISP
8.269214,DIFFCRISP
7.633015,DIFFCRISP
7.317609,DIFFCRISP
8.289156,DIFFCRISP
7.870077,DIFFCRISP
7.28674,DIFFCRISP
8.239766,DIFFCRISP
8.061749,DIFFCRISP
7.7216997,DIFFCRISP
7.449973,DIFFCRISP
7.4722424,DIFFCRISP
7.4902873,DIFFCRISP
7.6428685,DIFFCRISP
7.881789,DIFFCRISP
9.014835,DIFFCRISP
8.231028,DIFFCRISP
7.5324893,DIFFCRISP
7.756663,DIFFCRISP
8.607607,DIFFCRISP
7.6685314,DIFFCRISP
7.2480206,DIFFCRISP
8.154384,DIFFCRISP
