model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
DiffCRISP,split,group,Myeloid cells_Belinostat,1,89.29097747802734,40.40816116333008,0.6965223550796509
DiffCRISP,split,group,Myeloid cells_CHIR99021,1,34.27304458618164,17.31412696838379,0.2619132697582245
DiffCRISP,split,group,Myeloid cells_Crizotinib,1,3.4039130210876465,1.3419877290725708,0.04678615927696228
DiffCRISP,split,group,Myeloid cells_Dabrafenib,1,95.777587890625,52.8089599609375,0.6561965942382812
DiffCRISP,split,group,Myeloid cells_Dactolisib,1,61.13981246948242,12.994345664978027,0.1931125521659851
DiffCRISP,split,group,Myeloid cells_Foretinib,1,2.149111747741699,1.6072911024093628,0.022881541401147842
DiffCRISP,split,group,Myeloid cells_Idelalisib,1,0.7171406745910645,0.37741169333457947,0.016538802534341812
DiffCRISP,split,group,Myeloid cells_LDN193189,1,7.983942031860352,4.292019844055176,0.07454678416252136
DiffCRISP,split,group,Myeloid cells_Linagliptin,1,10.875242233276367,8.671080589294434,0.11765646934509277
DiffCRISP,split,group,Myeloid cells_ODemethylatedAdapalene,1,42.14384460449219,17.952777862548828,0.3072264790534973
DiffCRISP,split,group,Myeloid cells_Palbociclib,1,21.080799102783203,19.098848342895508,0.21941007673740387
DiffCRISP,split,group,Myeloid cells_Penfluridol,1,1.7599377632141113,1.173534870147705,0.02806856669485569
DiffCRISP,split,group,Myeloid cells_PorcnInhibitorIII,1,95.76103210449219,51.241111755371094,0.7113553881645203
DiffCRISP,split,group,Myeloid cells_R428,1,132.08566284179688,23.819957733154297,0.323196142911911
DiffCRISP,split,group,T regulatory cells_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,1,4.198188781738281,1.6186330318450928,0.05739188566803932
DiffCRISP,split,group,T regulatory cells_ABT199GDC0199,1,0.3323664665222168,0.08514615893363953,0.003571314737200737
DiffCRISP,split,group,T regulatory cells_ABT737,1,2.7257466316223145,0.6246901750564575,0.02390112727880478
DiffCRISP,split,group,T regulatory cells_AMD070hydrochloride,1,1.568790316581726,0.6998673677444458,0.026183782145380974
DiffCRISP,split,group,T regulatory cells_AT13387,1,61.48350524902344,11.718634605407715,0.358651340007782
DiffCRISP,split,group,T regulatory cells_AT7867,1,1.7591631412506104,0.846274733543396,0.03207654878497124
DiffCRISP,split,group,T regulatory cells_AVL292,1,2.5797815322875977,1.6561293601989746,0.042518213391304016
DiffCRISP,split,group,T regulatory cells_AZ628,1,1.8923101425170898,0.48164355754852295,0.019024400040507317
DiffCRISP,split,group,T regulatory cells_AZD3514,1,2.033989191055298,0.9321808218955994,0.032735325396060944
DiffCRISP,split,group,T regulatory cells_AZD4547,1,1.3641128540039062,0.4996446669101715,0.019817734137177467
DiffCRISP,split,group,T regulatory cells_AZD8330,1,2.154665470123291,0.601689338684082,0.02281518466770649
DiffCRISP,split,group,T regulatory cells_Alogliptin,1,0.9440643787384033,0.41546890139579773,0.01627732813358307
DiffCRISP,split,group,T regulatory cells_Alvocidib,1,339.1629943847656,39.70183563232422,0.8368854522705078
DiffCRISP,split,group,T regulatory cells_Amiodarone,1,1.4430522918701172,0.5411689281463623,0.020628027617931366
DiffCRISP,split,group,T regulatory cells_Atorvastatin,1,0.9640122056007385,0.48302096128463745,0.019459795206785202
DiffCRISP,split,group,T regulatory cells_Azacitidine,1,1.6310251951217651,0.38655686378479004,0.014079945161938667
DiffCRISP,split,group,T regulatory cells_BAY613606,1,27.115413665771484,9.088976860046387,0.25520607829093933
DiffCRISP,split,group,T regulatory cells_BAY872243,1,4.188096046447754,3.0530076026916504,0.058402832597494125
DiffCRISP,split,group,T regulatory cells_BID1870,1,2.841106414794922,0.8397815227508545,0.03283345326781273
DiffCRISP,split,group,T regulatory cells_BMS265246,1,3.361036777496338,1.3071231842041016,0.03904295340180397
DiffCRISP,split,group,T regulatory cells_BMS387032,1,64.0335922241211,21.164287567138672,0.24649658799171448
DiffCRISP,split,group,T regulatory cells_BMS536924,1,10.269068717956543,3.2376556396484375,0.10669087618589401
DiffCRISP,split,group,T regulatory cells_BMS777607,1,3.4248549938201904,2.104529619216919,0.05656203255057335
DiffCRISP,split,group,T regulatory cells_BX912,1,22.211441040039062,6.344516754150391,0.20747315883636475
DiffCRISP,split,group,T regulatory cells_Belinostat,1,35.915870666503906,15.416425704956055,0.24200883507728577
DiffCRISP,split,group,T regulatory cells_Bosutinib,1,7.7679643630981445,2.163055658340454,0.07935726642608643
DiffCRISP,split,group,T regulatory cells_Buspirone,1,1.952446460723877,0.6401035785675049,0.022886445745825768
DiffCRISP,split,group,T regulatory cells_CC401,1,1.7133269309997559,0.7167257070541382,0.025309693068265915
DiffCRISP,split,group,T regulatory cells_CEP37440,1,2.401951313018799,1.0618088245391846,0.037782371044158936
DiffCRISP,split,group,T regulatory cells_CGM097,1,4.6407389640808105,2.2509536743164062,0.07221546024084091
DiffCRISP,split,group,T regulatory cells_CGP60474,1,310.53460693359375,40.475372314453125,0.5600143074989319
DiffCRISP,split,group,T regulatory cells_CHIR99021,1,2.4564528465270996,0.9370636343955994,0.03451595455408096
DiffCRISP,split,group,T regulatory cells_Cabozantinib,1,0.7071635127067566,0.2625391483306885,0.010384858585894108
DiffCRISP,split,group,T regulatory cells_Canertinib,1,0.6467005014419556,0.32713788747787476,0.016066774725914
DiffCRISP,split,group,T regulatory cells_Ceritinib,1,2.3552439212799072,0.5390381813049316,0.019708970561623573
DiffCRISP,split,group,T regulatory cells_Chlorpheniramine,1,1.1652839183807373,0.47516489028930664,0.018836993724107742
DiffCRISP,split,group,T regulatory cells_Clemastine,1,1.1360887289047241,0.35112226009368896,0.013999354094266891
DiffCRISP,split,group,T regulatory cells_Clomipramine,1,1.747847557067871,1.0391161441802979,0.01632085256278515
