group,n_cells,n_de_genes,n_unique_rows_de,n_variable_genes_de,finite,valid
K562_2-Methoxyestradiol_1.0,63,50,5,6,True,True
K562_A-366_1.0,211,50,210,7,True,True
K562_ABT-737_1.0,170,50,170,13,True,True
K562_AC480_1.0,140,50,24,3,True,False
K562_AG-14361_1.0,196,50,6,3,True,False
K562_AG-490_1.0,225,50,77,10,True,True
K562_AICAR_1.0,242,50,8,5,True,True
K562_AMG-900_1.0,179,50,179,16,True,True
K562_AR-42_1.0,71,50,29,19,True,True
K562_AT9283_1.0,78,50,44,9,True,True
K562_AZD1480_1.0,89,50,11,5,True,True
K562_AZ_1.0,125,50,90,8,True,True
K562_Abexinostat_1.0,70,50,28,11,True,True
K562_Alendronate_1.0,236,50,11,8,True,True
K562_Alisertib_1.0,105,50,93,10,True,True
K562_Altretamine_1.0,196,50,20,6,True,True
K562_Alvespimycin_1.0,96,50,70,13,True,True
K562_Aminoglutethimide_1.0,251,50,13,6,True,True
K562_Amisulpride_1.0,259,50,8,5,True,True
K562_Anacardic_1.0,190,50,11,5,True,True
K562_Andarine_1.0,241,50,13,9,True,True
K562_Aurora_1.0,135,50,8,6,True,True
K562_Avagacestat_1.0,160,50,4,5,True,True
K562_Azacitidine_1.0,187,50,183,44,True,True
K562_BMS-265246_1.0,176,50,105,14,True,True
K562_BMS-536924_1.0,191,50,90,14,True,True
K562_BMS-754807_1.0,183,50,51,15,True,True
K562_BMS-911543_1.0,231,50,41,9,True,True
K562_BRD4770_1.0,181,50,14,4,True,False
K562_Barasertib_1.0,158,50,45,7,True,True
K562_Baricitinib_1.0,220,50,8,5,True,True
K562_Belinostat_1.0,58,50,16,22,True,True
K562_Bisindolylmaleimide_1.0,7,50,1,0,True,False
K562_Bosutinib_1.0,43,50,4,5,True,False
K562_Busulfan_1.0,236,50,8,5,True,True
K562_CEP-33779_1.0,192,50,192,10,True,True
K562_CUDC-101_1.0,63,50,29,14,True,True
K562_CUDC-907_1.0,28,50,2,1,True,False
K562_CYC116_1.0,165,50,165,6,True,True
K562_Capecitabine_1.0,275,50,5,4,True,False
K562_Carmofur_1.0,247,50,247,9,True,True
K562_Cediranib_1.0,99,50,99,6,True,True
K562_Celecoxib_1.0,234,50,32,7,True,True
K562_Cerdulatinib_1.0,194,50,194,32,True,True
K562_Cimetidine_1.0,204,50,14,7,True,True
K562_Clevudine_1.0,214,50,8,3,True,False
K562_Costunolide_1.0,244,50,199,13,True,True
K562_Crizotinib_1.0,76,50,41,12,True,True
K562_Curcumin_1.0,220,50,5,2,True,False
K562_Cyclocytidine_1.0,214,50,214,20,True,True
K562_Dacinostat_1.0,74,50,34,16,True,True
K562_Danusertib_1.0,111,50,103,16,True,True
K562_Daphnetin_1.0,179,50,4,1,True,False
K562_Dasatinib_1.0,102,50,88,23,True,True
K562_Decitabine_1.0,184,50,135,5,True,True
K562_Disulfiram_1.0,216,50,7,3,True,False
K562_Divalproex_1.0,210,50,24,5,True,True
K562_Droxinostat_1.0,173,50,139,7,True,True
K562_EED226_1.0,196,50,1,0,True,False
K562_ENMD-2076_1.0,270,50,268,43,True,True
K562_Ellagic_1.0,245,50,9,7,True,True
K562_Entacapone_1.0,215,50,9,7,True,True
