group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_2-Methoxyestradiol_1.0,63,1.473317013025937e-05,3.5644280984570285e-07,0.0046528928787275044,0.0031664537556017557,7.660670880159712e-05
K562_A-366_1.0,211,4.267638131649518e-05,0.03303862307220697,0.11194054476088948,0.0003812415010812573,0.29514438350089417
K562_ABT-737_1.0,170,0.0005271489710948016,0.07651123959157202,0.2542114078998566,0.002073663709468402,0.30097484697347915
K562_AG-490_1.0,225,0.0002088765238416575,0.004651497070315398,0.07728160561786758,0.002702797414361239,0.06018892895827681
K562_AICAR_1.0,242,4.1489659246490224e-08,0.0011880056459296561,0.013324702008523875,3.1137401211636172e-06,0.08915813990959673
K562_AMG-900_1.0,179,2.589225249620439e-05,0.05696259828077422,0.3381835463974211,7.656272096034132e-05,0.16843692984943104
K562_AR-42_1.0,71,0.0010830894119054494,0.04341556599570645,0.22129350387387806,0.004894357009787035,0.1961899704947973
K562_AT9283_1.0,78,0.0008861700318650239,0.061210210538572736,0.13470049218999014,0.006578818068571816,0.4544171260505712
K562_AZD1480_1.0,89,0.0001689858595556062,0.0025993627289103136,0.011472571198828519,0.014729554223456169,0.22657194136007963
K562_AZ_1.0,125,0.00014204796542698102,0.01518152430653572,0.15688404225640826,0.0009054328495362234,0.09676907917583695
K562_Abexinostat_1.0,70,0.0020733240254533786,0.05985456986559762,0.13238966597451104,0.015660769367395754,0.45210907834091374
K562_Alendronate_1.0,236,5.182745859807862e-05,0.0019015710068843975,0.00574279491427458,0.009024779636349832,0.33112291754625556
K562_Alisertib_1.0,105,0.00026971481687117677,0.012800685140407747,0.22756320403681862,0.0011852303539703116,0.056251120186973015
K562_Altretamine_1.0,196,8.934211905398115e-07,0.007202250183197773,0.013043500767606828,6.84955064179241e-05,0.5521715612640098
K562_Alvespimycin_1.0,96,0.0007058820806883483,0.0394609140439166,0.2151012616025077,0.0032816268739175028,0.18345273175030302
K562_Aminoglutethimide_1.0,251,3.0851360924720616e-07,0.0012119210518044888,0.013364663725304935,2.3084277733308022e-05,0.0906809985431816
K562_Amisulpride_1.0,259,2.699016961729386e-07,0.007548937589551012,0.006653447676863935,4.0565690042392464e-05,1.134590359190915
K562_Anacardic_1.0,190,5.457957353832575e-05,0.0006138681065610602,0.01774299496060444,0.0030761195423608697,0.034597772694184875
K562_Andarine_1.0,241,0.0,0.0007062242383274982,0.01149892962227265,0.0,0.06141651975672497
K562_Aurora_1.0,135,7.891733362599654e-07,0.010233128621863822,0.006678524919337144,0.0001181658144263228,1.53224383310072
K562_Avagacestat_1.0,160,0.0002984075095608003,0.011515680550494128,0.002487402611791536,0.11996751476668836,4.629600570452096
K562_Azacitidine_1.0,187,0.0005489373052518608,0.14662238458792368,1.7734777026706272,0.000309525913083222,0.08267506513734534
K562_BMS-265246_1.0,176,0.0006410834925999451,0.021441646416982017,0.12548245795898968,0.005108949115496803,0.17087365649140854
