split,cell_type,drug,dose,true_prop,ctrl_prop,crisp_prop,diffcrisp_prop,crisp_error,diffcrisp_error,improvement,diffcrisp_win,threshold,n_true,n_ctrl,n_crisp,n_diffcrisp,cov_drug
split3,NK cells,RG7112,0.0709219858156028,0.8251928020565553,0.05,0.0,0.84,0.8251928020565553,0.01480719794344465,0.8103856041131107,1,4.908110260963438,389,1000,1000,1000,NK cells_RG7112
split3,NK cells,LY2090314,0.0709219858156028,0.897196261682243,0.05,0.122,0.854,0.775196261682243,0.043196261682243,0.732,1,6.71859347820282,214,1000,1000,1000,NK cells_LY2090314
split3,NK cells,CGM097,0.0709219858156028,0.8284023668639053,0.05,0.0,0.927,0.8284023668639053,0.09859763313609471,0.7298047337278106,1,5.492455911636352,169,1000,1000,1000,NK cells_CGM097
split3,NK cells,Dovitinib,0.0709219858156028,0.5826086956521739,0.05,0.013,0.585,0.5696086956521739,0.0023913043478260843,0.5672173913043478,1,5.792836761474608,345,1000,1000,1000,NK cells_Dovitinib
split3,T cells CD8+,PF03814735,0.0709219858156028,0.6896551724137931,0.05,0.001,0.564,0.6886551724137931,0.1256551724137932,0.563,1,6.782457613945005,87,1000,1000,1000,T cells CD8+_PF03814735
split3,T cells CD8+,TPCA1,0.0709219858156028,0.5596330275229358,0.05,0.004,0.558,0.5556330275229358,0.0016330275229357039,0.554,1,7.773295259475705,109,1000,1000,1000,T cells CD8+_TPCA1
split3,NK cells,PF04691502,0.0709219858156028,0.5727272727272728,0.05,0.0,0.598,0.5727272727272728,0.025272727272727225,0.5474545454545455,1,7.725755977630613,220,1000,1000,1000,NK cells_PF04691502
split,T regulatory cells,CGM097,0.0709219858156028,0.6410256410256411,0.05,0.02,0.566,0.6210256410256411,0.07502564102564113,0.5459999999999999,1,7.885453557968133,39,1000,1000,1000,T regulatory cells_CGM097
split3,NK cells,GLPG0634,0.0709219858156028,0.5372670807453416,0.05,0.0,0.565,0.5372670807453416,0.027732919254658372,0.5095341614906832,1,7.702661824226375,322,1000,1000,1000,NK cells_GLPG0634
split3,NK cells,BMS265246,0.0709219858156028,0.5255813953488372,0.05,0.006,0.536,0.5195813953488372,0.010418604651162844,0.5091627906976743,1,6.959664511680599,430,1000,1000,1000,NK cells_BMS265246
split3,NK cells,IN1451,0.0709219858156028,1.0,0.05,0.449,0.956,0.5509999999999999,0.04400000000000004,0.5069999999999999,1,7.10564446449279,10,1000,1000,1000,NK cells_IN1451
split3,NK cells,AT7867,0.0709219858156028,0.5477386934673367,0.05,0.0,0.503,0.5477386934673367,0.04473869346733672,0.503,1,6.848482203483578,398,1000,1000,1000,NK cells_AT7867
split3,NK cells,MubritinibTAK165,0.0709219858156028,0.5670103092783505,0.05,0.001,0.502,0.5660103092783505,0.0650103092783505,0.501,1,7.6403892755508425,291,1000,1000,1000,NK cells_MubritinibTAK165
split2,T cells CD4+,LY2090314,0.0709219858156028,0.9969325153374233,0.05,0.47,0.966,0.5269325153374234,0.03093251533742336,0.496,1,4.754200506210325,978,1000,1000,1000,T cells CD4+_LY2090314
split3,T cells CD8+,PRT062607,0.0709219858156028,0.6,0.05,0.074,0.568,0.526,0.03200000000000003,0.494,1,7.795442533493042,120,1000,1000,1000,T cells CD8+_PRT062607
split2,B cells,Crizotinib,0.0709219858156028,0.5767441860465117,0.05,0.0,0.483,0.5767441860465117,0.09374418604651169,0.483,1,9.752965974807726,215,1000,1000,1000,B cells_Crizotinib
split,T regulatory cells,PitavastatinCalcium,0.0709219858156028,0.8333333333333334,0.05,0.0,0.481,0.8333333333333334,0.3523333333333334,0.481,1,6.371911787986755,30,1000,1000,1000,T regulatory cells_PitavastatinCalcium
split2,T cells CD4+,Dovitinib,0.0709219858156028,0.5537459283387622,0.05,0.018,0.497,0.5357459283387622,0.05674592833876224,0.479,1,5.904718041419981,614,1000,1000,1000,T cells CD4+_Dovitinib
split3,NK cells,TPCA1,0.0709219858156028,0.6749116607773852,0.05,0.051,0.823,0.6239116607773851,0.14808833922261477,0.47582332155477036,1,6.675120925903314,283,1000,1000,1000,NK cells_TPCA1
split2,T cells CD4+,BMS265246,0.0709219858156028,0.5519553072625698,0.05,0.024,0.496,0.5279553072625698,0.05595530726256981,0.472,1,8.020809030532835,895,1000,1000,1000,T cells CD4+_BMS265246
split3,NK cells,BX912,0.0709219858156028,0.4777777777777778,0.05,0.0,0.486,0.4777777777777778,0.008222222222222186,0.4695555555555556,1,7.609959793090817,270,1000,1000,1000,NK cells_BX912
split3,NK cells,PF03814735,0.0709219858156028,0.5121212121212121,0.05,0.0,0.458,0.5121212121212121,0.05412121212121207,0.458,1,6.821655821800231,330,1000,1000,1000,NK cells_PF03814735
split3,NK cells,R428,0.0709219858156028,0.6171875,0.05,0.0,0.451,0.6171875,0.1661875,0.451,1,5.854313325881955,256,1000,1000,1000,NK cells_R428
split,T regulatory cells,RG7112,0.0709219858156028,0.8103448275862069,0.05,0.236,0.686,0.5743448275862069,0.1243448275862068,0.45000000000000007,1,5.342203569412231,58,1000,1000,1000,T regulatory cells_RG7112
split3,T cells CD8+,BMS536924,0.0709219858156028,0.7735849056603774,0.05,0.0,0.448,0.7735849056603774,0.3255849056603774,0.448,1,7.485006356239318,53,1000,1000,1000,T cells CD8+_BMS536924
split3,NK cells,BMS387032,0.0709219858156028,0.6564102564102564,0.05,0.18,0.617,0.4764102564102564,0.03941025641025642,0.437,1,9.411520862579343,195,1000,1000,1000,NK cells_BMS387032
split3,T cells CD8+,BMS265246,0.0709219858156028,0.7662337662337663,0.05,0.0,0.435,0.7662337662337663,0.33123376623376627,0.435,1,7.620608448982236,77,1000,1000,1000,T cells CD8+_BMS265246
split3,NK cells,Tacalcitol,0.0709219858156028,0.44654088050314467,0.05,0.0,0.459,0.44654088050314467,0.012459119496855353,0.4340817610062893,1,7.403452968597408,318,1000,1000,1000,NK cells_Tacalcitol
split3,T cells CD8+,Bosutinib,0.0709219858156028,0.648936170212766,0.05,0.0,0.434,0.648936170212766,0.21493617021276595,0.434,1,7.398967456817623,94,1000,1000,1000,T cells CD8+_Bosutinib
split2,B cells,Foretinib,0.0709219858156028,0.6963562753036437,0.05,0.0,0.43,0.6963562753036437,0.26635627530364375,0.43,1,8.370783853530884,247,1000,1000,1000,B cells_Foretinib
