split,cell_type,drug,dose,true_prop,ctrl_prop,crisp_prop,diffcrisp_prop,crisp_error,diffcrisp_error,improvement,diffcrisp_win,threshold,n_true,n_ctrl,n_crisp,n_diffcrisp,cov_drug
split,Myeloid cells,Palbociclib,0.0709219858156028,0.2542372881355932,0.05,0.0,0.146,0.2542372881355932,0.1082372881355932,0.146,1,14.08447041511535,236,1000,1000,1000,Myeloid cells_Palbociclib
split,T regulatory cells,Palbociclib,0.0709219858156028,0.5102040816326531,0.05,0.036,0.177,0.4742040816326531,0.3332040816326531,0.141,1,8.820812273025512,49,1000,1000,1000,T regulatory cells_Palbociclib
split,Myeloid cells,Idelalisib,0.0709219858156028,0.4923076923076923,0.05,0.0,0.301,0.4923076923076923,0.1913076923076923,0.301,1,9.139928531646728,130,1000,1000,1000,Myeloid cells_Idelalisib
split,Myeloid cells,Dactolisib,0.0709219858156028,1.0,0.05,0.989,0.981,0.011,0.019,-0.008,0,8.937256002426144,87,1000,1000,1000,Myeloid cells_Dactolisib
split,T regulatory cells,Dactolisib,0.0709219858156028,0.9642857142857144,0.05,0.951,0.977,0.0132857142857143,0.0127142857142856,0.0005714285714286,1,9.607538938522335,28,1000,1000,1000,T regulatory cells_Dactolisib
split,T regulatory cells,Idelalisib,0.0709219858156028,0.6571428571428571,0.05,0.209,0.245,0.4481428571428572,0.4121428571428571,0.036,1,7.78530259132385,35,1000,1000,1000,T regulatory cells_Idelalisib
split2,T cells CD4+,Palbociclib,0.0709219858156028,0.2728731942215088,0.05,0.0,0.333,0.2728731942215088,0.0601268057784911,0.2127463884430177,1,7.345143723487852,623,1000,1000,1000,T cells CD4+_Palbociclib
split2,T cells CD4+,Dactolisib,0.0709219858156028,0.9771863117870724,0.05,1.0,0.994,0.0228136882129277,0.0168136882129277,0.006,1,5.878752517700195,789,1000,1000,1000,T cells CD4+_Dactolisib
split2,B cells,Palbociclib,0.0709219858156028,0.4098360655737705,0.05,0.0,0.299,0.4098360655737705,0.1108360655737705,0.299,1,8.253845643997177,244,1000,1000,1000,B cells_Palbociclib
split2,B cells,Idelalisib,0.0709219858156028,0.5958333333333333,0.05,0.0,0.279,0.5958333333333333,0.3168333333333333,0.279,1,8.941512537002563,240,1000,1000,1000,B cells_Idelalisib
split2,T cells CD4+,Idelalisib,0.0709219858156028,0.4759887005649718,0.05,0.114,0.388,0.3619887005649718,0.0879887005649717,0.274,1,7.098643159866332,708,1000,1000,1000,T cells CD4+_Idelalisib
split2,B cells,Dactolisib,0.0709219858156028,1.0,0.05,0.991,0.942,0.009,0.058,-0.049,0,8.126210451126095,209,1000,1000,1000,B cells_Dactolisib
split3,NK cells,Palbociclib,0.0709219858156028,0.2684931506849315,0.05,0.0,0.028,0.2684931506849315,0.2404931506849315,0.0279999999999999,1,6.522179150581359,365,1000,1000,1000,NK cells_Palbociclib
split3,NK cells,Idelalisib,0.0709219858156028,0.3806228373702422,0.05,0.0,0.424,0.3806228373702422,0.0433771626297577,0.3372456747404844,1,7.226583790779114,289,1000,1000,1000,NK cells_Idelalisib
split3,NK cells,Dactolisib,0.0709219858156028,0.979933110367893,0.05,1.0,0.997,0.020066889632107,0.017066889632107,0.003,1,5.747786569595335,299,1000,1000,1000,NK cells_Dactolisib
split3,T cells CD8+,Palbociclib,0.0709219858156028,0.7321428571428571,0.05,0.0,0.005,0.7321428571428571,0.7271428571428571,0.005,1,7.0577381134033175,56,1000,1000,1000,T cells CD8+_Palbociclib
split3,T cells CD8+,Dactolisib,0.0709219858156028,1.0,0.05,1.0,0.984,0.0,0.016,-0.016,0,6.37389245033264,55,1000,1000,1000,T cells CD8+_Dactolisib
split3,T cells CD8+,Idelalisib,0.0709219858156028,0.6,0.05,0.0,0.066,0.6,0.534,0.0659999999999999,1,8.474903154373166,65,1000,1000,1000,T cells CD8+_Idelalisib
