score,group,threshold,split,cell_type,drug,dose
-5.8401585,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.3616614,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-4.7485414,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-7.087358,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.2164087,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-7.858714,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.6069171,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-2.4518979,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
5.1899705,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-0.5578869,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.659385,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
0.61801666,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-6.2290316,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
5.4916973,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.695782,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
3.035867,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.5551257,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.5052443,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
11.484029,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-4.1063256,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.163293,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
4.3214927,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
4.0403256,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-9.245825,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
5.147553,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.1891358,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
8.067639,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.8045325,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.1062303,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-8.29072,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
6.2177153,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.6839497,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.4217374,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-6.0116887,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
0.3810265,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.6159701,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-6.796555,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
