score,group,threshold,split,cell_type,drug,dose
-2.6619854,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.9219615,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-6.364722,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.109831,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.42327774,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.3149228,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.5749762,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.9863706,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.312207,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.040892005,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.9172314,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.2613635,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-6.0906053,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.266702,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.845064,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.4504397,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.9299958,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.361824,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
9.847246,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.8651876,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.06024432,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.781256,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.07161957,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.589729,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
7.0489492,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.5285337,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.7046663,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.9236774,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.0014677048,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.8850539,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.161101,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.97303945,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.495624,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.0420513,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.8255076,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.3529553,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.0953958,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.7879598,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.7732718,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.405377,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.6307414,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.3846884,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.532693,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.13345173,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.2582378,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.7985373,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.5041056,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.45670974,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.30294067,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.889798,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.004485,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.839707,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.768733,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.00501,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.7555785,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.7228293,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.7272384,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.45840853,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.0814104,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.275053,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-10.648881,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.3550282,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.374017,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
10.817263,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
14.624506,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.1270316,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.39017302,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.0097203,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.6032218,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.5582201,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
15.503217,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-9.446421,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
8.640396,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.8770308,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
9.223684,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.986094,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.9339447,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.2749956,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.8474283,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.0057485104,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.8124144,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.4465854,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.3280789,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.729051,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.3679788,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.8332677,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.4976714,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.027401,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.7937055,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.8512306,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.216612,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.8291268,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.96453357,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.6925066,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.1568184,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
7.059209,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.7929597,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.7877,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.9528196,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
7.9509435,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.2874938,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.03117299,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
7.1609883,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
11.473421,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-9.530559,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.0386841,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.7216847,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.16464886,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.7476615,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.472009,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.562415,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.057594,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.1946973,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.041007042,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.331891,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.6833321,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.7068696,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.6298819,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-6.667178,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.4207718,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
11.49791,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.267981,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.9177814,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.5747716,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.29117,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.512335,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
8.265507,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.626053,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-10.256573,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.59979683,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-6.903357,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.0529976,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.685822,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.808057,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.0568147,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
7.4917583,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-10.340914,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-10.0490265,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.722988,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.6316794,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.834687,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.2728877,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.693646,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.3815405,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
8.014519,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.9360619,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.9862103,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.6660495,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.980585,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.1697173,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.3163681,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
10.09555,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.425533,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.8470805,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.6360555,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
1.6841176,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.687044,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.5995088,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-7.24263,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
13.719889,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.1954508,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
5.9640017,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.7032027,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.24818067,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-4.8231177,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.360375,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.5351672,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.8707063,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-8.430911,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.8085124,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
0.88644874,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.6197677,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-5.5761533,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.0735135,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
2.815535,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
6.9323235,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
3.8791645,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-2.2288108,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-3.23523,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.29244062,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
4.700563,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.8426524,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.1933467,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-0.08606708,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-1.7009268,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
-12.022892,Control,8.941512537002563,split2,B cells,Idelalisib,0.0709219858156028
