score,group,threshold,split,cell_type,drug,dose
-1.4026587,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-2.123269,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.8473041,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-5.096698,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
2.9781766,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-3.2769256,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-3.6771157,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
3.444548,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-5.0745125,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
1.1814535,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.080619,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
1.7748954,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-9.791835,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
3.4068148,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-7.4123774,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-2.4601717,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
3.5934656,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-4.7819104,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
12.389597,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-2.6284857,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-0.23131329,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
6.9195404,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
6.4128666,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-10.123401,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
2.1812587,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.7074358,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
6.198965,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-8.553327,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.3350377,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-3.1128905,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
2.5764832,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-6.735199,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-2.103985,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
0.9548008,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
3.795513,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
4.129768,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
0.29615664,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.1891048,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-0.48453206,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
0.44135746,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-0.16007984,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-1.3273854,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
-9.3149605,Control,8.253845643997177,split2,B cells,Palbociclib,0.0709219858156028
