score,group,threshold,split,cell_type,drug,dose
-1.2833099,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-1.7663254,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.5147915,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-1.8416774,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.8096573,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.4490645,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.6622021,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.0526216,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.6314847,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.45624495,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-3.9118125,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.552806,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
10.77289,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
1.0951884,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
4.9713364,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-3.8803704,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.8455038,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.2342777,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.23476553,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.9726377,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-5.889372,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-8.411199,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.61628133,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
6.060766,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.12228888,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.92884564,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
4.1841655,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
4.3497014,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.8830151,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
2.7909927,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.37319273,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
5.55758,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
8.140737,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-8.878306,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-0.51492405,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.5399677,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-4.1285744,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-2.9543111,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
-3.5658722,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.94296044,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
1.3468466,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
0.6646715,Control,5.878752517700195,split2,T cells CD4+,Dactolisib,0.0709219858156028
