score,group,threshold,split,cell_type,drug,dose
-6.3473325,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-5.9314985,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
7.2232194,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.9413984,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
2.867763,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.7486303,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.5015221,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.2689137,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
3.1497169,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.9337666,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.3628085,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.2229851,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
7.3263326,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.06575698,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.6057127,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.6851952,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.0831125,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
0.809462,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.9197109,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.8267117,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
6.555702,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-5.1537466,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.06145,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.4928138,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
2.513521,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.591846,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.7370261,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.6634312,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
2.1068006,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.25439817,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.464167,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
4.5085454,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
9.145076,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.9107828,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.0176783,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.027506,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.8765504,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.9306207,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.9401138,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.9326274,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
8.57792,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.21804959,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.1567593,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
5.7724056,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
5.609132,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.2021799,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
0.30703002,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.07443708,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.6932535,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
0.97787726,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.388775,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.122476,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
6.9246163,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
8.607823,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.0070229,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.833373,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
5.92771,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.382409,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.0206645,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
7.8541274,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.517899,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-6.271646,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.708165,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
0.2054084,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.12951678,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-0.7883386,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
1.7429603,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-6.4750423,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.7916524,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-1.6872768,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-4.433219,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
0.8342386,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-3.2499192,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.9190583,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
-2.3683622,Control,7.345143723487852,split2,T cells CD4+,Palbociclib,0.0709219858156028
