score,group,threshold,split,cell_type,drug,dose
-2.9968443,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-4.044919,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-2.5645676,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.6620923,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
4.7542253,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-4.153044,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
4.8571663,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.7777809,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-5.0153985,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-5.878426,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-2.729326,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-2.8069062,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
10.500123,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
0.9639232,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-3.747926,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.6595618,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.8462844,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
2.9356995,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
7.1035104,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.7232034,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.6371058,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
5.130048,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.7947345,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-1.7209314,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-3.3982491,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.0764518,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
2.7001524,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.641355,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.8436491,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-4.1698294,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.8751242,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.2979703,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-5.197082,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
4.755825,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-2.3366778,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
5.067833,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.6107846,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.0852718,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-2.262314,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
2.938472,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
4.963844,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-3.252283,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-4.9448023,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-6.5820103,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-0.28516883,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.4968543,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.2123737,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
0.62373286,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
4.500622,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.956326,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.3492858,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
1.669236,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.8117113,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
3.2536254,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
-0.19935143,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
0.6613494,Control,7.226583790779114,split3,NK cells,Idelalisib,0.0709219858156028
