score,group,threshold,split,cell_type,drug,dose
-3.814639,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.3954587,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.105013,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.77114,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.261276,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.422347,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-7.7121854,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.91974205,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.9688652,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.2247812,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-5.0695467,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.8399248,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.735476,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.0892863,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.2743982,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.391013,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.349217,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.8168178,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
7.056307,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.001066,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.1683764,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.7765803,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.7711835,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.24244368,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-6.9849744,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.5166042,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.9604762,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.36775267,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.7992413,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-4.609906,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.595382,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.62891495,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-4.894137,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.582328,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.31043342,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.5182751,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.5333072,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.6864655,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.002849,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.53356993,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.486048,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.1297128,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-8.305491,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.590255,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.0828406,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.5201447,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.19762683,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-6.8819237,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
7.6114035,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.5674759,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-4.9185786,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.943372,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.024538,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.4781108,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.3887587,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.0071173,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.4040055,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.4672527,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.7543865,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.176159,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.932873,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.13866937,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.1334972,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.7651844,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-4.1805654,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.8994482,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.9145677,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.1699374,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.6536832,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.943587,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.353547,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.1799717,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.7587323,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.9206579,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.5548406,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-5.917474,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.2096213,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.33958995,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.925336,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.7782278,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.8022362,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-1.9487753,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.560299,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
0.31562656,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.7223077,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
1.8925737,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
6.744857,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.3798637,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.0857708,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.4639244,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.688467,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.2389908,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.6200957,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.400691,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-7.7042956,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.700171,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.3497367,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
5.323472,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.07859248,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.8307748,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.34058723,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
2.3082538,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
3.33054,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.1785772,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-2.1008348,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-3.7804303,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-8.612648,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.384462,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
4.5579576,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
-0.43196023,Control,6.522179150581359,split3,NK cells,Palbociclib,0.0709219858156028
