score,group,threshold,split,cell_type,drug,dose
7.493808,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
3.207685,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-5.0206327,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
7.4527283,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
5.2333713,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
3.8130817,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
2.0587492,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-4.3883476,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-2.9470375,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-1.0199918,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-12.82889,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
5.5380845,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-0.09967637,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-0.82030964,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-2.8994722,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
4.372542,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-7.5039577,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-2.2143288,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
8.325331,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
2.1034644,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
-6.821124,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
3.732107,Control,8.474903154373166,split3,T cells CD8+,Idelalisib,0.0709219858156028
