score,group,threshold,split,cell_type,drug,dose
-0.84722,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-2.05321,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
3.970884,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
1.5301979,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-1.3013954,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
4.189833,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-2.1662304,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-2.763859,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-5.512827,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
4.274356,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-2.8971844,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
1.4043889,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-5.5898347,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
2.3460376,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
4.4542723,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
6.5495734,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
8.443158,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-7.529223,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-2.6076272,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-1.7908016,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
4.152601,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-3.8389986,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-6.152855,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
-8.55671,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
5.508494,Control,8.937256002426144,split,Myeloid cells,Dactolisib,0.0709219858156028
