score,group,threshold,split,cell_type,drug,dose
-2.2719111,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.0607147,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.375538,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.6737072,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.1109834,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.205667,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.5867789,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.8330581,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.8614814,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.515438,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.5469728,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-6.2851825,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.6204946,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.9282687,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.11790976,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.154846,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.20792887,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.358814,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.09074387,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.7170892,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.0771077,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.06450766,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.6663442,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
6.6815333,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.8044231,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
9.100508,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.7230511,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.8820119,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-8.315223,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.4274642,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.6752021,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.5386064,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.1408563,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
8.205859,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.7804174,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.2947092,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.3619366,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.7324952,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-7.0713034,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-7.639055,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.34870914,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.2582722,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.376329,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.9952418,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.6138577,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.5436072,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.9914455,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.5883186,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.761561,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.6169667,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.85889,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.7734494,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.2729357,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.025863,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.16605622,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.0396935,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
15.868337,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.4116671,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.8279433,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.4400105,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.2734942,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.0093513,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.50385195,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.2724416,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.3264902,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.7975411,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.5443716,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-6.3514338,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.5338692,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.4904485,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.5897093,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.563353,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.5629046,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.27196872,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.157139,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.0160794,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.364751,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
11.407258,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.8618894,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.5099094,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.4491606,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
11.485689,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.7465587,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.0979624,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.9737115,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.857685,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.3554525,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.8377028,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
9.213481,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.498305,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.2016393,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.5034287,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.2543883,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.780562,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.9447024,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.5640483,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.724622,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.107592046,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.7004592,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.8575845,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.9043097,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-9.503144,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.1733036,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.1788068,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.3101404,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.4911294,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.6331675,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
7.258457,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.4229023,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
11.969629,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-6.545137,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.631944,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.5429347,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
6.5956388,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.1555588,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.8973672,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.0357046,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.769843,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.5772433,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.707253,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
6.102041,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
9.932932,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-9.46979,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.6621068,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-8.359439,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.484824,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
17.822403,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-7.5642724,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.7266097,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
4.7534304,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.911941,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.031359,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
6.001807,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
10.241249,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.2343936,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.3140335,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.3354995,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
7.2835116,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.236314,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.3398662,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.147464,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.0144970715,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.2863393,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
5.1065183,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
7.0936985,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.723127,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.2588444,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.82833564,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-0.6972691,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.095463,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-5.020517,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
7.436366,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
2.8804529,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
5.514,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
5.7344866,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.8244057,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.189937,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.4028962,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.6953752,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.189148,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-7.0697856,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.3722231,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.9600937,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.364482,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-2.0519907,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-6.5556874,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.5921837,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-3.3404078,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.29678982,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
1.3857443,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
6.4442954,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
3.2203417,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.21362054,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
0.14391053,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-4.367018,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
-1.743458,Control,9.139928531646728,split,Myeloid cells,Idelalisib,0.0709219858156028
