score,group,threshold,split,cell_type,drug,dose
-8.653376,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-1.3160816,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
9.361588,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-8.671883,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-3.6219165,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
11.449119,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-3.9429405,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
7.5048594,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-12.438254,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
6.9589753,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-8.463456,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
11.367979,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-14.469606,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
9.260189,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
7.962286,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
7.93317,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
10.285432,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-11.670896,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-2.528398,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-4.1748457,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
7.253271,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-4.4470477,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-12.508412,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-16.281702,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
11.727153,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-11.226785,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-0.059334517,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-3.1532185,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
7.8145657,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-15.08559,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
5.5089703,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
9.527407,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-6.2504277,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-15.316516,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-5.216984,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
10.86917,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-3.5978446,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-11.953665,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-9.453524,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
6.631126,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-11.403671,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
3.6666877,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
15.539951,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
14.243429,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
1.2674623,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
12.54139,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
13.015212,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
9.649215,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-6.92965,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
13.865127,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-9.692571,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-5.3874397,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-2.2400103,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-5.834579,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
11.801864,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-15.673139,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-4.148448,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
4.1533875,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-13.602964,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
3.719449,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
3.7104747,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-2.9727736,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
3.8127427,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
6.0219145,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
12.491039,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
1.1840725,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-6.4166465,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-3.0350392,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
5.927979,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-8.714256,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-5.9922905,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-9.0437975,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
1.6331973,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-14.599874,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
3.0006986,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-15.055716,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
-4.020553,Control,14.08447041511535,split,Myeloid cells,Palbociclib,0.0709219858156028
