score,group,threshold,split,cell_type,drug,dose
0.045022726,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-3.628987,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-2.05733,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-9.598655,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
5.7394123,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
2.9378452,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
2.362075,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-1.4367423,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-12.309059,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-2.637287,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
0.7875518,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
5.5973153,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
9.60515,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-5.7684526,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-7.860676,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-3.5108511,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-6.8625474,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-0.3127488,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-6.647165,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
2.94842,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-2.2568748,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
4.450424,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-4.7222295,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-2.2617996,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-4.933061,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-3.5957687,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
4.189826,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-1.3168306,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-5.674644,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
0.74628615,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
2.313765,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-3.1846454,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
7.0453925,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
1.4537337,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
3.5735877,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-0.56025654,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-2.2777545,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
2.2772412,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-5.3656516,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
1.1085682,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-11.290541,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
-4.5472083,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
0.19575042,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
4.8534966,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
5.5043163,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
4.6528325,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
5.635035,Control,9.607538938522337,split,T regulatory cells,Dactolisib,0.0709219858156028
