score,group,threshold,split,cell_type,drug,dose
-0.31688607,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
1.0861254,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-0.36683053,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-14.124575,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
7.027394,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.0562677,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
4.9968424,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-0.8623199,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-5.8284154,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-2.7478175,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.9895089,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-2.4955735,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
8.799521,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-8.427224,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-4.1608386,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
4.133395,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-3.631737,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-0.8767576,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-12.62678,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.1336462,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-1.5414054,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.850236,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-8.650821,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-0.57030225,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-6.738968,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.3066082,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
4.3813124,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-5.3853908,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-2.681215,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
0.35170704,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.3394392,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-7.6032457,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.8296385,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
5.410429,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
1.5405883,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.2990794,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.825297,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.4219673,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-2.6017237,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
1.2810359,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-3.8440409,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
0.008760005,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.0833294,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.0829854,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
3.1195633,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
2.200289,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
0.539901,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-8.209834,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
4.1507196,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-5.36095,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
4.226436,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
-5.7954025,Control,7.78530259132385,split,T regulatory cells,Idelalisib,0.0709219858156028
