score,group,threshold,split,cell_type,drug,dose
-5.7021737,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.4857087,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.461201,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.2027116,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.6501742,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.19506484,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
4.410179,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.5220196,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-10.66164,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.2446277,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
1.7646773,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
5.138752,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.611978,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-8.109008,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-2.894909,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.20741701,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.913623,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-3.6150897,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.4702377,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.194077,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.9134283,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.18977153,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.21479821,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-7.2708764,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-3.1950805,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-6.8644,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
1.3817856,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.4317953,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.16621757,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-2.1126642,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
6.6742682,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
1.6096383,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.7969627,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.7734966,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
3.1692147,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.4308955,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-10.225198,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.2427758,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.5136806,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.6393138,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-6.318863,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-9.390891,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.9035826,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.015161,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.3805761,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.4013726,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
8.976419,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-8.342816,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
1.7847039,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-2.2289739,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-5.7809095,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-5.8932247,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-2.8033757,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-7.3050528,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-2.0090466,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-6.2758193,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
5.6286054,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
8.988773,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.4426966,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
2.936767,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-9.113408,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-9.829693,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-0.7928934,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
4.6156445,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.9318856,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.4442403,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.21147871,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
3.7705283,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-11.042507,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-5.3130217,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
7.4838986,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
8.820498,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
3.2861533,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
0.32038134,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
3.1419168,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
4.857222,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-5.759605,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
6.450836,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-3.3209882,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-4.2185264,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-3.3867455,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
-1.6087713,Control,8.820812273025512,split,T regulatory cells,Palbociclib,0.0709219858156028
