mmd_de,comb,method,cell_type,drug,dose
0.0035821381025016308,MCF7_Dacinostat_0.001,CRISP,MCF7,Dacinostat,0.01
0.005318753886967897,MCF7_Dacinostat_0.01,CRISP,MCF7,Dacinostat,0.1
0.004499796777963638,MCF7_Dacinostat_0.1,CRISP,MCF7,Dacinostat,1.0
0.003198129590600729,MCF7_Dacinostat_1.0,CRISP,MCF7,Dacinostat,10.0
0.004894845187664032,MCF7_Givinostat_0.001,CRISP,MCF7,Givinostat,0.01
0.004711141809821129,MCF7_Givinostat_0.01,CRISP,MCF7,Givinostat,0.1
0.004510965663939714,MCF7_Givinostat_0.1,CRISP,MCF7,Givinostat,1.0
0.004262326285243034,MCF7_Givinostat_1.0,CRISP,MCF7,Givinostat,10.0
0.01692071557044983,MCF7_Belinostat_0.001,CRISP,MCF7,Belinostat,0.01
0.008205641061067581,MCF7_Belinostat_0.01,CRISP,MCF7,Belinostat,0.1
0.005857420153915882,MCF7_Belinostat_0.1,CRISP,MCF7,Belinostat,1.0
0.005294056609272957,MCF7_Belinostat_1.0,CRISP,MCF7,Belinostat,10.0
0.008850276470184326,MCF7_Hesperadin_0.001,CRISP,MCF7,Hesperadin,0.01
0.06972068548202515,MCF7_Hesperadin_0.01,CRISP,MCF7,Hesperadin,0.1
0.036680690944194794,MCF7_Hesperadin_0.1,CRISP,MCF7,Hesperadin,1.0
0.04395952820777893,MCF7_Hesperadin_1.0,CRISP,MCF7,Hesperadin,10.0
0.005669089034199715,MCF7_Quisinostat_0.001,CRISP,MCF7,Quisinostat,0.01
0.0045532057993113995,MCF7_Quisinostat_0.01,CRISP,MCF7,Quisinostat,0.1
0.004389755427837372,MCF7_Quisinostat_0.1,CRISP,MCF7,Quisinostat,1.0
0.004027708899229765,MCF7_Quisinostat_1.0,CRISP,MCF7,Quisinostat,10.0
0.02088765799999237,MCF7_Alvespimycin_0.001,CRISP,MCF7,Alvespimycin,0.01
0.03352314233779907,MCF7_Alvespimycin_0.01,CRISP,MCF7,Alvespimycin,0.1
0.0451514795422554,MCF7_Alvespimycin_0.1,CRISP,MCF7,Alvespimycin,1.0
0.34565961360931396,MCF7_Alvespimycin_1.0,CRISP,MCF7,Alvespimycin,10.0
0.018312811851501465,MCF7_Tanespimycin_0.001,CRISP,MCF7,Tanespimycin,0.01
0.01731165498495102,MCF7_Tanespimycin_0.01,CRISP,MCF7,Tanespimycin,0.1
0.03849871829152107,MCF7_Tanespimycin_0.1,CRISP,MCF7,Tanespimycin,1.0
0.021729346364736557,MCF7_Tanespimycin_1.0,CRISP,MCF7,Tanespimycin,10.0
0.014422088861465454,MCF7_TAK-901_0.001,CRISP,MCF7,TAK-901,0.01
0.012719586491584778,MCF7_TAK-901_0.01,CRISP,MCF7,TAK-901,0.1
0.024068593978881836,MCF7_TAK-901_0.1,CRISP,MCF7,TAK-901,1.0
0.11604365706443787,MCF7_TAK-901_1.0,CRISP,MCF7,TAK-901,10.0
0.03262290358543396,MCF7_Flavopiridol_0.001,CRISP,MCF7,Flavopiridol,0.01
0.03213906288146973,MCF7_Flavopiridol_0.01,CRISP,MCF7,Flavopiridol,0.1
0.3914947807788849,MCF7_Flavopiridol_0.1,CRISP,MCF7,Flavopiridol,1.0
0.4551364779472351,MCF7_Flavopiridol_1.0,CRISP,MCF7,Flavopiridol,10.0
0.0034427084028720856,A549_Dacinostat_0.001,CRISP,A549,Dacinostat,0.01
0.015750134363770485,A549_Dacinostat_0.01,CRISP,A549,Dacinostat,0.1
0.03893585130572319,A549_Dacinostat_0.1,CRISP,A549,Dacinostat,1.0
