method,seed,split_key,cell_type,drug,dose,pert_category,pearson_delta_de
CRISP,0,zero_split_drugs2,A549,Alvespimycin,0.0010000000474974513,A549_Alvespimycin_0.001,0.6461121375932182
CRISP,0,zero_split_drugs2,A549,Belinostat,0.0010000000474974513,A549_Belinostat_0.001,0.4997883256398826
CRISP,0,zero_split_drugs2,A549,Dacinostat,0.0010000000474974513,A549_Dacinostat_0.001,0.48057864322439064
CRISP,0,zero_split_drugs2,A549,Flavopiridol,0.0010000000474974513,A549_Flavopiridol_0.001,0.1129240278958713
CRISP,0,zero_split_drugs2,A549,Givinostat,0.0010000000474974513,A549_Givinostat_0.001,-0.209602636
CRISP,0,zero_split_drugs2,A549,Hesperadin,0.0010000000474974513,A549_Hesperadin_0.001,-0.149218455
CRISP,0,zero_split_drugs2,A549,Quisinostat,0.0010000000474974513,A549_Quisinostat_0.001,0.8054444737268199
CRISP,0,zero_split_drugs2,A549,TAK-901,0.0010000000474974513,A549_TAK-901_0.001,-0.82561298
CRISP,0,zero_split_drugs2,A549,Tanespimycin,0.0010000000474974513,A549_Tanespimycin_0.001,-0.159193242
CRISP,0,zero_split_drugs3,K562,Alvespimycin,0.0010000000474974513,K562_Alvespimycin_0.001,0.4260741928622159
CRISP,0,zero_split_drugs3,K562,Belinostat,0.0010000000474974513,K562_Belinostat_0.001,0.6234564694727398
CRISP,0,zero_split_drugs3,K562,Dacinostat,0.0010000000474974513,K562_Dacinostat_0.001,0.9674033811616078
CRISP,0,zero_split_drugs3,K562,Flavopiridol,0.0010000000474974513,K562_Flavopiridol_0.001,0.4186791411558086
CRISP,0,zero_split_drugs3,K562,Givinostat,0.0010000000474974513,K562_Givinostat_0.001,0.5476833753157722
CRISP,0,zero_split_drugs3,K562,Hesperadin,0.0010000000474974513,K562_Hesperadin_0.001,0.2628813130510432
CRISP,0,zero_split_drugs3,K562,Quisinostat,0.0010000000474974513,K562_Quisinostat_0.001,0.9689335048963998
CRISP,0,zero_split_drugs3,K562,TAK-901,0.0010000000474974513,K562_TAK-901_0.001,0.00576552699653891
CRISP,0,zero_split_drugs3,K562,Tanespimycin,0.0010000000474974513,K562_Tanespimycin_0.001,-0.018933615
CRISP,0,zero_split_drugs,MCF7,Alvespimycin,0.0010000000474974513,MCF7_Alvespimycin_0.001,0.5848416729530371
CRISP,0,zero_split_drugs,MCF7,Belinostat,0.0010000000474974513,MCF7_Belinostat_0.001,0.655162346714431
