method,seed,split_key,cell_type,drug,dose,pert_category,pearson_delta_de
DIFFCRISP,0,zero_split_drugs2,A549,Alvespimycin,0.0010000000474974,A549_Alvespimycin_0.001,0.910601715286016
DIFFCRISP,0,zero_split_drugs2,A549,Belinostat,0.0010000000474974,A549_Belinostat_0.001,0.8754750297309526
DIFFCRISP,0,zero_split_drugs2,A549,Dacinostat,0.0010000000474974,A549_Dacinostat_0.001,0.4430857720316514
DIFFCRISP,0,zero_split_drugs2,A549,Flavopiridol,0.0010000000474974,A549_Flavopiridol_0.001,0.1445282066375472
DIFFCRISP,0,zero_split_drugs2,A549,Givinostat,0.0010000000474974,A549_Givinostat_0.001,-0.0919435753529938
DIFFCRISP,0,zero_split_drugs2,A549,Hesperadin,0.0010000000474974,A549_Hesperadin_0.001,-0.0433311694038874
DIFFCRISP,0,zero_split_drugs2,A549,Quisinostat,0.0010000000474974,A549_Quisinostat_0.001,0.8494913330445683
DIFFCRISP,0,zero_split_drugs2,A549,TAK-901,0.0010000000474974,A549_TAK-901_0.001,-0.9203271902295947
DIFFCRISP,0,zero_split_drugs2,A549,Tanespimycin,0.0010000000474974,A549_Tanespimycin_0.001,-0.2100373388267969
DIFFCRISP,0,zero_split_drugs3,K562,Alvespimycin,0.0010000000474974,K562_Alvespimycin_0.001,0.8153798831658507
DIFFCRISP,0,zero_split_drugs3,K562,Belinostat,0.0010000000474974,K562_Belinostat_0.001,0.6703710445554991
DIFFCRISP,0,zero_split_drugs3,K562,Dacinostat,0.0010000000474974,K562_Dacinostat_0.001,0.9905891096455745
DIFFCRISP,0,zero_split_drugs3,K562,Flavopiridol,0.0010000000474974,K562_Flavopiridol_0.001,0.4159242745272876
DIFFCRISP,0,zero_split_drugs3,K562,Givinostat,0.0010000000474974,K562_Givinostat_0.001,0.9446990504771252
DIFFCRISP,0,zero_split_drugs3,K562,Hesperadin,0.0010000000474974,K562_Hesperadin_0.001,0.4525814513632763
DIFFCRISP,0,zero_split_drugs3,K562,Quisinostat,0.0010000000474974,K562_Quisinostat_0.001,0.9896692868626024
DIFFCRISP,0,zero_split_drugs3,K562,TAK-901,0.0010000000474974,K562_TAK-901_0.001,0.2116532169873443
DIFFCRISP,0,zero_split_drugs3,K562,Tanespimycin,0.0010000000474974,K562_Tanespimycin_0.001,0.3027675904491769
DIFFCRISP,0,zero_split_drugs,MCF7,Alvespimycin,0.0010000000474974,MCF7_Alvespimycin_0.001,0.3470717543767154
DIFFCRISP,0,zero_split_drugs,MCF7,Belinostat,0.0010000000474974,MCF7_Belinostat_0.001,0.7310434184436783
