direction_acc,drug,dose,cell_type,batch_original,batch_group,n_cells,n_de_genes,method
0.7346938775510204,Belinostat,0.007092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,49,DiffCRISP
0.6666666666666666,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,39,DiffCRISP
0.5681818181818182,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,44,DiffCRISP
0.28,Dabrafenib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,50,DiffCRISP
0.5121951219512195,Dactolisib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,41,DiffCRISP
0.4318181818181818,Foretinib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,44,DiffCRISP
0.6388888888888888,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,36,DiffCRISP
0.7096774193548387,LDN193189,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,31,DiffCRISP
0.4857142857142857,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,35,DiffCRISP
0.7241379310344828,ODemethylatedAdapalene,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,29,DiffCRISP
0.575,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,40,DiffCRISP
0.78125,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,32,DiffCRISP
0.7073170731707317,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,41,DiffCRISP
0.7755102040816326,Belinostat,0.007092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,49,DiffCRISP
0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,39,DiffCRISP
0.6363636363636364,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,44,DiffCRISP
0.24,Dabrafenib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,50,DiffCRISP
0.6341463414634146,Dactolisib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,41,DiffCRISP
0.5909090909090909,Foretinib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,44,DiffCRISP
0.4444444444444444,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,36,DiffCRISP
0.4838709677419355,LDN193189,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,31,DiffCRISP
0.6285714285714286,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,35,DiffCRISP
0.5172413793103449,ODemethylatedAdapalene,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,29,DiffCRISP
0.45,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,40,DiffCRISP
0.59375,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,32,DiffCRISP
0.6097560975609756,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,41,DiffCRISP
0.7755102040816326,Belinostat,0.007092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,49,DiffCRISP
0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,39,DiffCRISP
