setting,direction_acc,drug,dose,cell_type,pbmc_cell_type,batch_original,n_cells,n_de_genes,method
Seen drugs,0.6666666666666666,Belinostat,0.007092198581560284,B cells,B cell,10x Chromium (v2),862,48,DiffCRISP
Seen drugs,0.8333333333333334,CHIR99021,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,42,DiffCRISP
Seen drugs,0.43478260869565216,Crizotinib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,46,DiffCRISP
Seen drugs,0.425531914893617,Dabrafenib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,47,DiffCRISP
Seen drugs,0.43478260869565216,Dactolisib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,46,DiffCRISP
Seen drugs,0.3125,Foretinib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,48,DiffCRISP
Seen drugs,0.4772727272727273,Idelalisib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,44,DiffCRISP
Seen drugs,0.7741935483870968,LDN193189,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,31,DiffCRISP
Seen drugs,0.6774193548387096,Linagliptin,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,31,DiffCRISP
Seen drugs,0.5813953488372093,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,43,DiffCRISP
Seen drugs,0.43243243243243246,Palbociclib,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,37,DiffCRISP
Seen drugs,0.8928571428571429,Penfluridol,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,28,DiffCRISP
Seen drugs,0.8787878787878788,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,10x Chromium (v2),862,33,DiffCRISP
Seen drugs,0.5625,Belinostat,0.007092198581560284,B cells,B cell,10x Chromium (v2) A,288,48,DiffCRISP
Seen drugs,0.6666666666666666,CHIR99021,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,42,DiffCRISP
Seen drugs,0.391304347826087,Crizotinib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,46,DiffCRISP
Seen drugs,0.425531914893617,Dabrafenib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,47,DiffCRISP
Seen drugs,0.391304347826087,Dactolisib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,46,DiffCRISP
Seen drugs,0.375,Foretinib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,48,DiffCRISP
Seen drugs,0.36363636363636365,Idelalisib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,44,DiffCRISP
Seen drugs,0.5806451612903226,LDN193189,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,31,DiffCRISP
Seen drugs,0.5806451612903226,Linagliptin,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,31,DiffCRISP
Seen drugs,0.4883720930232558,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,43,DiffCRISP
Seen drugs,0.40540540540540543,Palbociclib,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,37,DiffCRISP
Seen drugs,0.6428571428571429,Penfluridol,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,28,DiffCRISP
Seen drugs,0.6363636363636364,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,10x Chromium (v2) A,288,33,DiffCRISP
Seen drugs,0.5833333333333334,Belinostat,0.007092198581560284,B cells,B cell,10x Chromium (v2) B,388,48,DiffCRISP
Seen drugs,0.7619047619047619,CHIR99021,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,42,DiffCRISP
Seen drugs,0.30434782608695654,Crizotinib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,46,DiffCRISP
Seen drugs,0.40425531914893614,Dabrafenib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,47,DiffCRISP
Seen drugs,0.4782608695652174,Dactolisib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,46,DiffCRISP
Seen drugs,0.3541666666666667,Foretinib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,48,DiffCRISP
Seen drugs,0.2727272727272727,Idelalisib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,44,DiffCRISP
Seen drugs,0.6774193548387096,LDN193189,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,31,DiffCRISP
Seen drugs,0.6774193548387096,Linagliptin,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,31,DiffCRISP
Seen drugs,0.5116279069767442,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,43,DiffCRISP
Seen drugs,0.32432432432432434,Palbociclib,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,37,DiffCRISP
Seen drugs,0.7142857142857143,Penfluridol,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,28,DiffCRISP
Seen drugs,0.7575757575757576,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,10x Chromium (v2) B,388,33,DiffCRISP
Seen drugs,0.6666666666666666,Belinostat,0.007092198581560284,B cells,B cell,10x Chromium (v3),346,48,DiffCRISP
Seen drugs,0.7380952380952381,CHIR99021,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,42,DiffCRISP
Seen drugs,0.2826086956521739,Crizotinib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,46,DiffCRISP
Seen drugs,0.3829787234042553,Dabrafenib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,47,DiffCRISP
Seen drugs,0.45652173913043476,Dactolisib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,46,DiffCRISP
Seen drugs,0.2916666666666667,Foretinib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,48,DiffCRISP
Seen drugs,0.4090909090909091,Idelalisib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,44,DiffCRISP
Seen drugs,0.6774193548387096,LDN193189,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,31,DiffCRISP
Seen drugs,0.6451612903225806,Linagliptin,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,31,DiffCRISP
Seen drugs,0.5116279069767442,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,43,DiffCRISP
Seen drugs,0.40540540540540543,Palbociclib,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,37,DiffCRISP
Seen drugs,0.8214285714285714,Penfluridol,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,28,DiffCRISP
Seen drugs,0.7575757575757576,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,10x Chromium (v3),346,33,DiffCRISP
Seen drugs,0.6041666666666666,Belinostat,0.007092198581560284,B cells,B cell,CEL-Seq2,80,48,DiffCRISP
Seen drugs,0.6428571428571429,CHIR99021,0.07092198581560284,B cells,B cell,CEL-Seq2,80,42,DiffCRISP
Seen drugs,0.43478260869565216,Crizotinib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,46,DiffCRISP
Seen drugs,0.40425531914893614,Dabrafenib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,47,DiffCRISP
Seen drugs,0.391304347826087,Dactolisib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,46,DiffCRISP
Seen drugs,0.375,Foretinib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,48,DiffCRISP
Seen drugs,0.3181818181818182,Idelalisib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,44,DiffCRISP
Seen drugs,0.6774193548387096,LDN193189,0.07092198581560284,B cells,B cell,CEL-Seq2,80,31,DiffCRISP
Seen drugs,0.6129032258064516,Linagliptin,0.07092198581560284,B cells,B cell,CEL-Seq2,80,31,DiffCRISP
Seen drugs,0.4418604651162791,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,CEL-Seq2,80,43,DiffCRISP
Seen drugs,0.40540540540540543,Palbociclib,0.07092198581560284,B cells,B cell,CEL-Seq2,80,37,DiffCRISP
Seen drugs,0.5714285714285714,Penfluridol,0.07092198581560284,B cells,B cell,CEL-Seq2,80,28,DiffCRISP
Seen drugs,0.5757575757575758,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,CEL-Seq2,80,33,DiffCRISP
Seen drugs,0.6458333333333334,Belinostat,0.007092198581560284,B cells,B cell,Drop-seq,1405,48,DiffCRISP
Seen drugs,0.6904761904761905,CHIR99021,0.07092198581560284,B cells,B cell,Drop-seq,1405,42,DiffCRISP
Seen drugs,0.43478260869565216,Crizotinib,0.07092198581560284,B cells,B cell,Drop-seq,1405,46,DiffCRISP
Seen drugs,0.425531914893617,Dabrafenib,0.07092198581560284,B cells,B cell,Drop-seq,1405,47,DiffCRISP
Seen drugs,0.43478260869565216,Dactolisib,0.07092198581560284,B cells,B cell,Drop-seq,1405,46,DiffCRISP
Seen drugs,0.3541666666666667,Foretinib,0.07092198581560284,B cells,B cell,Drop-seq,1405,48,DiffCRISP
Seen drugs,0.4318181818181818,Idelalisib,0.07092198581560284,B cells,B cell,Drop-seq,1405,44,DiffCRISP
Seen drugs,0.7741935483870968,LDN193189,0.07092198581560284,B cells,B cell,Drop-seq,1405,31,DiffCRISP
Seen drugs,0.8064516129032258,Linagliptin,0.07092198581560284,B cells,B cell,Drop-seq,1405,31,DiffCRISP
Seen drugs,0.5813953488372093,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,Drop-seq,1405,43,DiffCRISP
Seen drugs,0.5405405405405406,Palbociclib,0.07092198581560284,B cells,B cell,Drop-seq,1405,37,DiffCRISP
Seen drugs,0.8214285714285714,Penfluridol,0.07092198581560284,B cells,B cell,Drop-seq,1405,28,DiffCRISP
Seen drugs,0.8787878787878788,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,Drop-seq,1405,33,DiffCRISP
Seen drugs,0.5625,Belinostat,0.007092198581560284,B cells,B cell,Seq-Well,527,48,DiffCRISP
Seen drugs,0.5476190476190477,CHIR99021,0.07092198581560284,B cells,B cell,Seq-Well,527,42,DiffCRISP
Seen drugs,0.30434782608695654,Crizotinib,0.07092198581560284,B cells,B cell,Seq-Well,527,46,DiffCRISP
Seen drugs,0.3829787234042553,Dabrafenib,0.07092198581560284,B cells,B cell,Seq-Well,527,47,DiffCRISP
Seen drugs,0.41304347826086957,Dactolisib,0.07092198581560284,B cells,B cell,Seq-Well,527,46,DiffCRISP
Seen drugs,0.2708333333333333,Foretinib,0.07092198581560284,B cells,B cell,Seq-Well,527,48,DiffCRISP
Seen drugs,0.45454545454545453,Idelalisib,0.07092198581560284,B cells,B cell,Seq-Well,527,44,DiffCRISP
Seen drugs,0.7096774193548387,LDN193189,0.07092198581560284,B cells,B cell,Seq-Well,527,31,DiffCRISP
Seen drugs,0.5483870967741935,Linagliptin,0.07092198581560284,B cells,B cell,Seq-Well,527,31,DiffCRISP
Seen drugs,0.4186046511627907,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,Seq-Well,527,43,DiffCRISP
Seen drugs,0.5405405405405406,Palbociclib,0.07092198581560284,B cells,B cell,Seq-Well,527,37,DiffCRISP
Seen drugs,0.7142857142857143,Penfluridol,0.07092198581560284,B cells,B cell,Seq-Well,527,28,DiffCRISP
Seen drugs,0.8181818181818182,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,Seq-Well,527,33,DiffCRISP
Seen drugs,0.7291666666666666,Belinostat,0.007092198581560284,B cells,B cell,Smart-seq2,79,48,DiffCRISP
Seen drugs,0.6190476190476191,CHIR99021,0.07092198581560284,B cells,B cell,Smart-seq2,79,42,DiffCRISP
Seen drugs,0.30434782608695654,Crizotinib,0.07092198581560284,B cells,B cell,Smart-seq2,79,46,DiffCRISP
Seen drugs,0.5106382978723404,Dabrafenib,0.07092198581560284,B cells,B cell,Smart-seq2,79,47,DiffCRISP
Seen drugs,0.41304347826086957,Dactolisib,0.07092198581560284,B cells,B cell,Smart-seq2,79,46,DiffCRISP
Seen drugs,0.2916666666666667,Foretinib,0.07092198581560284,B cells,B cell,Smart-seq2,79,48,DiffCRISP
Seen drugs,0.4090909090909091,Idelalisib,0.07092198581560284,B cells,B cell,Smart-seq2,79,44,DiffCRISP
Seen drugs,0.5806451612903226,LDN193189,0.07092198581560284,B cells,B cell,Smart-seq2,79,31,DiffCRISP
Seen drugs,0.6129032258064516,Linagliptin,0.07092198581560284,B cells,B cell,Smart-seq2,79,31,DiffCRISP
Seen drugs,0.46511627906976744,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,Smart-seq2,79,43,DiffCRISP
Seen drugs,0.4594594594594595,Palbociclib,0.07092198581560284,B cells,B cell,Smart-seq2,79,37,DiffCRISP
Seen drugs,0.5357142857142857,Penfluridol,0.07092198581560284,B cells,B cell,Smart-seq2,79,28,DiffCRISP
Seen drugs,0.6060606060606061,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,Smart-seq2,79,33,DiffCRISP
Seen drugs,0.5833333333333334,Belinostat,0.007092198581560284,B cells,B cell,inDrops,1045,48,DiffCRISP
Seen drugs,0.6666666666666666,CHIR99021,0.07092198581560284,B cells,B cell,inDrops,1045,42,DiffCRISP
Seen drugs,0.17391304347826086,Crizotinib,0.07092198581560284,B cells,B cell,inDrops,1045,46,DiffCRISP
Seen drugs,0.48936170212765956,Dabrafenib,0.07092198581560284,B cells,B cell,inDrops,1045,47,DiffCRISP
Seen drugs,0.34782608695652173,Dactolisib,0.07092198581560284,B cells,B cell,inDrops,1045,46,DiffCRISP
Seen drugs,0.25,Foretinib,0.07092198581560284,B cells,B cell,inDrops,1045,48,DiffCRISP
Seen drugs,0.3409090909090909,Idelalisib,0.07092198581560284,B cells,B cell,inDrops,1045,44,DiffCRISP
Seen drugs,0.6774193548387096,LDN193189,0.07092198581560284,B cells,B cell,inDrops,1045,31,DiffCRISP
Seen drugs,0.5806451612903226,Linagliptin,0.07092198581560284,B cells,B cell,inDrops,1045,31,DiffCRISP
Seen drugs,0.4883720930232558,ODemethylatedAdapalene,0.07092198581560284,B cells,B cell,inDrops,1045,43,DiffCRISP
Seen drugs,0.32432432432432434,Palbociclib,0.07092198581560284,B cells,B cell,inDrops,1045,37,DiffCRISP
Seen drugs,0.6428571428571429,Penfluridol,0.07092198581560284,B cells,B cell,inDrops,1045,28,DiffCRISP
Seen drugs,0.7272727272727273,PorcnInhibitorIII,0.07092198581560284,B cells,B cell,inDrops,1045,33,DiffCRISP
Seen drugs,0.7551020408163265,Belinostat,0.007092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,49,DiffCRISP
Seen drugs,0.6666666666666666,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,39,DiffCRISP
Seen drugs,0.5681818181818182,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,44,DiffCRISP
Seen drugs,0.3,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,50,DiffCRISP
Seen drugs,0.5853658536585366,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,41,DiffCRISP
Seen drugs,0.4090909090909091,Foretinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,44,DiffCRISP
Seen drugs,0.6666666666666666,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,36,DiffCRISP
Seen drugs,0.7419354838709677,LDN193189,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,31,DiffCRISP
Seen drugs,0.5142857142857142,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,35,DiffCRISP
Seen drugs,0.7241379310344828,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,29,DiffCRISP
Seen drugs,0.575,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,40,DiffCRISP
Seen drugs,0.78125,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,32,DiffCRISP
Seen drugs,0.7073170731707317,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2),219,41,DiffCRISP
Seen drugs,0.7755102040816326,Belinostat,0.007092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,49,DiffCRISP
Seen drugs,0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,39,DiffCRISP
Seen drugs,0.6590909090909091,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,44,DiffCRISP
Seen drugs,0.28,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,50,DiffCRISP
Seen drugs,0.6341463414634146,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,41,DiffCRISP
Seen drugs,0.5909090909090909,Foretinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,44,DiffCRISP
