direction_acc,drug,dose,cell_type,batch_original,batch_group,n_cells,n_de_genes,method
0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,39,DiffCRISP
0.36363636363636365,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,44,DiffCRISP
0.36363636363636365,Foretinib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,44,DiffCRISP
0.5277777777777778,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,36,DiffCRISP
0.37142857142857144,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,35,DiffCRISP
0.55,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,40,DiffCRISP
0.78125,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,32,DiffCRISP
0.6829268292682927,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,41,DiffCRISP
0.5806451612903226,R428,0.07092198581560284,NK cells,10x Chromium (v2),10x Chromium (v2),219,31,DiffCRISP
0.48717948717948717,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,39,DiffCRISP
0.3409090909090909,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,44,DiffCRISP
0.4318181818181818,Foretinib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,44,DiffCRISP
0.4444444444444444,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,36,DiffCRISP
0.42857142857142855,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,35,DiffCRISP
0.475,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,40,DiffCRISP
0.5625,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,32,DiffCRISP
0.6585365853658537,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,41,DiffCRISP
0.3548387096774194,R428,0.07092198581560284,NK cells,10x Chromium (v2) A,10x Chromium (v2),166,31,DiffCRISP
0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,39,DiffCRISP
0.36363636363636365,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,44,DiffCRISP
0.5227272727272727,Foretinib,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,44,DiffCRISP
0.5555555555555556,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,36,DiffCRISP
0.45714285714285713,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,35,DiffCRISP
0.675,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,40,DiffCRISP
0.71875,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,32,DiffCRISP
0.7073170731707317,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,41,DiffCRISP
0.5806451612903226,R428,0.07092198581560284,NK cells,10x Chromium (v2) B,10x Chromium (v2),263,31,DiffCRISP
0.5641025641025641,CHIR99021,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,39,DiffCRISP
0.45454545454545453,Crizotinib,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,44,DiffCRISP
0.45454545454545453,Foretinib,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,44,DiffCRISP
0.6111111111111112,Idelalisib,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,36,DiffCRISP
0.37142857142857144,Linagliptin,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,35,DiffCRISP
0.7,Palbociclib,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,40,DiffCRISP
0.71875,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,32,DiffCRISP
0.7560975609756098,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,41,DiffCRISP
0.4838709677419355,R428,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,31,DiffCRISP
0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,39,DiffCRISP
0.45454545454545453,Crizotinib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,44,DiffCRISP
0.36363636363636365,Foretinib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,44,DiffCRISP
0.5555555555555556,Idelalisib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,36,DiffCRISP
0.3142857142857143,Linagliptin,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,35,DiffCRISP
0.525,Palbociclib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,40,DiffCRISP
0.65625,Penfluridol,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,32,DiffCRISP
0.6585365853658537,PorcnInhibitorIII,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,41,DiffCRISP
0.5806451612903226,R428,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,31,DiffCRISP
0.48717948717948717,CHIR99021,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,39,DiffCRISP
0.3181818181818182,Crizotinib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,44,DiffCRISP
0.5,Foretinib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,44,DiffCRISP
0.6388888888888888,Idelalisib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,36,DiffCRISP
0.4,Linagliptin,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,35,DiffCRISP
0.65,Palbociclib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,40,DiffCRISP
0.71875,Penfluridol,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,32,DiffCRISP
0.6097560975609756,PorcnInhibitorIII,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,41,DiffCRISP
0.5806451612903226,R428,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,31,DiffCRISP
0.5641025641025641,CHIR99021,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,39,DiffCRISP
0.38636363636363635,Crizotinib,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,44,DiffCRISP
0.4318181818181818,Foretinib,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,44,DiffCRISP
0.5277777777777778,Idelalisib,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,36,DiffCRISP
0.2857142857142857,Linagliptin,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,35,DiffCRISP
0.55,Palbociclib,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,40,DiffCRISP
0.59375,Penfluridol,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,32,DiffCRISP
0.6585365853658537,PorcnInhibitorIII,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,41,DiffCRISP
0.5161290322580645,R428,0.07092198581560284,NK cells,Smart-seq2,Smart-seq2,50,31,DiffCRISP
0.38461538461538464,CHIR99021,0.07092198581560284,NK cells,inDrops,inDrops,147,39,DiffCRISP
0.25,Crizotinib,0.07092198581560284,NK cells,inDrops,inDrops,147,44,DiffCRISP
0.3181818181818182,Foretinib,0.07092198581560284,NK cells,inDrops,inDrops,147,44,DiffCRISP
0.2777777777777778,Idelalisib,0.07092198581560284,NK cells,inDrops,inDrops,147,36,DiffCRISP
0.22857142857142856,Linagliptin,0.07092198581560284,NK cells,inDrops,inDrops,147,35,DiffCRISP
0.275,Palbociclib,0.07092198581560284,NK cells,inDrops,inDrops,147,40,DiffCRISP
0.40625,Penfluridol,0.07092198581560284,NK cells,inDrops,inDrops,147,32,DiffCRISP
0.34146341463414637,PorcnInhibitorIII,0.07092198581560284,NK cells,inDrops,inDrops,147,41,DiffCRISP
0.5161290322580645,R428,0.07092198581560284,NK cells,inDrops,inDrops,147,31,DiffCRISP
