Term,Dasatinib_NES,Nilotinib_NES,Bosutinib_NES,Mean_NES,Weakest_NES
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-2.0224295224152646,-2.507927908608337,-1.9192741469251533,-2.1498771926495848,-1.9192741469251533
REACTOME_RHO_GTPASE_CYCLE,-1.98134721799877,-2.451122861456818,-1.826495327190044,-2.086321802215211,-1.826495327190044
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,-2.017921888973848,-1.940607688140056,-2.280599595748241,-2.079709724287382,-1.940607688140056
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,-2.2775437371757468,-2.0174867408572097,-1.6603333337388249,-1.9851212705905936,-1.6603333337388249
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,-2.3022600276862737,-1.970165873567708,-1.6468161109493928,-1.9730806707344584,-1.6468161109493928
REACTOME_RHOA_GTPASE_CYCLE,-2.0267242807298604,-2.1894580434565047,-1.6958160127543516,-1.970666112313572,-1.6958160127543516
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,-2.0586156572877408,-2.0448558046878027,-1.7939954044490671,-1.9658222888082033,-1.7939954044490671
PID_TCR_PATHWAY,-1.9220173067885344,-2.1345819860024124,-1.7256863618755751,-1.9274285515555076,-1.7256863618755751
PID_CD8_TCR_PATHWAY,-1.968294543356996,-2.134793990132452,-1.645441638770936,-1.9161767240867948,-1.645441638770936
WP_TCELL_RECEPTOR_SIGNALING,-1.5507968563726546,-1.9368431322929351,-2.2408918179398563,-1.9095106022018153,-1.5507968563726546
WP_HIPPO_SIGNALING_REGULATION,-1.7355663603533102,-2.048310746597461,-1.8537232690560528,-1.8792001253356079,-1.7355663603533102
KEGG_PATHWAYS_IN_CANCER,-1.827261709641639,-1.99128185239224,-1.799116183794155,-1.8725532486093446,-1.799116183794155
PID_CD8_TCR_DOWNSTREAM_PATHWAY,-1.9868223372257403,-1.965846932370601,-1.656276710786104,-1.8696486601274815,-1.656276710786104
REACTOME_TCR_SIGNALING,-1.6659938490315611,-2.1334673875782344,-1.7370380561669276,-1.8454997642589077,-1.6659938490315611
WP_GLIOBLASTOMA_SIGNALING,-1.658728239190454,-1.881032667139693,-1.9946104096002408,-1.8447904386434626,-1.658728239190454
KEGG_LONG_TERM_DEPRESSION,-1.8222866432709195,-1.877413061318306,-1.8247509109537732,-1.8414835385143329,-1.8222866432709195
