Term,Capecitabine_NES,Fluorouracil_NES,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,Thiotepa_NES,n_drugs,Mean_NES,Weakest_NES
REACTOME_CELL_CYCLE_CHECKPOINTS,,,-2.295541443329121,-2.629032010128455,-1.9832754698705404,,3,-2.302616307776039,-1.9832754698705404
REACTOME_CELL_CYCLE,,,-1.9560011227107432,-2.6838921328862217,-1.920298823074504,,3,-2.1867306928904893,-1.920298823074504
WP_PANCREATIC_CANCER_SUBTYPES,,,-1.7312586909152339,-1.8534790406621409,,,2,-1.7923688657886874,-1.7312586909152339
REACTOME_CELL_CYCLE_MITOTIC,,,,-2.3996863793925174,,,1,-2.3996863793925174,-2.3996863793925174
WP_ERBB_SIGNALING,,,,-1.7300945426698626,,,1,-1.7300945426698626,-1.7300945426698626
KEGG_ERBB_SIGNALING_PATHWAY,,,,-1.7283580145147275,,,1,-1.7283580145147275,-1.7283580145147275
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,,,,-1.7126346093906992,,,1,-1.7126346093906992,-1.7126346093906992
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,,,,-1.6667238039907741,,,1,-1.6667238039907741,-1.6667238039907741
PID_ERBB1_DOWNSTREAM_PATHWAY,,,,-1.609475341879764,,,1,-1.609475341879764,-1.609475341879764
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,,,,-1.5075607747927606,,,1,-1.5075607747927606,-1.5075607747927606
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,,,,-1.491823435851824,,,1,-1.491823435851824,-1.491823435851824
WP_VEGFAVEGFR2_SIGNALING,,,,-1.4885275263440942,,,1,-1.4885275263440942,-1.4885275263440942
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,,,,-1.4790157582311305,,,1,-1.4790157582311305,-1.4790157582311305
