Term,Capecitabine_NES,Fluorouracil_NES,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,Thiotepa_NES,n_drugs,Mean_NES,Weakest_NES,Direction
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,,,2.116973939652003,,1.8796949643266117,,2,1.9983344519893074,1.8796949643266117,Positive
WP_EGFEGFR_SIGNALING,,,1.8099436510453057,1.7373851130082159,,,2,1.7736643820267608,1.7373851130082159,Positive
WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER,,,1.5368133739991399,1.722923483509431,,,2,1.6298684287542855,1.5368133739991399,Positive
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,,,,2.2330072009389372,,,1,2.2330072009389372,2.2330072009389372,Positive
WP_BREAST_CANCER_PATHWAY,,,,2.18009409763491,,,1,2.18009409763491,2.18009409763491,Positive
KEGG_PANCREATIC_CANCER,,,,1.830659083013023,,,1,1.830659083013023,1.830659083013023,Positive
WP_CANCER_PATHWAYS,,,,1.7869902996545923,,,1,1.7869902996545923,1.7869902996545923,Positive
WP_PI3KAKT_SIGNALING,,,,1.7488519919991943,,,1,1.7488519919991943,1.7488519919991943,Positive
PID_P53_DOWNSTREAM_PATHWAY,,,1.4845892530155247,,,,1,1.4845892530155247,1.4845892530155247,Positive
REACTOME_CELL_CYCLE_CHECKPOINTS,,,-2.295541443329121,-2.629032010128455,-1.9832754698705404,,3,-2.302616307776039,-1.9832754698705404,Negative
REACTOME_CELL_CYCLE,,,-1.9560011227107432,-2.6838921328862217,-1.920298823074504,,3,-2.1867306928904893,-1.920298823074504,Negative
REACTOME_ESR_MEDIATED_SIGNALING,-2.0340978273551134,,-1.6922815125906951,-1.9912173629429368,,,3,-1.9058655676295817,-1.6922815125906951,Negative
WP_PANCREATIC_CANCER_SUBTYPES,,,-1.7312586909152339,-1.8534790406621409,,,2,-1.7923688657886874,-1.7312586909152339,Negative
REACTOME_CELL_CYCLE_MITOTIC,,,,-2.3996863793925174,,,1,-2.3996863793925174,-2.3996863793925174,Negative
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,,,,-1.8265410904655008,,,1,-1.8265410904655008,-1.8265410904655008,Negative
WP_ERBB_SIGNALING,,,,-1.7300945426698626,,,1,-1.7300945426698626,-1.7300945426698626,Negative
KEGG_ERBB_SIGNALING_PATHWAY,,,,-1.7283580145147275,,,1,-1.7283580145147275,-1.7283580145147275,Negative
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,,,,-1.7126346093906992,,,1,-1.7126346093906992,-1.7126346093906992,Negative
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,,,,-1.6667238039907741,,,1,-1.6667238039907741,-1.6667238039907741,Negative
PID_ERBB1_DOWNSTREAM_PATHWAY,,,,-1.609475341879764,,,1,-1.609475341879764,-1.609475341879764,Negative
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309,Negative
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309,Negative
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,,,,-1.5075607747927606,,,1,-1.5075607747927606,-1.5075607747927606,Negative
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,,,,-1.491823435851824,,,1,-1.491823435851824,-1.491823435851824,Negative
WP_VEGFAVEGFR2_SIGNALING,,,,-1.4885275263440942,,,1,-1.4885275263440942,-1.4885275263440942,Negative
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,,,,-1.4790157582311305,,,1,-1.4790157582311305,-1.4790157582311305,Negative
