Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE,-0.6324720317013433,-2.6838921328862217,0.0,0.0,0.0,12/36,7.86%,BRIP1;CDC45;CENPF;TOP2A;PRKCA;BUB1;CDC14A;LBR;CENPE;CDC25C;TEX15;PSMA1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.8408571777996169,-2.629032010128455,0.0,0.0,0.0,6/15,2.59%,BRIP1;CDC45;CENPF;BUB1;CENPE;CDC25C
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5758058399448818,-2.3996863793925174,0.0,0.0,0.0,10/32,7.86%,CDC45;CENPF;TOP2A;PRKCA;BUB1;CDC14A;LBR;CENPE;CDC25C;PSMA1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5706831765027143,-2.2541804309701927,0.0,0.0012226743810499314,0.004,9/29,9.86%,DIAPH3;CENPF;PRKCA;BUB1;KIF14;CENPE;CDC25C;EVL;FMNL3
gsea,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.49404892196240324,2.2330072009389372,0.0,0.033929229416029764,0.028,23/40,30.94%,FGF13;EPAS1;DDIT4;CREB3L2;CSF3R;COL4A4;COL1A2;HGF;ANGPT1;ITGAX;FGFR1;LPAR1;PFKFB4;IGF1;RELN;PDGFD;SLC2A3;AKT3;EFNA5;PRKAA1;COL5A2;MDM2;VEGFA
gsea,REACTOME_M_PHASE,-0.6018093807547453,-2.22317720694986,0.0,0.0017606511087119008,0.008,6/21,7.86%,CENPF;PRKCA;BUB1;LBR;CENPE;PSMA1
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6869001773946264,-2.222421179998091,0.0,0.0014672092572599175,0.008,6/14,9.86%,DIAPH3;CENPF;BUB1;CENPE;EVL;FMNL3
gsea,WP_NRF2_PATHWAY,0.5219847712097836,2.2018519149654896,0.0038461538461538464,0.0241617239780818,0.036,9/33,18.11%,FGF13;NQO1;TGFB2;SQSTM1;ABCC3;HGF;FTL;GCLC;ABCC4
gsea,WP_BREAST_CANCER_PATHWAY,0.7430102651268153,2.18009409763491,0.0,0.01850685240874351,0.042,2/11,0.68%,NCOA3;CDK6
gsea,KEGG_MELANOMA,0.658577579352782,2.09444058251537,0.002012072434607646,0.035471467116758394,0.106,7/13,24.99%,FGF13;CDK6;HGF;FGFR1;IGF1;PDGFD;AKT3
gsea,REACTOME_CARDIAC_CONDUCTION,0.5871715127319985,2.087017574183373,0.002079002079002079,0.029816595547420093,0.111,7/18,14.89%,FGF13;MME;CACNA1C;WWTR1;CAMK2D;TNNI3;ATP1A2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.4411668121438539,2.0867482562896584,0.0,0.024847162956183413,0.111,26/59,38.70%,NCOA3;FGF13;NQO1;TGFB2;SQSTM1;CPEB4;ANGPTL4;ABCC3;HGF;FTL;GCLC;ABCC4;CDKN1C;ABCB1;SLC2A3;PLTP;JUND;SLC6A6;ALDH3A1;GSR;CYP3A5;MAFG;SLC6A8;PPARD;EGFR;CAVIN2
