Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.49404892196240324,2.2330072009389372,0.0,0.033929229416029764,0.028,23/40,30.94%,FGF13;EPAS1;DDIT4;CREB3L2;CSF3R;COL4A4;COL1A2;HGF;ANGPT1;ITGAX;FGFR1;LPAR1;PFKFB4;IGF1;RELN;PDGFD;SLC2A3;AKT3;EFNA5;PRKAA1;COL5A2;MDM2;VEGFA
gsea,WP_NRF2_PATHWAY,0.5219847712097836,2.2018519149654896,0.0038461538461538464,0.0241617239780818,0.036,9/33,18.11%,FGF13;NQO1;TGFB2;SQSTM1;ABCC3;HGF;FTL;GCLC;ABCC4
gsea,WP_BREAST_CANCER_PATHWAY,0.7430102651268153,2.18009409763491,0.0,0.01850685240874351,0.042,2/11,0.68%,NCOA3;CDK6
gsea,KEGG_MELANOMA,0.658577579352782,2.09444058251537,0.002012072434607646,0.035471467116758394,0.106,7/13,24.99%,FGF13;CDK6;HGF;FGFR1;IGF1;PDGFD;AKT3
gsea,REACTOME_CARDIAC_CONDUCTION,0.5871715127319985,2.087017574183373,0.002079002079002079,0.029816595547420093,0.111,7/18,14.89%,FGF13;MME;CACNA1C;WWTR1;CAMK2D;TNNI3;ATP1A2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.4411668121438539,2.0867482562896584,0.0,0.024847162956183413,0.111,26/59,38.70%,NCOA3;FGF13;NQO1;TGFB2;SQSTM1;CPEB4;ANGPTL4;ABCC3;HGF;FTL;GCLC;ABCC4;CDKN1C;ABCB1;SLC2A3;PLTP;JUND;SLC6A6;ALDH3A1;GSR;CYP3A5;MAFG;SLC6A8;PPARD;EGFR;CAVIN2
gsea,WP_ECTODERM_DIFFERENTIATION,0.5728009702375667,1.9995952449086196,0.002053388090349076,0.05140792335762085,0.245,7/19,22.21%,CTNND2;KIFC3;SORCS1;ARHGAP15;ABCC4;POU2F2;DMD
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.6779762283172766,1.9238718490112812,0.001996007984031936,0.08765050932474357,0.393,9/11,30.94%,CDK6;DDIT4;SESN2;FGFR1;AKT3;PRKAA1;RICTOR;TP63;VEGFA
gsea,REACTOME_AUTOPHAGY,0.6309682245409549,1.9064467557354279,0.0064794816414686825,0.09013522562036189,0.439,7/11,20.69%,SQSTM1;EPAS1;PRKN;TUBAL3;TUBB1;VIM;PLIN2
gsea,REACTOME_MUSCLE_CONTRACTION,0.45620165239895394,1.9015524597417983,0.004830917874396135,0.08482307354007441,0.451,15/34,26.11%,FGF13;MME;CACNA1C;WWTR1;ANXA2;TNNI1;CAMK2D;TNNI3;ATP1A2;VIM;SORBS1;LMOD1;DMD;TLN1;CLIC2
gsea,PID_RB_1PATHWAY,0.6727605176809275,1.8677946249059918,0.004739336492890996,0.10150728139341136,0.535,4/10,16.40%,CDK6;TGFB2;CCND3;ABL1
gsea,WP_MAPK_SIGNALING,0.4562156117814802,1.8599149223024425,0.002638522427440633,0.09930297195247095,0.555,10/31,29.43%,FGF13;TGFB2;CACNA1C;MKNK2;RAPGEF2;FGFR1;PLA2G4A;AKT3;MEF2C;JUND
