Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NRF2_PATHWAY,0.6417416595447988,2.521113742510964,0.0,0.0023226949067655747,0.002,11/33,10.26%,SLC7A11;SQSTM1;TGFB2;NQO1;FGF13;SLC6A20;ABCC3;TXNRD1;SLC5A12;ME1;FTL
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.521260718076409,2.400574948896386,0.0,0.0029033686334569682,0.004,29/60,30.17%,SLC7A11;SQSTM1;SLC7A5;JUND;TGFB2;NQO1;FGF13;SLC6A20;ABCC3;TXNRD1;SLC5A12;ABCB11;SLCO2B1;ME1;FTL;NCOA3;HSPA1A;PTGR1;ABCC4;GCLM;MFGE8;SERTAD2;HMOX1;ABCB1;G6PD;SRGN;CPEB4;PPARD;GCLC
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.703215892314125,2.3636357131466506,0.002074688796680498,0.0030969265423541,0.006,7/14,8.44%,SQSTM1;TGFB2;VEGFA;ALDOC;GRB10;PKLR;ME1
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.5846397278352298,2.298955750074956,0.0,0.0031937054968026652,0.008,13/28,16.22%,SLC7A11;SLC7A5;CEACAM5;CD44;CEACAM6;SPN;SLC16A1;ANGPT1;GYPC;ANGPT2;CEACAM1;PPIL2;TNFRSF10B
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5057313983688129,2.2855459099211948,0.0,0.003019503378795247,0.01,36/64,30.92%,SLC7A11;SQSTM1;VEGFA;NQO1;SESN2;DDIT3;CAMK2D;ASNS;ABCC3;HYOU1;TXNRD1;ABCC1;GRB10;HIRA;ME1;EPAS1;MAPK1;SCMH1;KHSRP;EGLN1;TPP1;GFPT1;HSPA1A;EGLN3;AREG;GCLM;CDK6;HMOX1;FKBP14;AKT3;G6PD;HSPA5;GCLC;MDM2;CREB3L2;BACH1
gsea,REACTOME_KERATINIZATION,0.7063469066928743,2.2206187594441418,0.0,0.005032505631325412,0.021,5/11,10.61%,KRT81;KRT13;KRTAP10-4;KRT36;KRT7
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.629796359805248,2.0530979604296604,0.0,0.02488601685820259,0.124,8/21,8.44%,SLC7A11;SQSTM1;NQO1;SESN2;ABCC3;TXNRD1;ABCC1;ME1
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5909018362600491,2.038809342807939,0.0,0.02569481240609417,0.142,8/25,8.44%,SLC7A11;SQSTM1;NQO1;SESN2;ABCC3;TXNRD1;ABCC1;ME1
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.6785929184626676,1.9862989401618723,0.0024271844660194173,0.03858254317349482,0.208,4/10,10.61%,KRT81;KRT13;KRT36;KRT7
gsea,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,0.6237759334922073,1.9657124326409043,0.002506265664160401,0.041111699849750674,0.239,4/12,4.50%,SLC7A11;SLC7A5;SLC6A20;SLC5A12
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.6831615726907855,1.924474838634412,0.005791505791505791,0.05331640581439159,0.32,6/11,16.73%,DDIT3;ASNS;HYOU1;KHSRP;TPP1;GFPT1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.5481183926433721,1.9130924696272564,0.00625,0.05322842494671109,0.34,4/13,23.90%,NEAT1;IFIT2;ZEB2;MFGE8
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.6096236338124653,1.8955928068484864,0.0021413276231263384,0.0568166907962656,0.375,7/19,8.44%,SLC7A11;SQSTM1;NQO1;ABCC3;TXNRD1;ABCC1;ME1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.6855387298902216,1.8796949643266117,0.006423982869379015,0.060224160796850265,0.411,6/12,18.09%,SQSTM1;JUND;NQO1;MAPK1;TNFRSF10B;APOE
gsea,PID_SHP2_PATHWAY,0.59669437370757,1.873656109850559,0.014344262295081968,0.05829964215981592,0.42,4/10,5.36%,VEGFA;GAB2;IL6ST;ANGPT1
gsea,WP_MAPK_SIGNALING,0.44852516052980085,1.820829254242343,0.003115264797507788,0.08114915330512226,0.539,11/31,26.53%,JUND;TGFB2;DDIT3;FGF13;MKNK2;RAPGEF2;MAPK1;HSPA1A;CRKL;PTPN7;AKT3
gsea,KEGG_MAPK_SIGNALING_PATHWAY,0.4290312212591699,1.7612461377758577,0.0,0.1196187876984271,0.675,11/33,26.53%,JUND;TGFB2;DDIT3;FGF13;MKNK2;RAPGEF2;MAPK1;HSPA1A;CRKL;PTPN7;AKT3
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.6508378162497935,1.7607821749063988,0.02092050209205021,0.11316685740185606,0.676,7/11,26.53%,VEGFA;DDIT4;SESN2;RICTOR;PRKAA1;CDK6;AKT3
