Term,Capecitabine_NES,Fluorouracil_NES,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,Thiotepa_NES,n_drugs,Mean_NES,Weakest_NES
REACTOME_CELL_CYCLE_CHECKPOINTS,,,-2.295541443329121,-2.629032010128455,-1.9832754698705404,,3,-2.302616307776039,-1.9832754698705404
REACTOME_CELL_CYCLE,,,-1.9560011227107432,-2.6838921328862217,-1.920298823074504,,3,-2.1867306928904893,-1.920298823074504
REACTOME_RHO_GTPASE_EFFECTORS,,,-2.0379920860593175,-2.2541804309701927,-1.7393837553712455,,3,-2.0105187574669183,-1.7393837553712455
REACTOME_ESR_MEDIATED_SIGNALING,-2.0340978273551134,,-1.6922815125906951,-1.9912173629429368,,,3,-1.9058655676295817,-1.6922815125906951
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,,,-2.162828426945795,-2.222421179998091,,,2,-2.1926248034719427,-2.162828426945795
WP_PANCREATIC_CANCER_SUBTYPES,,,-1.7312586909152339,-1.8534790406621409,,,2,-1.7923688657886874,-1.7312586909152339
REACTOME_RHOC_GTPASE_CYCLE,,,,-1.6760830991204902,-1.7543114058538867,,2,-1.7151972524871884,-1.6760830991204902
REACTOME_CELL_CYCLE_MITOTIC,,,,-2.3996863793925174,,,1,-2.3996863793925174,-2.3996863793925174
REACTOME_M_PHASE,,,,-2.22317720694986,,,1,-2.22317720694986,-2.22317720694986
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,,,,,-2.1060428378938902,,1,-2.1060428378938902,-2.1060428378938902
REACTOME_METABOLISM_OF_RNA,,,,,-2.0843995148780805,,1,-2.0843995148780805,-2.0843995148780805
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,,,,-2.019603057904167,,,1,-2.019603057904167,-2.019603057904167
WP_SPINAL_CORD_INJURY,,,,-2.0101650331990335,,,1,-2.0101650331990335,-2.0101650331990335
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,,,,-1.937360883479851,,,1,-1.937360883479851,-1.937360883479851
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,,,,,-1.8912651836496464,,1,-1.8912651836496464,-1.8912651836496464
