Term,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,n_drugs,Mean_NES
WP_NRF2_PATHWAY,2.798402245547308,2.2018519149654896,2.521113742510964,3,2.507122634341254
WP_NUCLEAR_RECEPTORS_METAPATHWAY,2.5533713001591942,2.0867482562896584,2.400574948896386,3,2.346898168448413
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,2.210603837100056,1.8388064173959648,2.3636357131466506,3,2.1376819892142236
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,2.3948849719830023,1.8296613859988025,1.9130924696272564,3,2.0458796092030203
WP_MAPK_SIGNALING,2.115792641114393,1.8599149223024425,1.820829254242343,3,1.9321789392197264
KEGG_MAPK_SIGNALING_PATHWAY,2.024823659828487,1.7880696440040171,1.7612461377758577,3,1.8580464805361203
REACTOME_HEMOSTASIS,2.0654315330902766,1.7045626259563904,1.7577279984655558,3,1.8425740525040741
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1.6700738410523852,1.5778936603492664,1.643750961797273,3,1.6305728210663082
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,2.4138240495268124,,2.2855459099211948,2,2.3496849797240036
REACTOME_CARDIAC_CONDUCTION,2.2712225428722648,2.087017574183373,,2,2.179120058527819
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,2.0172009453052944,,2.298955750074956,2,2.1580783476901253
REACTOME_KEAP1_NFE2L2_PATHWAY,2.194457271259973,,2.0530979604296604,2,2.1237776158448165
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2.1508437647425,,2.038809342807939,2,2.0948265537752198
REACTOME_MUSCLE_CONTRACTION,2.141959725587286,1.9015524597417983,,2,2.021756092664542
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,2.116973939652003,,1.879694964326612,2,1.9983344519893076
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,2.078199747024647,,1.8955928068484864,2,1.9868962769365668
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,2.028912555862765,,1.924474838634412,2,1.9766936972485887
REACTOME_KERATINIZATION,,1.719152468401839,2.2206187594441418,2,1.9698856139229903
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2.110816716090928,1.7617341586178372,,2,1.9362754373543827
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2.100593064865682,1.692613945326807,,2,1.8966035050962446
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,,1.719152468401839,1.9862989401618725,2,1.852725704281856
WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,,1.9238718490112807,1.7607821749063988,2,1.8423270119588397
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.970769693206709,1.648517606812342,,2,1.8096436500095254
WP_EGFEGFR_SIGNALING,1.8099436510453055,1.737385113008216,,2,1.7736643820267608
WP_ECTODERM_DIFFERENTIATION,1.505611120828525,1.99959524490862,,2,1.7526031828685724
PID_RB_1PATHWAY,1.4730805267711766,1.867794624905992,,2,1.6704375758385843
REACTOME_PEPTIDE_HORMONE_METABOLISM,1.5856577643133587,1.7397703467511236,,2,1.6627140555322413
PID_ATF2_PATHWAY,1.6028201125708383,,1.6979306070645936,2,1.650375359817716
WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER,1.53681337399914,1.722923483509431,,2,1.6298684287542855
REACTOME_DRUG_ADME,1.5434273690868965,,1.649605704882266,2,1.5965165369845813
WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,1.4725248924654222,1.625104798816862,,2,1.5488148456411421
