drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
Trametinib,4.464665239228272,True,4,2,REACTOME_CELL_CYCLE;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
CUDC-907,4.43773645528873,True,3,2,REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Dasatinib,4.309235492256751,True,3,2,REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Hesperadin,4.284487531336612,True,4,2,REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Abexinostat,4.2803566753638815,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;WP_BREAST_CANCER_PATHWAY;REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Givinostat,4.262869600035421,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Mocetinostat,4.2534524127386035,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;WP_MAPK_SIGNALING;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Pracinostat,4.250597427358846,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AR-42,4.250373037053678,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Danusertib,4.242377164617279,True,2,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Entinostat,4.241448810262787,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;WP_MAPK_SIGNALING;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Belinostat,4.239826201834409,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Dacinostat,4.236870272568538,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Barasertib,4.236856730108482,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
GSK1070916,4.2264827742723865,True,2,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Panobinostat,4.218740053643576,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Luminespib,4.216316702593044,True,3,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Resminostat,4.214598761649771,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Tacedinaline,4.202654399905663,True,5,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;WP_BREAST_CANCER_PATHWAY;REACTOME_RHO_GTPASE_EFFECTORS;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PHA-680632,4.197936306115145,True,1,2,REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Tanespimycin,4.195884427408693,True,1,2,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
M344,4.1928711151833875,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Alvespimycin,4.189674814566379,True,2,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
SGI-1776,4.181358121075557,True,3,2,REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
