Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6165115421557117,2.2959929000481805,0.0,0.030354151639613004,0.014,12/20,17.91%,CAST;LAMB1;CD44;COL5A2;TIMP1;HSPG2;COL4A5;COL6A3;ADAMTS4;COL15A1;FN1;COL25A1
gsea,WP_BURN_WOUND_HEALING,0.5472207171912656,2.1387041076390965,0.0,0.08467210720523627,0.08,14/24,25.54%,TGFB2;KRT6A;TLR6;TIMP1;TNFAIP3;TLR7;IL1A;INHBA;PECAM1;FN1;VIM;ICAM1;COL1A1;XIST
gsea,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,0.5554193439651993,2.0127314799002294,0.007653061224489796,0.18159238086154447,0.235,9/17,19.12%,ZFP36L2;ITGAM;PLEK;CD84;CREB3L2;HCLS1;STAT5A;C3;CD4
gsea,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.645545163849717,2.0122015522889605,0.003795066413662239,0.1365936823782585,0.236,8/13,24.43%,LAMB1;COL5A2;HSPG2;COL4A5;SDC3;FN1;NTN4;COL1A1
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.4189758586836852,1.9919809820324161,0.0,0.13132164551453626,0.272,27/54,25.49%,TGFB2;CAST;CEACAM6;LAMB1;ITGAM;CD44;COL5A2;FGB;TIMP1;HSPG2;COL4A5;SDC3;COL6A3;ADAMTS4;COL15A1;PECAM1;FN1;COL25A1;NTN4;ICAM1;SH3PXD2A;LTBP1;LOXL2;SERPINE1;COL1A1;CEACAM1;HAPLN1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.5823509950326488,1.9560814089582101,0.002386634844868735,0.14884184882933044,0.34,11/15,29.31%,NEAT1;IFIT2;BCL6;TLR7;GPR183;EBI3;CCR7;STAT5A;C3;MFGE8;BCR
gsea,REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,0.49499537608381633,1.9530145132844865,0.005405405405405406,0.13054567472074163,0.342,14/23,33.90%,CENPE;PRKAR2B;GATA1;MAFG;KIF21B;HBE1;KIF2A;HBG1;DOCK5;SH2B3;ABL1;DOCK2;TUBB4A;KIF13B
gsea,REACTOME_M_PHASE,0.5721616166934079,1.931507951708641,0.004246284501061571,0.13299911178935697,0.386,5/19,8.50%,CENPF;CENPE;NUP214;PRKAR2B;BUB1
gsea,REACTOME_CELL_CYCLE_MITOTIC,0.48246605200861215,1.9120442193083826,0.008113590263691683,0.14112017867539378,0.435,13/30,32.74%,TOP2A;CENPF;CENPE;NUP214;PRKAR2B;BUB1;KIF2A;CDK6;ABL1;CCND3;TUBB4A;B9D2;CDKN1C
gsea,REACTOME_CARDIAC_CONDUCTION,0.5408099420687013,1.8845531103837354,0.008620689655172414,0.16247459061834962,0.5,8/18,23.42%,CORIN;ITPR1;ASPH;TNNI3;CAMK2A;WWTR1;FGF13;CACNA1C
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.5984233685576843,1.8710436366033907,0.008695652173913044,0.1613562797684691,0.527,7/15,24.29%,TGFB2;PMEPA1;TIMP1;WWTR1;INHBA;LTBP1;SERPINE1
gsea,REACTOME_ECM_PROTEOGLYCANS,0.5595766961638069,1.857862562913213,0.004149377593360996,0.16535024708947083,0.558,10/16,25.49%,TGFB2;LAMB1;COL5A2;HSPG2;COL4A5;COL6A3;FN1;SERPINE1;COL1A1;HAPLN1
gsea,PID_AVB3_INTEGRIN_PATHWAY,0.5382698136797016,1.8533479719798367,0.019011406844106463,0.15656351898326706,0.568,10/15,34.33%,COL5A2;COL4A5;COL6A3;COL15A1;FN1;TLN1;COL1A1;MFGE8;VEGFA;PTK2B
gsea,PID_P73PATHWAY,0.6367079877168622,1.8467836191873144,0.017110266159695818,0.15199898490212227,0.577,8/10,26.85%,MDM2;TP63;BUB1;GATA1;NTRK1;CDK6;SERPINE1;ABL1
gsea,PID_DELTA_NP63_PATHWAY,0.6463540164097482,1.839967675942681,0.012552301255230125,0.1491081133173972,0.593,5/10,12.99%,TOP2A;MDM2;POU2F2;TP63;IL1A
gsea,REACTOME_CELL_CYCLE,0.44299010191114097,1.8381402387575405,0.008281573498964804,0.14128659398043553,0.594,15/35,32.74%,TOP2A;CENPF;MDM2;CENPE;NUP214;PRKAR2B;BUB1;PRDM9;KIF2A;CDK6;ABL1;CCND3;TUBB4A;B9D2;CDKN1C
gsea,REACTOME_OPIOID_SIGNALLING,0.5531699276551513,1.8361500347319537,0.02040816326530612,0.13513705900236375,0.6,8/14,27.04%,ITPR1;GNA14;PRKAR2B;PDE4C;CAMK2A;PLCB2;PLA2G4A;PDE4D
gsea,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.5687639801574687,1.8343741791361974,0.013011152416356878,0.1296708056885222,0.604,6/14,15.35%,CHST11;CD44;HSPG2;SDC3;CSGALNACT1;HAS2
gsea,REACTOME_HEMOSTASIS,0.33084383593706357,1.830909738869635,0.0,0.12528444859563262,0.611,52/100,38.15%,TGFB2;DGKI;ITPR1;CENPE;CEACAM6;ITGAM;CD44;PCDH7;FGB;TIMP1;GNA14;PRKAR2B;SDC3;PLEK;CD84;GATA1;LCP2;PECAM1;FN1;MAFG;KIF21B;HBE1;SPN;KIF2A;TLN1;CEACAM5;HBG1;SERPINE1;COL1A1;CEACAM1;DOCK5;FYN;SH2B3;PLA2G4A;ABL1;DOCK2;PLAUR;TUBB4A;GP6;GYPA;SRGN;VEGFA;KIF13B;TIMP3;VAV1;ITGA5;TFPI;PPIL2;F8;SLC7A7;HBG2;FGG
gsea,REACTOME_KERATINIZATION,0.6012808853850773,1.8226867520002514,0.01977401129943503,0.11981901963005132,0.628,7/11,21.97%,KRT13;KRT6A;KRT4;PCSK6;KRT81;KRT16;KRT10
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.6012808853850773,1.8226867520002514,0.01977401129943503,0.11981901963005132,0.628,7/11,21.97%,KRT13;KRT6A;KRT4;PCSK6;KRT81;KRT16;KRT10
gsea,WP_FRAGILE_X_SYNDROME,0.5708148588822265,1.803194666952514,0.012195121951219513,0.12867836532390967,0.657,9/15,26.07%,ITPR1;RAP1GAP;CNR1;MAP1B;CAMK2A;EPHA4;CLTCL1;GAD1;FYN
gsea,REACTOME_MUSCLE_CONTRACTION,0.434013901552022,1.7967825669423971,0.007281553398058253,0.1285710175856377,0.671,15/33,25.06%,CORIN;ITPR1;ANXA1;TPM2;ASPH;TNNI3;CAMK2A;WWTR1;FGF13;VIM;TLN1;LMOD1;TRIM72;CACNA1C;MYLK
gsea,PID_INTEGRIN1_PATHWAY,0.509945108978923,1.7560318732743234,0.027777777777777776,0.16388579240510354,0.761,13/17,38.15%,LAMB1;COL5A2;TGFBI;FGB;COL4A5;COL6A3;FN1;TGM2;COL1A1;PLAUR;VEGFA;ITGA5;FGG
gsea,KEGG_LEISHMANIA_INFECTION,0.5793015965594673,1.7444864597207104,0.015250544662309368,0.1694720213647446,0.78,4/10,17.87%,TGFB2;ITGAM;IL1A;C3
gsea,REACTOME_PHOSPHOLIPID_METABOLISM,0.5252217694441088,1.7188038141693467,0.013927576601671309,0.19085019229278946,0.82,10/16,30.76%,MTMR8;TNFAIP8;GPAT3;PLEKHA2;PLD1;MBOAT2;LPGAT1;PLA2G4A;GDPD5;AGPAT4
gsea,WP_G_PROTEIN_SIGNALING,0.5621001123506548,1.710419404939769,0.024324324324324326,0.19378137742637933,0.833,7/13,27.67%,ITPR1;GNA14;PRKAR2B;PDE4C;AKAP12;PDE4D;PDE7B
gsea,REACTOME_G_PROTEIN_MEDIATED_EVENTS,0.5650167455809719,1.7103326620914374,0.04230769230769231,0.18703178397490872,0.834,5/11,14.92%,ITPR1;GNA14;PRKAR2B;CAMK2A;PLCB2
gsea,KEGG_ALZHEIMERS_DISEASE,0.5651725063620306,1.7058955975185548,0.025974025974025976,0.18614642176089355,0.84,6/11,25.88%,ITPR1;CACNA1F;SNCA;PLCB2;CACNA1C;APOE
gsea,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.37578775616553467,1.694270513819199,0.0056657223796034,0.19506536395772356,0.856,24/47,39.40%,TGFB2;DGKI;ITPR1;PCDH7;FGB;TIMP1;GNA14;PLEK;LCP2;PECAM1;FN1;TLN1;SERPINE1;COL1A1;FYN;PLA2G4A;GP6;SRGN;VEGFA;TIMP3;VAV1;F8;FGG;ABCC4
