Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.5907460311521139,-2.2690838624047736,0.0,0.0035888469678844208,0.003,7/25,9.24%,GNA14;PRKCA;ERBB4;CACNA1C;MYLK3;EGFR;GRIN2D
gsea,WP_SPINAL_CORD_INJURY,-0.5858152947804937,-2.16009320309044,0.0,0.0071776939357688415,0.011,11/19,25.38%,PRKCA;EGFR;ANXA1;EPHA4;CHST11;PTGS2;BDNF;PLA2G2A;RTN4;SLIT3;CXCL8
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.48956885738733297,-2.111279590957641,0.0,0.0119628232262814,0.025,20/40,24.65%,GFRA1;ERBB4;AREG;DLG2;EGFR;NCOA3;FN1;SPTB;GRIN2D;PRKCQ;CCND3;FYN;NRG3;RAPGEF2;LRRC7;EREG;PSMD5;TLN1;PSMA1;GRIN2B
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,-0.5951472957692908,-2.080101789957706,0.0,0.012860034968252507,0.038,8/16,24.74%,PMEPA1;TGFB2;TCF4;TGFBR3;SERPINE1;AMHR2;BMPR1B;FOXH1
gsea,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,-0.7988260414884586,-2.077065836390797,0.0,0.011484310297230146,0.042,5/10,11.08%,PRKCA;CACNA1C;RGS6;PRKCQ;PRKAR2B
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.6086884548551861,-1.9888993110759055,0.00404040404040404,0.032897763872273854,0.122,10/14,28.34%,ERBB4;DLG2;PPM1E;PRKAA1;GRIN2D;PRKAR2B;LRRC7;PPM1F;GRIN2B;TUBB4A
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6269570398030665,-1.9627142986538517,0.0034542314335060447,0.03640116210282769,0.151,6/17,12.93%,PRKCA;ERBB4;AREG;EGFR;NRG3;CRKL
gsea,WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,-0.665537142073664,-1.9570777016559686,0.0,0.033346369743259406,0.161,6/12,17.65%,DLG2;EGFR;MAP3K5;APOE;BCL2;BDNF
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,-0.427180451462308,-1.9511925384017963,0.0017421602787456446,0.03256546322709937,0.176,20/45,36.36%,PRKCA;DLG2;CACNA1C;GLUL;NRXN3;EGFR;KYNU;PRKAA1;GRIN2D;CUBN;SYP;PRKAR2B;CNTNAP2;CNTNAP3;GRIN2B;TCN1;PDGFRB;ALDH1L1;SCN2A;HTR1D
gsea,WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,-0.6072524314420373,-1.9483969147383384,0.0,0.030505199227017575,0.184,5/12,9.63%,PRKCA;MAP3K5;TCF4;BCL2;PRKCQ
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY,-0.5605326626344875,-1.946427625484278,0.0,0.028275763989392404,0.184,11/17,28.83%,ERBB4;AREG;EGFR;FLT1;PDGFD;BDNF;NTRK1;EREG;ANGPT2;IGF1;PDGFRB
gsea,PID_TXA2PATHWAY,-0.5797639172375091,-1.9452292193853227,0.0018181818181818182,0.025919450323609705,0.184,5/14,10.79%,GNA14;PRKCA;EGFR;PRKCQ;FYN
gsea,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,-0.5990970365377292,-1.9408004229071913,0.0,0.024477776755314252,0.187,6/15,11.57%,PRKCA;CACNA1C;MYLK3;PRKCQ;KCNMB2;PLA2G4A
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY,-0.5641452838772338,-1.9300855212588612,0.0,0.024324407226772184,0.207,11/17,28.83%,ERBB4;AREG;EGFR;FLT1;PDGFD;BDNF;NTRK1;EREG;ANGPT2;IGF1;PDGFRB
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,-0.5641452838772338,-1.9300855212588612,0.0,0.024324407226772184,0.207,11/17,28.83%,ERBB4;AREG;EGFR;FLT1;PDGFD;BDNF;NTRK1;EREG;ANGPT2;IGF1;PDGFRB
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3250837154365459,-1.920797136206791,0.0,0.025121928775190944,0.217,54/119,35.10%,ANK3;GFRA1;PRKCA;ADGRV1;BMP7;MAML3;CACNA1C;TP63;SYTL2;COL4A5;CDH2;EGFR;NCOA3;ZFP36L2;COL4A4;ROBO2;TCF4;ROBO1;SEMA3A;EPHA4;EPAS1;BCL2;SPTB;MSN;PRKCQ;CCND3;FYN;KRT17;TRPC3;KRT81;PTPRC;KRT79;PCSK6;UNC5B;SPI1;CHD4;PSMD5;TLN1;SLIT3;PSMA1;SPRR1B;GRIN2B;FOXH1;FOXA2;MC5R;TUBB4A;LGI4;WT1;COL6A5;TAL1;HEY1;SCN2A;TFEC;FOXL2
gsea,REACTOME_G_PROTEIN_MEDIATED_EVENTS,-0.704259764149921,-1.9009274224781463,0.0034602076124567475,0.02828855845273602,0.255,4/10,11.57%,GNA14;PRKCA;PRKAR2B;PLA2G4A
