Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_METABOLISM_OF_STEROIDS,0.6986854351842312,2.6024596681665613,0.0,0.0,0.0,5/22,0.69%,FDPS;MVD;HMGCS1;INSIG1;ELOVL6
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.6400679645210151,2.3906356755590945,0.0,0.0006020333919269577,0.001,12/25,13.03%,DDIT4;MDM2;RICTOR;BNIP3L;SESN2;CDC25C;NDRG1;G6PD;TXNRD1;COX4I2;CHD4;TNFRSF10B
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.6974133340220852,2.334468302033287,0.0,0.0016054223784718869,0.004,8/16,15.40%,DDIT4;GDF15;MDM2;BNIP3L;NDRG1;HGF;TNFRSF10B;VCAN
gsea,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.7610211597482628,2.302015665756171,0.0,0.0024081335677078306,0.008,3/11,0.34%,FDPS;MVD;HMGCS1
gsea,WP_CHOLESTEROL_METABOLISM,0.7637493336132364,2.247676945054345,0.0,0.005057080492186444,0.018,4/12,4.18%,FDPS;MVD;HMGCS1;NPC1
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,0.5161928882537286,2.1534264212203484,0.0,0.014248123608937995,0.056,22/44,33.89%,FDPS;MVD;HMGCS1;INSIG1;FNBP1;SESN2;SYP;NPC1;G6PD;PIK3CG;PLTP;ABL1;EHBP1;LCAT;STON2;SNX9;APOE;MYO1E;LOXL2;MSR1;SCARA5;APOBR
gsea,REACTOME_TP53_REGULATES_METABOLIC_GENES,0.7579955805993749,2.0804225821314235,0.0017699115044247787,0.026489469244786137,0.115,5/10,7.48%,DDIT4;SESN2;G6PD;TXNRD1;COX4I2
gsea,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.6472218781499226,2.050243381307713,0.005671077504725898,0.029198619508457445,0.142,3/11,5.56%,ACSS2;CYP1B1;CYP4F11
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.42175016790571546,2.038599582394421,0.0,0.028897602812493966,0.154,21/74,30.40%,FDPS;MVD;HMGCS1;INSIG1;ELOVL6;FADS1;AGMO;ANGPTL4;CYP1B1;CYP4F11;TXNRD1;PIK3CG;OSBPL3;AKR1C2;AKR1C1;TNFAIP8;FADS2;ACSL4;ACSBG1;GPX2;AKR1B1
gsea,PID_FCER1_PATHWAY,0.6799080160751794,1.923238393452249,0.0049261083743842365,0.06971546678514169,0.327,5/10,8.41%,GAB2;HCLS1;VAV1;LCP2;BTK
