Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,-0.5486324015540776,-2.0167665858547736,0.0,0.0,0.0,6/29,8.39%,SLC24A3;SLC7A5;SLC12A2;RUNX1;SLC6A6;SLC5A3
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,-0.5813915207809077,-1.9318067661358684,0.0,0.0025359059465831185,0.004,14/43,10.16%,LRP1B;SCARB1;ABL1;FNBP1;MVD;SESN2;TFRC;FDPS;STON2;LBR;EHBP1;INSIG1;PPARD;NPC1
gsea,REACTOME_TCR_SIGNALING,-0.670031867768669,-1.9224631670014156,0.0,0.0021132549554859323,0.005,2/11,1.46%,EVL;PSMD5
gsea,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,-0.5706092695315979,-1.8701369808166581,0.0016129032258064516,0.006656753109780687,0.02,5/18,16.26%,PRKCA;GNA14;ITPR1;EGFR;ANXA1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.7089737815948375,-1.8650138786779042,0.0,0.005578993082482861,0.021,8/25,4.74%,EVL;PRKCA;CENPF;DIAPH3;CENPE;ABL1;KIF14;BUB1
gsea,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,-0.7291954654867681,-1.8422587984923104,0.00315955766192733,0.007819043335297949,0.035,4/11,4.85%,SLC24A3;SLC7A5;SLC12A2;SLC6A6
gsea,REACTOME_RAC3_GTPASE_CYCLE,-0.734326022367046,-1.827328434079583,0.0,0.009056806952082568,0.044,5/14,8.23%,DIAPH3;ARHGAP21;BCR;TFRC;LBR
gsea,REACTOME_RAC1_GTPASE_CYCLE,-0.643828201417452,-1.777354195422268,0.0014064697609001407,0.018226823991066166,0.095,11/25,20.01%,DIAPH3;ARHGAP21;BCR;CDC42BPA;DOCK8;TFRC;LBR;DOCK5;DOCK11;ARHGAP4;FAM13A
gsea,REACTOME_RAC2_GTPASE_CYCLE,-0.7825545282526004,-1.7652268221676464,0.0,0.018878410935674328,0.107,5/13,8.23%,DIAPH3;ARHGAP21;BCR;TFRC;LBR
gsea,WP_ENDODERM_DIFFERENTIATION,-0.5749637951330159,-1.7643744857811892,0.008016032064128256,0.017117365139436052,0.107,3/12,6.15%,BMP7;TGFB1;TET1
gsea,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,-0.6433298711918434,-1.7418713171367326,0.001466275659824047,0.021324663641721683,0.133,7/19,10.32%,PRKCA;TGFB1;GLUL;TGFB2;LRRC8B;IL6ST;BCL2
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.6038969587182119,-1.7163143946816444,0.0,0.028106290907962895,0.188,31/72,20.95%,EVL;PRKCA;CENPF;RBMX;DIAPH3;ARHGAP21;CENPE;BCR;RHOBTB3;ABL1;KIF14;CDC42BPA;FNBP1;DOCK8;BUB1;TFRC;LBR;PTK2B;NSL1;FMNL3;DOCK5;RHOH;ADD3;DOCK11;RHOBTB1;ARHGAP4;VIM;CCDC88A;MYLK;FAM13A;UBXN11
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.8087482280493155,-1.714333248136526,0.0,0.026822082127321453,0.193,4/10,2.97%,EVL;PRKCA;PSMD5;ABL1
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.5142774651409003,-1.6658751635964288,0.0,0.05243891225255806,0.331,46/112,25.01%,EVL;PRKCA;MAML3;GFRA1;CHD4;SYTL2;DSCAM;PSMD5;TLN1;ABL1;BMP7;TGFB1;RUNX1;CCND3;RAB27A;FGFR1;PLXNA4;LYN;TFRC;CACNA1C;CLTCL1;BCL2;EGFR;ADGRV1;NTN4;KRT7;EFNA5;COL5A2;ANK3;SEMA3A;PCSK6;LAMB1;ROBO2;NCOA3;KRT13;TP63;EGF;ANK1;GAB2;EPAS1;GMPR;AKT3;FYN;ZFPM2;ANGPTL4;RAP1GAP
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,-0.6034661551074892,-1.6510098700771068,0.008759124087591242,0.059593789744703286,0.379,5/18,4.59%,PSMD5;SCMH1;ABL1;RUNX1;CCND3
gsea,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,-0.6751732864039127,-1.642580252651358,0.007352941176470588,0.06331840160374724,0.403,8/16,16.62%,CENPE;RHOBTB3;KIF13B;COPA;NBAS;ARFIP2;COPE;USP6NL
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.7011473164377168,-1.636533455859961,0.0025806451612903226,0.06436725976180092,0.426,11/21,18.08%,DIAPH3;ARHGAP21;BCR;CDC42BPA;FNBP1;DOCK8;TFRC;LBR;FMNL3;DOCK11;ARHGAP4
gsea,REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,-0.48177530036933935,-1.6261550065553119,0.009508716323296355,0.06825813506219561,0.457,3/15,8.39%,RUNX1;SLC6A6;SLC5A3
gsea,PID_TCR_PATHWAY,-0.5225493397129097,-1.6222862831744633,0.009025270758122744,0.0671347732174373,0.472,1/12,0.31%,PRKCA
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.5813525655273626,-1.6175275678683332,0.003973509933774834,0.06808907466575674,0.492,20/38,23.81%,GFRA1;PSMD5;RAPGEF2;TLN1;CDC14A;NRG3;CCND3;ERBB4;FGFR1;IL6ST;EGFR;DLG2;AREG;IGF2BP1;NCOA3;NRG1;EGF;FYN;EREG;GRIN2D
gsea,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,-0.39528636935998634,-1.61339903123276,0.0026246719160104987,0.06901286897486915,0.512,23/79,24.80%,SLC24A3;PSMD5;SCARB1;SLC7A5;SLC12A2;ABCC3;RUNX1;SLC6A6;LRRC8B;TFRC;ABCC4;SLC5A3;NPC1;PRKAR2B;ADD3;SLC16A1;PCSK6;CLCN4;ADCY7;CLIC2;ATP8B4;RYR1;ANGPTL4
gsea,KEGG_WNT_SIGNALING_PATHWAY,-0.5954905165047363,-1.6089847095500602,0.03697478991596639,0.07025612156556413,0.533,3/11,9.59%,PRKCA;CCND3;PPARD
gsea,WP_CHOLESTEROL_METABOLISM,-0.6340021902162277,-1.6043976079963327,0.03104575163398693,0.07128100845504287,0.547,5/12,10.16%,SCARB1;MVD;FDPS;LBR;NPC1
gsea,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-0.543509672291782,-1.596744615661346,0.0012970168612191958,0.07533753916307348,0.579,16/33,23.81%,PRKCA;COMT;GLUL;ERBB4;VAMP2;PPM1F;GLRA3;PPM1E;DLG2;PRKAR2B;NCALD;NRG1;PRKAA1;GAD1;ADCY7;GRIN2D
gsea,REACTOME_GPCR_LIGAND_BINDING,-0.30820679609636464,-1.5965197264614508,0.009940357852882704,0.07242547383441388,0.58,5/29,20.22%,CALCR;C5;ANXA1;GIPR;PTGER3
gsea,REACTOME_CELL_CYCLE,-0.6689642104301753,-1.5877188329753287,0.0025031289111389237,0.07905199114252376,0.613,18/34,15.95%,PRKCA;BRIP1;CENPF;PSMD5;CENPE;ABL1;CDC14A;CCND3;BUB1;LYN;TOP2A;CDC45;LBR;NSL1;PRKAR2B;ANAPC2;NUP214;RAE1
gsea,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,-0.6572784475913949,-1.5847061908816014,0.030063291139240507,0.07917661899887293,0.628,5/11,13.39%,CENPE;KIF13B;COPA;NBAS;COPE
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.5513772804046475,-1.5840686102474002,0.00949367088607595,0.07716399523174347,0.63,5/15,11.93%,BMP7;ACVR1;FGFR1;TET1;INHBA
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.5340081683543497,-1.5830338423214647,0.0,0.07568367575060998,0.634,23/59,20.27%,EVL;PRKCA;GFRA1;DSCAM;PSMD5;TLN1;ABL1;FGFR1;PLXNA4;LYN;CACNA1C;CLTCL1;EGFR;ADGRV1;NTN4;EFNA5;COL5A2;ANK3;SEMA3A;LAMB1;ROBO2;ANK1;GAB2
gsea,KEGG_GNRH_SIGNALING_PATHWAY,-0.62415355734221,-1.579436511833049,0.012396694214876033,0.07582358780283524,0.646,5/15,10.94%,PRKCA;CACNA1C;ITPR1;PTK2B;EGFR
gsea,REACTOME_RHO_GTPASE_CYCLE,-0.5760846582358212,-1.5652152752797805,0.001148105625717566,0.08998375939488487,0.7,22/52,20.95%,RBMX;DIAPH3;ARHGAP21;BCR;KIF14;CDC42BPA;FNBP1;DOCK8;TFRC;LBR;PTK2B;FMNL3;DOCK5;RHOH;ADD3;DOCK11;RHOBTB1;ARHGAP4;VIM;CCDC88A;FAM13A;UBXN11
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.679100905226774,-1.5621503454506773,0.0036855036855036856,0.09042089640785432,0.708,17/30,15.95%,PRKCA;CENPF;PSMD5;CENPE;ABL1;CDC14A;CCND3;BUB1;LYN;TOP2A;CDC45;LBR;NSL1;PRKAR2B;ANAPC2;NUP214;RAE1
gsea,REACTOME_RHOG_GTPASE_CYCLE,-0.6861457822372669,-1.5575862471970052,0.029874213836477988,0.0931369093108709,0.726,5/12,14.28%,DIAPH3;ARHGAP21;TFRC;LBR;DOCK5
gsea,REACTOME_RHOC_GTPASE_CYCLE,-0.7643696757714443,-1.551011675732974,0.008356545961002786,0.09811718449206155,0.76,6/11,13.60%,DIAPH3;ARHGAP21;BCR;TFRC;LBR;FMNL3
gsea,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.6816412551387854,-1.5429245989319038,0.032357473035439135,0.106399368073066,0.788,5/10,13.39%,CENPE;KIF13B;COPA;NBAS;COPE
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5926514489088119,-1.5420683335814902,0.009668508287292817,0.10439479480100505,0.791,10/22,22.62%,PRKCA;BMP7;RUNX1;PDK1;VEGFA;PLCD1;ICAM1;PRKAA1;PAPPA;HSPA5
gsea,WP_RAS_SIGNALING,-0.5703223345333168,-1.536013986112877,0.02177293934681182,0.10955799069224637,0.805,8/17,29.03%,PRKCA;ABL1;FGFR1;EGFR;GAB2;AKT3;FLT1;PRKCB
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6673140032083872,-1.5339536699527874,0.01094391244870041,0.10934426035464316,0.81,11/17,22.93%,PRKCA;ABL1;NRG3;ERBB4;EGFR;AREG;NRG1;STAT5B;EGF;AKT3;EREG
gsea,KEGG_VEGF_SIGNALING_PATHWAY,-0.5188525438863401,-1.5323928635990463,0.02280130293159609,0.108458746638478,0.813,1/11,0.31%,PRKCA
gsea,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,-0.506253013848797,-1.5296671340759227,0.012453300124533,0.10929754629773242,0.825,18/44,22.88%,PRKCA;GNA14;TLN1;TGFB1;TGFB2;LYN;ABCC4;TIMP3;ITPR1;PROS1;F8;VEGFA;GTPBP2;EGF;COL1A1;SERPINE1;HSPA5;FYN
gsea,WP_ERBB_SIGNALING,-0.6548729287622065,-1.5291501951126798,0.009536784741144414,0.10749767158930391,0.827,11/18,22.93%,PRKCA;ABL1;NRG3;ERBB4;EGFR;AREG;NRG1;STAT5B;EGF;AKT3;EREG
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.749154799311756,-1.5256890686505902,0.015172413793103448,0.11013077253732402,0.84,7/12,13.60%,EVL;CENPF;DIAPH3;CENPE;BUB1;NSL1;FMNL3
gsea,WP_WNT_SIGNALING_WP428,-0.5586000830201592,-1.5251805302952564,0.017857142857142856,0.1079529264004744,0.84,2/11,4.59%,PRKCA;CCND3
gsea,KEGG_CELL_CYCLE,-0.7624528730604678,-1.52029581973897,0.012448132780082987,0.10957931362513054,0.853,7/13,8.03%,ABL1;CDC14A;TGFB1;CCND3;BUB1;TGFB2;CDC45
gsea,WP_CELL_CYCLE,-0.7624528730604678,-1.52029581973897,0.012448132780082987,0.10957931362513054,0.853,7/13,8.03%,ABL1;CDC14A;TGFB1;CCND3;BUB1;TGFB2;CDC45
gsea,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,-0.497043295241054,-1.513736028066459,0.021917808219178082,0.11543884895967502,0.868,11/28,27.15%,PRKCA;GNA14;RGS6;ITPR1;C5;PRKAR2B;ANXA1;PTGER3;ADCY7;PDE4C;PDE4B
gsea,WP_SPINAL_CORD_INJURY,-0.5943004805855252,-1.5122940384086823,0.036885245901639344,0.11516789878684397,0.874,8/19,20.11%,PRKCA;TGFB1;RTN4;C5;EGFR;ANXA1;VIM;ICAM1
gsea,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,-0.5410976475693078,-1.5102635661923869,0.02066115702479339,0.11572712449979836,0.878,7/24,11.93%,BMP7;TGFB1;ACVR1;TGFB2;IL6ST;GDF15;INHBA
gsea,PID_TXA2PATHWAY,-0.6677001426494564,-1.5089540951949925,0.00823045267489712,0.11546135034340689,0.882,7/12,22.88%,PRKCA;GNA14;LYN;EGFR;EGF;ICAM1;FYN
gsea,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,-0.5401310188313481,-1.5022154079723002,0.030791788856304986,0.12228138474423798,0.9,7/14,30.33%,PRKCA;CACNA1C;ITPR1;MYLK;ADCY7;PRKCB;MYLK3
gsea,REACTOME_SARS_COV_INFECTIONS,-0.6923269586472847,-1.5006075288261413,0.002336448598130841,0.12199696548905259,0.902,15/20,22.09%,CHD4;COMT;RUNX1;PARP16;ST3GAL2;BST2;HSPG2;SDC3;RPN1;VEGFA;NUP214;RAE1;GPC5;SERPINE1;AKT3
gsea,WP_HEPATITIS_B_INFECTION,-0.6099319392391827,-1.495155068130696,0.03274215552523874,0.12706351815042916,0.912,7/16,12.87%,PRKCA;TGFB1;CREB3L2;TGFB2;PTK2B;BCL2;HSPG2
