Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6472516726308841,2.3712971957818496,0.0,0.0019675772243883008,0.002,14/20,23.35%,CD44;PRSS2;FN1;HSPG2;COL15A1;COL5A2;COL26A1;COL6A3;COL4A4;COL11A1;TIMP1;FBN2;CTSS;COL4A5
gsea,REACTOME_COLLAGEN_DEGRADATION,0.6679740489858832,2.0345752744656407,0.0022935779816513763,0.1229735765242688,0.172,8/11,23.35%,PRSS2;COL15A1;COL5A2;COL26A1;COL6A3;COL4A4;COL11A1;COL4A5
gsea,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.6098422556996234,2.012941441846572,0.005940594059405941,0.10198608613079359,0.214,5/14,12.11%,CD44;HSPG2;CHST2;CHST11;CEMIP
gsea,PID_INTEGRIN1_PATHWAY,0.5966033978911265,2.003074979827719,0.0,0.0811625605060174,0.222,12/17,23.35%,FN1;PLAUR;FGB;COL5A2;COL6A3;FGG;COL4A4;TGM2;COL11A1;FGA;ITGA5;COL4A5
gsea,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.5303035834833493,1.9960561732211786,0.0,0.06906196057602937,0.234,15/22,23.44%,CD44;FN1;HSPG2;ICAM4;FGB;COL5A2;COL6A3;ITGAM;FGG;COL4A4;ITGA2B;FGA;ITGA5;COL4A5;ICAM1
gsea,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.6498817002542675,1.9229002805294404,0.006802721088435374,0.1067410644230653,0.383,7/10,23.35%,COL15A1;COL5A2;COL26A1;COL6A3;COL4A4;COL11A1;COL4A5
gsea,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.6204760342299551,1.8956485434587778,0.011990407673860911,0.11721138608141735,0.446,9/11,28.12%,COL15A1;COL5A2;COL6A3;COL4A4;COL11A1;LOXL2;CTSS;COL4A5;TLL1
gsea,PID_UPA_UPAR_PATHWAY,0.5878186077041075,1.8859820110416141,0.013793103448275862,0.10956945668312348,0.466,8/13,22.43%,PDGFD;FN1;PLAUR;FGB;ITGAM;FGG;FGA;ITGA5
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.4023672524189187,1.8697756482268055,0.0,0.1109494934863403,0.51,33/55,36.23%,CD44;BMP7;PRSS2;FN1;HSPG2;COL15A1;ICAM4;FGB;COL5A2;COL26A1;COL6A3;ITGAM;FGG;COL4A4;COL11A1;TIMP1;LOXL2;ITGA2B;FGA;FBN2;CEACAM1;CTSS;ITGA5;COL4A5;ICAM1;TGFB2;TLL1;LAMB1;SDC3;P4HA1;CAST;P3H1;HAPLN1
gsea,PID_INTEGRIN3_PATHWAY,0.5472635362443905,1.7877447264808553,0.018140589569160998,0.18465712250884203,0.705,8/14,23.35%,FN1;PLAUR;FGB;FGG;COL4A4;ITGA2B;FGA;COL4A5
gsea,PID_AVB3_INTEGRIN_PATHWAY,0.5010210393595936,1.667414020990055,0.024439918533604887,0.24380596606905625,0.89,8/15,23.35%,FN1;COL15A1;COL5A2;COL6A3;COL4A4;COL11A1;PI4KA;COL4A5
gsea,PID_INTEGRIN2_PATHWAY,0.5427901184674073,1.6555524205211511,0.03926096997690531,0.24605646289433694,0.905,8/11,23.44%,PLAUR;ICAM4;FGB;C3;ITGAM;FGG;FGA;ICAM1
gsea,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.5253998630966293,1.6472826898063155,0.024070021881838075,0.24465269434828216,0.916,6/12,28.36%,PLAUR;FGB;C3;FGG;FGA;PROS1
gsea,REACTOME_COLLAGEN_FORMATION,0.46175343206415753,1.6421517571630633,0.030303030303030304,0.23861792788769118,0.921,10/19,28.12%,COL15A1;COL5A2;COL26A1;COL6A3;COL4A4;COL11A1;LOXL2;CTSS;COL4A5;TLL1
