Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,KEGG_PURINE_METABOLISM,0.6390104726626776,2.0842982649338384,0.0,0.16189485428256967,0.087,10/17,26.36%,PDE4C;FHIT;PDE7B;PKLR;GMPR;GDA;GUCY2C;PDE10A;PDE4B;PDE3A
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.7365024442068024,-1.9414748059815012,0.003389830508474576,0.08367968729997524,0.09,7/12,11.98%,CENPF;BUB1;CENPE;TUBB2A;PSMD5;PSMA1;KIF2A
gsea,WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,0.59459314018404,1.9324567119425748,0.003215434083601286,0.21585980571009292,0.299,10/18,25.11%,RGS6;IGFBP5;CORIN;ATF2;MYL4;CAMK2D;IGFBP3;ITPR1;PRKCB;PDE4B
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.714434729451698,-1.927165279914454,0.0,0.05052358478489072,0.105,7/13,11.98%,CENPF;BUB1;CENPE;TUBB2A;PSMD5;PSMA1;KIF2A
gsea,WP_ECTODERM_DIFFERENTIATION,0.5481312626922946,1.9151243534140525,0.0,0.18178871349525833,0.326,11/19,26.01%,POU2F2;BCOR;ARHGAP15;ROR2;DMD;TOX3;PI4KA;CTNND2;GRAMD1B;PTPRB;PPARD
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.7058921474638796,-1.8790535914964681,0.0066555740432612314,0.06710163604243298,0.18,6/12,3.30%,FMNL3;CENPF;BUB1;CENPE;DIAPH3;TUBB2A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.520671724378984,-1.8646590636213372,0.0049586776859504135,0.06275976547498144,0.218,15/26,24.76%,FMNL3;CENPF;BUB1;MYLK;CENPE;DIAPH3;TUBB2A;S100A9;KIF14;KIF2A;CDC25C;NCKAP1L;RAC2;MAPK1;CENPT
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.667996389233231,-1.8058504902113477,0.005235602094240838,0.09741578691336741,0.349,9/15,16.48%,BRIP1;CENPF;CDC45;BUB1;CENPE;PSMD5;PSMA1;KIF2A;CDC25C
gsea,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.6400778288609311,-1.7875180868219285,0.0035211267605633804,0.10262603159430926,0.417,5/10,11.98%,CENPE;TUBB2A;KIF21B;COPE;KIF2A
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.728449807269385,-1.7870154539868994,0.005,0.0885290492324536,0.418,5/10,11.98%,CENPF;BUB1;CENPE;TUBB2A;KIF2A
gsea,REACTOME_CELL_CYCLE,-0.5106077702182111,-1.7778809511468052,0.008605851979345954,0.08555458595410205,0.445,14/34,16.48%,BRIP1;CENPF;CDC45;BUB1;CENPE;TUBB2A;LYN;AKT3;RAE1;PSMD5;PSMA1;KIF2A;TOP2A;CDC25C
gsea,REACTOME_RHOG_GTPASE_CYCLE,-0.5729594658419633,-1.7724964002531074,0.01054481546572935,0.08052196325091958,0.456,6/12,17.77%,DIAPH3;TFRC;LMAN1;DOCK5;ARHGDIB;MCAM
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5113772815635464,-1.7472533897406517,0.008635578583765112,0.0945738352692173,0.525,13/30,16.48%,CENPF;CDC45;BUB1;CENPE;TUBB2A;LYN;AKT3;RAE1;PSMD5;PSMA1;KIF2A;TOP2A;CDC25C
gsea,REACTOME_M_PHASE,-0.5979839266657148,-1.7310148417443671,0.01020408163265306,0.10111893602544178,0.575,8/19,11.98%,CENPF;BUB1;CENPE;TUBB2A;RAE1;PSMD5;PSMA1;KIF2A
gsea,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.6215912301589671,-1.704062137360946,0.01593625498007968,0.12223023506552988,0.654,6/11,13.53%,CDC45;LYN;AKT3;PSMD5;PSMA1;TOP2A
gsea,REACTOME_RAC2_GTPASE_CYCLE,-0.519229124878843,-1.64508404170176,0.011152416356877323,0.197114851216052,0.822,8/13,26.31%,DIAPH3;TFRC;LMAN1;ARHGAP26;MCAM;NCKAP1L;RAC2;DOCK2
