Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.7555099312137904,2.442003048055755,0.0,0.00153768606958508,0.001,6/15,4.92%,MDM2;TNFRSF10B;GDF15;BCL6;DDIT4;NDRG1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.6015702119229717,1.9910575692422467,0.0,0.2098941484983634,0.197,9/16,22.70%,NEAT1;BCL6;MFGE8;GPR183;CD69;TLR7;ICOSLG;PTPRC;C3
gsea,PID_RB_1PATHWAY,0.6758635905142668,1.8866759729303773,0.0040650406504065045,0.23557350586043424,0.427,4/10,13.30%,MDM2;TGFB2;ATF2;CCND3
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.3719933596209291,1.8245784327956915,0.0,0.24622198189231093,0.57,35/67,34.83%,MDM2;EGLN3;HSPA1A;NPAS2;SESN2;GCLM;ATF2;TUBAL3;HBA2;IL1A;SLC7A11;TXNRD1;HSPA1L;ABCC3;HMOX1;CAMK2D;TUBB4A;GSR;AKT3;GCLC;EGLN1;ANAPC2;TNIK;TPP1;VEGFA;CA9;ASNS;CREB3L2;ABCC1;RPL3L;BACH1;EGF;ME1;CDK6;NQO1
gsea,WP_PI3KAKT_SIGNALING,0.4081528070192355,1.803011946152199,0.004807692307692308,0.23603481168130977,0.629,23/42,38.48%,MDM2;FGF13;DDIT4;ANGPT2;PIK3AP1;ATF2;ANGPT1;CCND3;COL6A3;LPAR5;ITGA5;AKT3;COL4A5;EFNA5;VEGFA;CREB3L2;LAMB1;FN1;EGF;CDK6;ITGA2B;BCL2;FGF14
gsea,WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,0.568304544055355,1.8004787951498267,0.01646090534979424,0.21807184259570225,0.633,5/13,19.48%,MDM2;BCL6;CCND3;WNT5B;AKT3
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.48420677231106257,1.7949359802747298,0.009328358208955223,0.20656249534759574,0.641,12/24,22.75%,MDM2;TNFRSF10B;BCL6;DDIT4;NDRG1;SESN2;CRADD;ATF2;TXNRD1;GSR;AKT3;RICTOR
gsea,KEGG_CHRONIC_MYELOID_LEUKEMIA,0.6077850811937852,1.7923054362655833,0.017341040462427744,0.1950495637496767,0.651,2/13,2.05%,MDM2;TGFB2
gsea,PID_P73PATHWAY,0.651236798475687,1.7721387782339595,0.008988764044943821,0.20714828051696146,0.692,4/10,14.91%,MDM2;GDF15;GATA1;WT1
gsea,PID_DELTA_NP63_PATHWAY,0.6010809872707783,1.768809808592843,0.0066815144766146995,0.19713135412080726,0.698,4/10,11.89%,MDM2;POU2F2;NRG1;IL1A
