Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_CMYB_PATHWAY,-0.6746873815761902,-2.2602873507597883,0.0,0.0,0.0,2/10,2.12%,BCL2;COPA
gsea,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.7063135681698278,-2.2458187530257736,0.0,0.0,0.0,6/16,10.92%,MAPK1;PRKCA;GAB2;PLD1;LYN;MYO10
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,-0.5936882326655581,-2.2404536516803124,0.0,0.0,0.0,13/43,15.52%,ABL1;LRP1B;FDPS;FNBP1;TFRC;PICALM;SNX9;SESN2;STON2;LBR;PPARD;LRP12;MYO1E
gsea,REACTOME_GASTRULATION,-0.7997532778109941,-2.2244447083595773,0.0,0.0,0.0,6/11,11.69%,MAML3;EPHA4;PSMA1;FGFR1;MAML2;PSMD5
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.5810142827360892,-2.1338578357629014,0.0,0.0002726691413335049,0.001,52/112,25.19%,NCOA3;GFRA1;CHD4;MAML3;ABL1;SYTL2;DSCAM;RUNX1;ANK3;BCL2;EVL;ADGRV1;TFRC;EPHA4;MAPK1;PRKCA;BMP7;GAB2;MED15;PSMA1;RAB27A;COL4A5;FGFR1;PLXNA4;LYN;MAML2;CACNA1C;MYO10;PSMD5;HIRA;CLTCL1;GRB10;GATA2;EGFR;PCSK6;KRT10;NTN4;TGFB1;ITGA5;COL5A2;SEMA3A;UNC5B;EFNA5;LAMB1;ROBO2;KRT13;TP63;EGF;ANK1;EPAS1;GMPR;ITGA2B
gsea,WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,-0.7519090557638193,-2.1301864302377687,0.0,0.00022722428444458745,0.001,5/12,8.38%,BCL2;MAPK1;PRKCA;MAP3K5;JUND
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.6575191804265315,-2.106504475929722,0.0,0.00019476367238107495,0.001,44/72,23.75%,ABL1;FNBP1;EVL;CDC42BPA;TFRC;KIF2A;DIAPH3;PCDH7;DOCK5;MAPK1;PRKCA;PICALM;KIF14;DOCK8;GFOD1;CDC25C;BUB1;ARHGAP26;PLD1;ARHGAP18;CENPF;LBR;ARHGEF2;ARHGAP21;CENPE;PTK2B;DOCK10;NSL1;RBMX;CKB;FMNL3;RHOBTB3;RHOH;BCR;LMAN1;CENPT;DOCK11;RHOBTB1;SH3PXD2A;ARHGAP4;VIM;CCDC88A;MYLK;FAM13A
gsea,REACTOME_RAC1_GTPASE_CYCLE,-0.6391250177825043,-2.027780383563026,0.0,0.0005112546400003218,0.003,14/25,23.75%,CDC42BPA;TFRC;DIAPH3;DOCK5;DOCK8;ARHGAP26;PLD1;LBR;ARHGAP21;DOCK10;BCR;DOCK11;ARHGAP4;FAM13A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.7101629400415597,-2.0253956446670713,0.0,0.00045444856888917485,0.003,12/25,13.35%,ABL1;EVL;KIF2A;DIAPH3;MAPK1;PRKCA;KIF14;CDC25C;BUB1;CENPF;CENPE;NSL1
gsea,WP_EGFEGFR_SIGNALING,-0.7730865166359001,-2.0102286354593533,0.0,0.0006816728533337623,0.004,12/20,14.33%,NCOA3;ABL1;USP6NL;MAPK1;PRKCA;GAB2;STAT5B;PLD1;JUND;PTK2B;GRB10;EGFR
gsea,REACTOME_RHOG_GTPASE_CYCLE,-0.7436526179663995,-2.0071335413523195,0.0,0.0006197025939397839,0.004,6/12,12.36%,TFRC;DIAPH3;DOCK5;PLD1;LBR;ARHGAP21
gsea,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,-0.7306625880209426,-1.9962418158180715,0.0,0.0006816728533337623,0.005,4/13,2.95%,ABL1;BCL2;MAPK1;MAP3K5
gsea,WP_RAS_SIGNALING,-0.6473081734871475,-1.9884226896556103,0.0,0.0007341092266671286,0.005,7/17,14.33%,ABL1;MAPK1;PRKCA;GAB2;PLD1;FGFR1;EGFR
gsea,REACTOME_RHO_GTPASE_CYCLE,-0.6378283539108618,-1.9848555682623212,0.0,0.0006816728533337623,0.005,32/52,24.62%,FNBP1;CDC42BPA;TFRC;DIAPH3;PCDH7;DOCK5;PICALM;KIF14;DOCK8;GFOD1;ARHGAP26;PLD1;ARHGAP18;LBR;ARHGEF2;ARHGAP21;PTK2B;DOCK10;RBMX;CKB;FMNL3;RHOH;BCR;LMAN1;DOCK11;RHOBTB1;SH3PXD2A;ARHGAP4;VIM;CCDC88A;FAM13A;UBXN11
gsea,KEGG_CELL_ADHESION_MOLECULES_CAMS,0.5729246199691037,1.9777245549505187,0.0,0.011950032415067684,0.081,7/17,7.55%,PTPRM;CNTNAP2;CNTN1;SELPLG;PECAM1;CLDN2;SDC3
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.6247660632029446,-1.9771019632334013,0.0,0.0009088971377783498,0.008,15/38,14.33%,NCOA3;GFRA1;MAPK1;RAPGEF2;AREG;VCL;NRG3;PSMA1;FGFR1;PSMD5;ERBB4;CAMK2D;DLG2;CDC14A;EGFR
