Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.689967728974888,-2.254204076608437,0.0,0.0012381235549678044,0.002,8/17,7.43%,BMP7;MGP;TGFB1;TGFB2;BMP6;CHST11;SOX6;FGFR1
gsea,WP_ENDOCHONDRAL_OSSIFICATION,-0.689967728974888,-2.254204076608437,0.0,0.0012381235549678044,0.002,8/17,7.43%,BMP7;MGP;TGFB1;TGFB2;BMP6;CHST11;SOX6;FGFR1
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.5677094899265943,-2.2307482058914303,0.0,0.001650831406623739,0.004,20/39,25.05%,AREG;GFRA1;FN1;NRG3;DLG2;NCOA3;EGFR;ERBB4;GRIN2D;FYN;FGFR1;CDC14A;MAPK1;MAPK12;FGG;PRKCQ;TLN1;EGF;LRRC7;PTPN7
gsea,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.6989567446300692,2.1916330882904482,0.0,0.03143175167147037,0.039,3/11,1.49%,FDPS;MVD;HMGCS1
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.8292153731303658,-2.175248247278838,0.0,0.003095308887419511,0.01,9/10,13.91%,BMP7;TGFB1;TGFB2;ACVR1;BMP6;INHBA;BMPR1B;MAPK1;LTBP1
gsea,WP_CHOLESTEROL_METABOLISM,0.7336791180206437,2.168332859858418,0.0,0.019644844794668985,0.049,5/12,1.68%,FDPS;MVD;NPC1;HMGCS1;APOE
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6888952918872373,-2.119947705295079,0.0,0.0044572447978840956,0.017,4/13,3.22%,EVL;DIAPH3;CENPF;BUB1
gsea,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,-0.4519074382244429,-2.084455167564652,0.0,0.005571555997355119,0.025,13/31,21.98%,BMP7;TGFB1;TGFB2;ACVR1;EGFR;CLCF1;INHBA;BMPR1B;IL22RA1;IL12RB2;IL10RA;EGF;AMHR2
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5522610813055292,-2.0628871870240806,0.0,0.007074991742673168,0.036,11/26,19.06%,EVL;DIAPH3;CENPF;BUB1;PRKCA;ABL1;MAPK1;KIF14;FMNL3;KIF2A;CDC25C
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5219635522029489,-2.043232862918744,0.0,0.007428741329806826,0.043,13/31,19.06%,CDC45;CENPF;BUB1;LYN;PRKAR2B;PRKCA;ABL1;TOP2A;CDC14A;MAPK1;CDK6;KIF2A;CDC25C
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.6181092691648119,-2.0413199983957417,0.0,0.007016033478150892,0.045,7/15,10.40%,DLG2;PPM1E;ERBB4;PRKAR2B;GRIN2D;PPM1F;MAPK1
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.650790891609607,-2.0302306330866977,0.0,0.007676366040800387,0.053,8/15,19.70%,BMP7;ACVR1;INHBA;FGFR1;TCF4;ADAM19;LEF1;CSRP2
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.4344218478841177,-2.0301654100836357,0.0,0.007091071269361061,0.054,42/114,21.49%,SYTL2;BMP7;EVL;CACNA1C;RUNX1;TGFB1;CHD4;GFRA1;ITGA5;ZFP36L2;NCOA3;PCSK6;LYN;EGFR;SEMA3A;TP63;PRKCA;ABL1;FYN;ANK3;CDH2;FGFR1;ROBO2;KRT10;TCF4;MAPK1;EPHB6;BCL2;MSN;SEMA7A;MAPK12;COL4A5;RELN;CEACAM1;KRT16;PRKCQ;RAB27A;LEF1;YES1;TLN1;EGF;TRPC3
gsea,WP_ENDODERM_DIFFERENTIATION,-0.6223899990659062,-2.0208371629843738,0.0,0.007325564366892841,0.06,3/12,10.15%,BMP7;TGFB1;TCF4
