Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.6153754447277607,2.8973219628074465,0.0,0.0,0.0,22/58,16.35%,NCOA3;TXNRD1;SQSTM1;G6PD;GCLC;CPEB4;HMOX1;PPARD;PTGR1;TGFB2;ANGPTL4;SLC6A6;CDKN1C;TGFB1;SLC5A3;SERTAD2;SLC7A11;SLC6A8;PLTP;CYP3A5;FTL;NQO1
gsea,WP_NRF2_PATHWAY,0.6509704041352822,2.6895897223725234,0.0,0.0,0.0,15/32,16.35%,TXNRD1;SQSTM1;G6PD;GCLC;HMOX1;PPARD;PTGR1;TGFB2;SLC6A6;TGFB1;SLC5A3;SLC7A11;SLC6A8;FTL;NQO1
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.5185542660363813,2.5824179423490916,0.0,0.0,0.0,25/75,16.39%,NCOA3;TXNRD1;ACSBG1;INSIG1;PPARD;PTGR1;FADS1;B4GALT5;HMGCS1;ANGPTL4;ELOVL6;ST3GAL2;HSD17B11;CYP4F2;AGMO;AKR1C2;SEC24D;AGPAT4;ACHE;ABCC1;STARD4;AKR1B1;GPAT3;GDPD5;ACSL4
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7565726594917288,-2.40095393086137,0.0,0.0,0.0,7/15,4.48%,BRIP1;CDC45;MDM2;CENPF;BUB1;PSMD5;CENPE
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.48099341624384034,2.3876275244851835,0.0,0.001570371100245101,0.003,34/65,28.83%,RPL3L;TXNRD1;TXNIP;SQSTM1;G6PD;TUBB4A;DDIT3;GCLC;HMOX1;EGLN3;SESN2;FKBP14;EPAS1;TNIK;HBA1;ABCC1;SLC7A11;CAMK2D;AKT3;ATF2;HIRA;TPP1;NQO1;HBA2;HSPA1A;CREB3L2;TLN1;RAE1;GCLM;ANAPC2;HYOU1;VEGFA;EGF;ASNS
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5999151500670198,2.3793222014499293,0.0,0.0012562968801960808,0.003,11/26,12.15%,TXNRD1;TXNIP;SQSTM1;G6PD;GCLC;HMOX1;SESN2;HBA1;ABCC1;SLC7A11;AKT3
gsea,REACTOME_CELL_CYCLE,-0.53610902736542,-2.315824684010473,0.0,0.0002821962392647847,0.001,11/35,4.58%,BRIP1;CDC45;MDM2;CENPF;CDK6;BUB1;NUP214;PSMD5;LYN;CENPE;TOP2A
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.538447979015775,2.2405379838272217,0.0,0.005496298850857854,0.016,19/31,27.68%,CLU;TGFB2;SELENOP;TGFB1;PCDH7;VCL;PECAM1;TIMP3;FGB;SERPINE1;FERMT3;PRKCA;ABCC4;PRKCB;TLN1;ECM1;FN1;VEGFA;EGF
gsea,WP_PPAR_SIGNALING,0.7008542972318842,2.200668200211181,0.0022371364653243847,0.007851855501225505,0.029,6/11,16.39%,ACSBG1;SORBS1;PPARD;ANGPTL4;PLTP;ACSL4
gsea,WP_SELENIUM_MICRONUTRIENT_NETWORK,0.6437130322490197,2.193884674712405,0.0,0.008048151888756143,0.034,8/16,23.43%,TXNRD1;KYNU;MTHFR;SELENOP;HBA1;FGB;SERPINE1;PTGS2
