Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.8452680148332083,2.547389778862884,0.0,0.0,0.0,5/13,2.60%,CD44;CEMIP;HS3ST3A1;CSGALNACT1;HSPG2
gsea,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.5432164845974146,2.1126169157678802,0.0,0.08461501752089554,0.079,5/26,2.60%,CD44;CEMIP;HS3ST3A1;CSGALNACT1;HSPG2
gsea,KEGG_ECM_RECEPTOR_INTERACTION,0.60667480710181,2.110695581484854,0.0,0.05641001168059703,0.079,9/16,19.27%,CD44;COL6A3;COL5A2;HSPG2;ITGA5;CHAD;FN1;COL4A4;ITGA11
gsea,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,0.4816340753621778,2.1057886359273112,0.0,0.04436127132163456,0.081,16/32,31.88%,GNA14;ITPR1;PDE4C;PDE4D;NMU;ANXA1;GPR183;CNR1;CCR10;CCR9;PLA2G4A;C3;PTGER3;RGS6;ADCY7;GRM8
gsea,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.47001138365876344,2.076603922254356,0.0,0.04501847534121433,0.097,19/38,25.80%,MDM2;COL5A2;DDIT4;ITGA5;PDGFD;CREB3L2;FGF13;CSF3R;ANGPT1;CHAD;FN1;EGF;COL4A4;ITGA11;AKT3;EPAS1;PFKFB4;ATF2;VEGFA
gsea,REACTOME_SIGNALING_BY_GPCR,0.39337080514503747,2.0427597119773395,0.0,0.05531467164796408,0.145,30/67,31.88%,GNA14;GIPR;ITPR1;DGKI;PDE4C;CALCR;PDE4D;ITGA5;NMU;ANXA1;GPR183;CMKLR1;CNR1;S1PR1;CCR10;CCR9;CCRL2;FN1;PLA2G4A;PDE3B;PDE10A;ADGRE2;C3;AKT3;PRKCB;PTGER3;PLPPR3;RGS6;ADCY7;GRM8
gsea,WP_PI3KAKT_SIGNALING,0.44765260740279184,2.0425859547471883,0.0,0.04741257569825492,0.145,21/44,26.04%,COL6A3;MDM2;DDIT4;ITGA5;PDGFD;CCND3;CREB3L2;FGF13;CSF3R;ANGPT1;CHAD;PIK3AP1;FN1;COL6A5;EGF;COL4A4;ITGA11;AKT3;ATF2;VEGFA;BDNF
gsea,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.5759232279208254,2.0307200436519217,0.00411522633744856,0.045798905114465306,0.16,10/20,19.27%,CD44;COL6A3;COL5A2;HSPG2;ITGA5;FGA;FN1;COL6A5;COL4A4;ITGA11
gsea,REACTOME_DISEASES_OF_GLYCOSYLATION,0.6231747519481301,2.0235627832661494,0.00303951367781155,0.04363104463321259,0.167,4/16,5.05%,MUC5AC;MUC5B;HSPG2;GFPT1
gsea,REACTOME_DISEASES_OF_METABOLISM,0.5239398802468395,1.9481144004422901,0.0032679738562091504,0.07886448234957254,0.302,17/25,37.32%,MUC5AC;MUC5B;HSPG2;CYP1B1;GFPT1;OPLAH;MUC13;CYP24A1;ADAMTS10;THSD7A;CUBN;GBE1;ADAMTSL4;ADAMTS6;ADAMTS19;ADAMTS3;SDC3
gsea,PID_INTEGRIN1_PATHWAY,0.6003991242457036,1.9444091330428646,0.006269592476489028,0.0731886294532018,0.306,10/16,19.27%,COL6A3;COL5A2;PLAUR;ITGA5;FGA;FN1;TGFBI;TGM2;COL4A4;ITGA11
gsea,WP_PANCREATIC_CANCER_SUBTYPES,0.6550392225883799,1.9441328200528152,0.00228310502283105,0.06736341200692655,0.307,5/12,10.10%,TFF1;CEACAM6;TNS4;LGALS4;KRT6A
gsea,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.5521631745278958,1.9411480708885287,0.004357298474945534,0.06382462113226624,0.314,8/17,16.23%,GIPR;PDE4C;CALCR;PDE4D;ITGA5;FN1;PDE3B;PDE10A
gsea,REACTOME_COLLAGEN_DEGRADATION,0.6370177147278552,1.8770396523821726,0.0,0.09987153940399737,0.444,6/10,21.33%,COL6A3;COL5A2;PRSS2;COL6A5;COL4A4;COL26A1
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.539743777337431,1.8702015845345663,0.0030120481927710845,0.0982520009271758,0.456,10/19,21.33%,CD44;COL6A3;COL5A2;HSPG2;PRSS2;FN1;COL6A5;TLL1;COL4A4;COL26A1
gsea,WP_G_PROTEIN_SIGNALING,0.6173365279258052,1.8417521712896474,0.009345794392523364,0.11347038150556987,0.506,4/13,5.15%,GNA14;ITPR1;PDE4C;PDE4D
gsea,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,0.5050561552178917,1.8308667840891182,0.0026109660574412533,0.11414087457701615,0.525,5/18,6.62%,GNA14;ITPR1;DGKI;NMU;ANXA1
gsea,REACTOME_HEMOSTASIS,0.3427007621319405,1.8063651152522384,0.0,0.12870245383437187,0.574,43/96,39.38%,GNA14;CLU;CD44;CEACAM5;KIF13B;TIMP3;CEACAM6;ITPR1;PLAUR;DGKI;ITGA5;GTPBP2;FGA;ANGPT1;SLC7A11;TFPI;FN1;FERMT3;PLA2G4A;PDE10A;P2RX1;EGF;DOCK5;SPN;CENPE;ECM1;DOCK8;ABL1;VEGFA;TIMP1;NFE2;PRKCB;TUBB2A;P2RX7;TNFRSF10B;DGKG;SDC3;DOCK11;PECAM1;PPIL2;TLN1;FYN;TTN
gsea,REACTOME_OPIOID_SIGNALLING,0.6299317159591223,1.798189019528373,0.005128205128205128,0.1296248454407996,0.593,5/12,15.40%,GNA14;ITPR1;PDE4C;PDE4D;PLA2G4A
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.43883843041579074,1.7887567729635043,0.010443864229765013,0.1304549978865846,0.614,7/28,14.08%,CD44;CEACAM5;CEACAM6;ITGA5;ANGPT1;SLC7A11;FN1
gsea,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,0.6488650691837968,1.7629412515003535,0.009685230024213076,0.15006158447071444,0.666,5/10,18.44%,MUC5AC;MUC5B;ITPR1;PSMA1;MUC13
gsea,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,0.6397342238378128,1.7566649670724708,0.019867549668874173,0.14846836260506652,0.68,2/10,0.29%,MUC5AC;MUC5B
gsea,KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.5604514614520182,1.7452867540070558,0.02107728337236534,0.15501442635740256,0.704,4/10,20.65%,CD44;ITGA5;CSF3R;CD37
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.5886887976159215,1.7081617584525315,0.02857142857142857,0.19230063447912266,0.781,7/11,24.23%,ASNS;GFPT1;CREB3L2;DDIT3;FKBP14;KHSRP;HYOU1
gsea,WP_VITAMIN_D_RECEPTOR_PATHWAY,0.39998465915809855,1.6943873478015705,0.019943019943019943,0.20090726878553603,0.798,14/32,39.14%,IGFBP5;LPGAT1;TIMP3;KRT13;S100A6;G0S2;NOX1;CYP3A5;CYP24A1;BCL6;G6PD;PPARD;ALOX5;EFNA5
gsea,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.5826646463374878,1.665122764223731,0.021176470588235293,0.22945267260520663,0.832,5/10,24.62%,CYP1B1;ALDH3B1;CYP3A5;AKR1C2;AKR1C3
