Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.6898883859841625,2.2136481469220697,0.0,0.04182930455301732,0.032,6/15,4.25%,MDM2;GDF15;TNFRSF10B;SERPINE1;DDIT4;TP63
gsea,PID_P73PATHWAY,0.7677870606910192,2.162797662710306,0.0,0.03412390634588255,0.051,5/10,6.59%,MDM2;GDF15;SERPINE1;TP63;GATA1
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.4307038116219722,2.111241173708332,0.0,0.041462380828868044,0.084,25/65,28.75%,MDM2;ABCC3;SESN2;TXNIP;G6PD;HMGA1;HBA2;TNIK;HYOU1;AREG;TPP1;NQO1;NUP214;KHSRP;CA9;GCLM;TLN1;FKBP14;PSMA1;RAE1;HSPA1A;CDK6;HIRA;GRB10;HSPA5
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.544151464185389,2.030815920797702,0.0017857142857142857,0.06989896945043683,0.174,6/24,4.25%,MDM2;SESN2;TNFRSF10B;G6PD;DDIT4;TP63
gsea,REACTOME_CELLULAR_SENESCENCE,0.6900739926659548,1.9936753443367297,0.003629764065335753,0.0832183006370555,0.242,3/10,2.68%,MDM2;HMGA1;TNIK
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.6953297892022741,-1.9647427700705717,0.003875968992248062,0.23934758894673913,0.193,4/11,8.39%,ERBB4;PRKCA;NRG3;EREG
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5036958070950385,1.9088368168604621,0.002150537634408602,0.1405317863491722,0.415,9/26,18.20%,ABCC3;SESN2;TXNIP;G6PD;HBA2;AREG;NQO1;GCLM;PSMA1
gsea,WP_SPINAL_CORD_INJURY,-0.5084141913268592,-1.90633383204158,0.003992015968063872,0.21347217392547002,0.297,12/19,38.56%,PRKCA;ICAM1;EPHA4;VCAN;BDNF;PLA2G2A;MAPK1;C5;CXCL8;AQP1;FCGR2A;RTN4
gsea,WP_MALE_INFERTILITY,0.5548475228395108,1.8648063794280036,0.008849557522123894,0.17219206197576678,0.523,6/15,15.28%,MDM2;HMGA1;CLU;NQO1;ABCB1;TEX15
gsea,PID_INTEGRIN3_PATHWAY,0.564604711432364,1.8559693389781098,0.012345679012345678,0.16098778397049426,0.544,8/14,22.25%,FGB;ITGA2B;TGFBI;PECAM1;FN1;COL1A1;PLAUR;FGA
gsea,KEGG_MELANOMA,0.5951583922565721,1.8374791627665892,0.008097165991902834,0.16413721260277553,0.59,1/12,0.05%,MDM2
gsea,KEGG_VEGF_SIGNALING_PATHWAY,-0.6822007380730704,-1.8236388104720977,0.0033783783783783786,0.24419922926322707,0.506,6/11,20.99%,PRKCA;PLA2G4A;RAC2;PLA2G2A;MAPK1;SH2D2A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.47133452802599,-1.8186594870050954,0.005758157389635317,0.2053399006330712,0.515,16/26,39.29%,EVL;PRKCA;KIF14;DIAPH3;CENPE;NCKAP1L;RAC2;NSL1;MAPK1;ABL1;PPP1R14A;TUBB4A;KIF5A;BUB1;IQGAP2;FMNL3
gsea,WP_PANCREATIC_CANCER_SUBTYPES,0.6339483524604657,1.8181076173665311,0.00546448087431694,0.1716102257846158,0.633,7/11,17.91%,TFF1;LGALS4;AREG;TNS4;FAM83A;CEACAM6;KRT7
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.5084566108194328,1.8053610970911222,0.007853403141361256,0.17061953172941272,0.655,9/19,18.64%,CAST;COL5A2;TLL1;PRSS2;FN1;CD44;TIMP1;COL1A1;HSPG2
gsea,PID_VEGFR1_2_PATHWAY,-0.5968035993562306,-1.7624369049485014,0.012422360248447204,0.23459496169793462,0.675,6/12,20.99%,PRKCA;FLT1;PRKAA1;MAPK1;VCL;SH2D2A
gsea,KEGG_CELL_CYCLE,0.5432274883660605,1.7322780443590853,0.03853211009174312,0.22955312680815776,0.78,5/13,24.65%,MDM2;CCND3;TGFB2;CDK6;CDC14A
gsea,WP_CELL_CYCLE,0.5432274883660605,1.7322780443590853,0.03853211009174312,0.22955312680815776,0.78,5/13,24.65%,MDM2;CCND3;TGFB2;CDK6;CDC14A
gsea,PID_RB_1PATHWAY,0.6269264738226167,1.7281528080242534,0.01873536299765808,0.21850307773089306,0.784,4/10,14.06%,MDM2;CCND3;TGFB2;UBTF
gsea,REACTOME_METABOLISM_OF_RNA,0.519177647663969,1.709041793807172,0.01890359168241966,0.2293273275932967,0.813,10/16,26.70%,MT-RNR2;MT-RNR1;APOBEC3C;NUP214;IGF2BP3;KHSRP;PSMA1;RAE1;HSPA1A;IGF2BP2
gsea,WP_GLIOBLASTOMA_SIGNALING,0.5806695957374892,1.7068836707081627,0.055900621118012424,0.21774629754983518,0.816,1/11,0.05%,MDM2
gsea,REACTOME_KERATINIZATION,0.5611171643303238,1.7066123808654887,0.011086474501108648,0.20526144803880014,0.816,10/12,30.36%,KRT81;KRT16;KRT36;KRTAP10-4;LCE1C;KRT7;KRT17;PCSK6;KRT10;KRT13
gsea,KEGG_GLIOMA,0.5668039755052096,1.7027312171376603,0.025454545454545455,0.1988726584889069,0.823,1/11,0.05%,MDM2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.32242073100736895,1.5694674755146796,0.0380952380952381,0.24607562016333615,0.957,27/59,36.55%,ABCC3;G6PD;MFGE8;NQO1;TNS4;ABCB1;SLC6A20;TGFB2;ANGPTL4;CYP1B1;JUND;SERTAD2;GCLM;SLC5A3;PLTP;FTL;PPP1R14C;HSPA1A;FGF13;PPARD;ABCC2;SLC2A3;TXNRD1;SRGN;CYP3A5;EGFR;TGFBR3
gsea,KEGG_ECM_RECEPTOR_INTERACTION,0.496600690208578,1.5684654505271927,0.045180722891566265,0.23928013361084577,0.957,8/15,23.08%,ITGA2B;COL5A2;FN1;SDC3;CD44;COL1A1;HSPG2;GP6
gsea,PID_REG_GR_PATHWAY,0.5114468180739538,1.5383949123709815,0.04308390022675737,0.24886601590424556,0.974,2/11,24.30%,MDM2;KRT17
gsea,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.3400378557916886,1.5357039660057363,0.014285714285714285,0.2457992277503763,0.976,27/47,38.80%,FGB;SERPINE1;CLU;ITGA2B;ITPR1;F8;PECAM1;DGKG;LCP2;TBXA2R;FN1;TGFB2;TIMP1;VAV1;TLN1;COL1A1;FGA;PROS1;ECM1;GP6;HSPA5;PRKCQ;SRGN;TIMP3;FGG;GNA14;FERMT3
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.5524662077741478,1.5348582821270835,0.047080979284369114,0.2402288245555212,0.976,4/11,11.62%,SESN2;DDIT4;TP63;FAT1
gsea,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,0.5029639848293114,1.5156115832084975,0.057736720554272515,0.24665328686044294,0.983,6/11,22.40%,FGB;SERPINE1;CLU;F8;PLAUR;PROS1
gsea,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.5029639848293114,1.5156115832084975,0.057736720554272515,0.24665328686044294,0.983,6/11,22.40%,FGB;SERPINE1;CLU;F8;PLAUR;PROS1
