Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE,-0.6224481324929769,-2.579696230435309,0.0,0.0,0.0,16/36,15.91%,BRIP1;CDC45;CENPF;PRKCA;CDC25C;BUB1;ANAPC2;TOP2A;CENPE;NSL1;KIF2A;MAPK1;PSMD5;TEX15;ABL1;MDM2
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.6257037879571651,-2.53898381534096,0.0,0.0,0.0,12/31,9.22%,CDC45;CENPF;PRKCA;CDC25C;BUB1;ANAPC2;TOP2A;CENPE;NSL1;KIF2A;MAPK1;PSMD5
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.8218144701666327,-2.4741401575915978,0.0,0.00044873937185902055,0.001,10/15,9.22%,BRIP1;CDC45;CENPF;CDC25C;BUB1;ANAPC2;CENPE;NSL1;KIF2A;PSMD5
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.630919212232258,-2.4149669605852604,0.0,0.00033655452889426544,0.001,9/22,16.15%,BMP7;PRKCA;HMGA1;PAPPA;CGA;MAPK1;PRKAA1;PDK1;PDE11A
gsea,REACTOME_M_PHASE,-0.6617720587600417,-2.4146663089792635,0.0,0.0002692436231154123,0.001,9/20,9.22%,CENPF;PRKCA;BUB1;ANAPC2;CENPE;NSL1;KIF2A;MAPK1;PSMD5
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,-0.7523266904789986,-2.3925612930879585,0.0,0.00022436968592951027,0.001,6/15,7.93%,PMEPA1;TGFB1;TGFB2;SERPINE1;TCF4;MAPK1
gsea,KEGG_CELL_CYCLE,-0.7920657384713172,-2.389131523011134,0.0,0.00016827726444713272,0.001,6/13,2.38%,TGFB1;CDC45;CDC25C;BUB1;ANAPC2;TGFB2
gsea,WP_CELL_CYCLE,-0.7920657384713172,-2.389131523011134,0.0,0.00016827726444713272,0.001,6/13,2.38%,TGFB1;CDC45;CDC25C;BUB1;ANAPC2;TGFB2
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.6801882889854126,-2.3458678128279136,0.0,0.00013462181155770615,0.001,5/17,4.36%,BMP7;TGFB1;TGFB2;MGP;BMP6
gsea,WP_ENDOCHONDRAL_OSSIFICATION,-0.6801882889854126,-2.3458678128279136,0.0,0.00013462181155770615,0.001,5/17,4.36%,BMP7;TGFB1;TGFB2;MGP;BMP6
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.6034449708746032,-2.3126412557397975,0.0,0.00024476693010492027,0.002,12/27,7.93%,CENPF;FMNL3;PRKCA;CDC25C;BUB1;DIAPH3;MYLK;CENPE;NSL1;KIF2A;KIF14;MAPK1
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.8370565997535606,-2.3045981119794092,0.0,0.00022436968592951027,0.002,5/10,7.93%,BMP7;TGFB1;TGFB2;BMP6;MAPK1
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.6921646720496761,-2.241612820645675,0.0,0.0003106657189793219,0.003,7/13,9.22%,CENPF;BUB1;ANAPC2;CENPE;NSL1;KIF2A;PSMD5
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6789928537019985,-2.2115114793989807,0.0,0.0002884753104807989,0.003,7/13,5.10%,CENPF;FMNL3;BUB1;DIAPH3;CENPE;NSL1;KIF2A
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.6648649868396503,-2.2015986058868675,0.0,0.0003589914974872164,0.004,7/14,9.22%,CENPF;BUB1;ANAPC2;CENPE;NSL1;KIF2A;PSMD5
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.6899281492707752,-2.1415481685335327,0.0,0.0011779408511299288,0.013,5/11,5.10%,CENPF;BUB1;CENPE;NSL1;KIF2A
gsea,WP_LUNG_FIBROSIS,-0.7418316222159705,-2.1405500566537365,0.0,0.0011086502128281684,0.013,2/10,0.55%,BMP7;TGFB1
gsea,REACTOME_RHOC_GTPASE_CYCLE,-0.7718123728359556,-2.113794311815714,0.0,0.001720167592126245,0.02,5/11,3.32%,FMNL3;BCR;TFRC;DIAPH3;ARHGAP26
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,-0.7018294834921432,-2.1058675510325324,0.0,0.0017713396257592916,0.022,5/10,5.10%,CENPF;BUB1;CENPE;NSL1;KIF2A
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.43899971211646094,-2.095096922167159,0.0,0.0020193271733655923,0.026,32/75,29.09%,CENPF;FMNL3;BCR;RBMX;PRKCA;CDC25C;BUB1;TFRC;DIAPH3;MYLK;ARHGAP26;CENPE;NSL1;KIF2A;ARHGAP6;KIF14;MAPK1;GFOD1;ARAP3;ABL1;SH3PXD2A;NCKAP1L;RAC2;ARHGAP25;RHOH;DOCK5;DOCK2;ADD3;B9D2;ARHGEF2;LBR;TUBB2A
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.5701014963052137,-2.087257218389818,0.0,0.002307802483846391,0.031,7/24,16.95%,GNA14;CACNA1C;PRKCA;MYLK;ITPKA;P2RX1;GRIN2D
gsea,REACTOME_CELLULAR_SENESCENCE,-0.7504821365892321,-2.0755391640248138,0.0,0.0025088610335754326,0.034,6/10,7.93%,ANAPC2;HIRA;HMGA1;SCMH1;MAP3K5;MAPK1
gsea,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,-0.3843316067528401,-2.0661248130244987,0.0,0.002985092343236093,0.04,33/93,25.67%,BRIP1;TGFB1;CDC25C;ANAPC2;TP63;SCMH1;FKBP5;ELL2;CHD4;ESRRB;ZNF804B;SERPINE1;PLAGL1;CGA;MAPK1;PSMD5;PRKAA1;ZNF521;GAD1;ZNF665;PRKCQ;ABL1;LEF1;YES1;PPARD;MDM2;GSR;TRPC3;BDNF;GPS2;ITGA5;SPI1;ZNF347
gsea,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,-0.5144423899384754,-2.0330484894205387,0.0,0.004206931611178317,0.059,9/25,18.38%,BMP7;TGFB1;TGFB2;BMP6;IL22RA1;CLCF1;IL12RB2;IL10RA;AMHR2
gsea,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.6562299808610187,2.026111589166797,0.00375234521575985,0.12581615776503954,0.162,4/11,5.85%,FDPS;HMGCS1;MVD;HSD17B11
gsea,WP_ENDODERM_DIFFERENTIATION,-0.6573476108274308,-1.981943949905597,0.0,0.007915762519593122,0.108,3/12,7.19%,BMP7;TGFB1;TCF4
gsea,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,-0.5714367438251848,-1.9559055541133392,0.001937984496124031,0.010510856825467058,0.134,6/17,18.68%,MKI67;TGFB1;FYN;COL4A5;NPHS1;PLAUR
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3542271751719746,-1.9409107945006898,0.0,0.01246498255163946,0.159,54/114,41.43%,BMP7;PCSK6;TGFB1;CACNA1C;PRKCA;TFRC;ZFP36L2;TP63;HIRA;MYO10;CHD4;UNC5B;FYN;TCF4;COL4A5;EPHB6;MAPK1;PSMD5;SEMA7A;GFRA1;SCN9A;SYTL2;ZNF521;KRT16;PRKCQ;ABL1;LEF1;YES1;ADGRV1;KRT81;TRPC3;KRT10;NCOA3;PTPRC;KRT79;MAPK12;KRT7;ITGA5;SPI1;NTN4;TUBB2A;SPRR1B;GRIN2B;FOXH1;SCN4A;MC5R;TUBB4A;LGI4;WT1;TAL1;HOXB3;HEY1;SCN2A;FOXL2
gsea,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,-0.4800266774743006,-1.9404110158654793,0.0,0.012067883821780088,0.16,8/28,18.38%,BMP7;TGFB1;TGFB2;IL22RA1;CLCF1;IL12RB2;IL10RA;AMHR2
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,-0.3991571878476779,-1.9282024407203089,0.0,0.013090810641128669,0.178,23/65,29.09%,AREG;ABCC3;ANAPC2;HIRA;HMGA1;SCMH1;MAP3K5;KHSRP;FKBP5;MAFG;HSPA1L;MAPK1;PSMD5;ABCC1;NPAS2;ASNS;MDM2;GSR;HSPA5;TNIK;CRYAB;CREB3L2;TUBB2A
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,-0.5016032233093117,-1.9278674839148335,0.0020491803278688526,0.01269932422361028,0.178,8/24,16.70%,BRIP1;CDC25C;TP63;CHD4;PLAGL1;PRKAA1;MDM2;GSR
gsea,REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,-0.5895367095800825,-1.9217570150938723,0.0038314176245210726,0.013201622810820218,0.189,3/14,3.91%,AREG;TFRC;EREG
gsea,REACTOME_METABOLISM_OF_STEROIDS,0.4924115139430895,1.8804536978531072,0.005208333333333333,0.2058577378066196,0.407,9/22,18.68%,FDPS;INSIG1;HMGCS1;MVD;ELOVL6;SEC24D;HSD17B11;AKR1B1;SLCO1A2
gsea,REACTOME_ECM_PROTEOGLYCANS,-0.5930558361134122,-1.8788639031702559,0.0,0.021118796688115154,0.275,6/16,7.48%,TGFB1;TGFB2;SERPINE1;VCAN;FN1;COL4A5
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.6009605577211699,-1.8718519692768432,0.001652892561983471,0.021784256779337905,0.289,4/15,14.82%,BMP7;TCF4;ADAM19;LEF1
gsea,WP_MARKERS_OF_KIDNEY_CELL_LINEAGE,-0.6412159508908422,-1.8597878552609182,0.0,0.023875574226263768,0.316,2/12,0.55%,BMP7;TGFB1
gsea,REACTOME_RHOA_GTPASE_CYCLE,-0.5372724561045576,-1.8526208781006201,0.0017211703958691911,0.02523197382338721,0.342,7/23,9.61%,FMNL3;BCR;TFRC;DIAPH3;ARHGAP26;ARHGAP6;ARAP3
gsea,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-0.46846338136497867,-1.8335289402030148,0.0,0.0299159581239347,0.403,12/32,22.75%,AREG;PRKCA;SCMH1;CHD4;EREG;NRG1;FYN;MAPK1;PSMD5;MDM2;BDNF;RAC2
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6560658901992573,-1.8271425754850084,0.003367003367003367,0.030853863838090495,0.419,5/11,9.66%,CACNA1C;FYN;COL4A5;MAPK1;GFRA1
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.5276948565528978,-1.814858184847003,0.008281573498964804,0.03372630647445691,0.458,10/15,34.89%,PPM1E;PPM1F;NRG1;MAPK1;PRKAA1;DLG2;GRIN2D;TUBB2A;GRIN2B;TUBB4A
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.5133603996572721,-1.811323095192809,0.0037105751391465678,0.03448389480670473,0.475,7/21,16.50%,FMNL3;BCR;TFRC;DIAPH3;ARHGAP26;ARAP3;SH3PXD2A
gsea,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.5736674328377815,-1.7965407446083719,0.007905138339920948,0.039141291710403064,0.514,5/11,10.41%,KIF13B;CENPE;KIF2A;NBAS;KIF21B
gsea,WP_NETRINUNC5B_SIGNALING,-0.6957587483926011,-1.7825394327598847,0.020522388059701493,0.043670002285792486,0.555,5/10,11.15%,PRKCA;UNC5B;FYN;MAPK1;RLF
gsea,KEGG_OOCYTE_MEIOSIS,-0.6152287472009413,-1.7774889414837252,0.003952569169960474,0.044809831561350766,0.572,4/11,7.93%,CDC25C;BUB1;ANAPC2;MAPK1
gsea,PID_GLYPICAN_1PATHWAY,-0.659777688665735,-1.7757501464532706,0.00558659217877095,0.04423735342582298,0.579,7/10,26.07%,TGFB1;TGFB2;NRG1;FYN;YES1;FLT1;PLA2G2A
gsea,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,-0.5476080513311029,-1.7743215794568303,0.010256410256410256,0.04366030115746516,0.583,5/14,13.63%,CACNA1C;PRKCA;MYLK;MAPK1;PRKCQ
gsea,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,-0.511073721751697,-1.7698081109399812,0.009505703422053232,0.04415595419092762,0.59,5/17,20.17%,AREG;TFRC;EREG;DNAJC6;SGIP1
gsea,PID_UPA_UPAR_PATHWAY,-0.5408230252097017,-1.7647990316781175,0.009615384615384616,0.04521536931666435,0.607,8/13,24.73%,TGFB1;SERPINE1;FN1;ITGAM;PLAUR;PDGFD;ITGA5;FGA
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.5752884917861211,-1.7640250477983717,0.014184397163120567,0.04462569838444813,0.613,6/17,14.47%,AREG;PRKCA;EREG;NRG1;MAPK1;ABL1
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY,-0.5391898715192237,-1.759475567220924,0.005366726296958855,0.0455190000329494,0.623,10/16,35.38%,AREG;EREG;MAPK1;PDGFD;BDNF;NTRK1;FLT1;ANGPT2;IGF1;PDGFRB
gsea,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,-0.588387754675542,-1.756933421881387,0.014492753623188406,0.04469444143715844,0.629,7/11,25.52%,HMGA1;FYN;ELMO1;PSMD5;CD247;AP1S2;DOCK2
gsea,REACTOME_HIV_INFECTION,-0.588387754675542,-1.756933421881387,0.014492753623188406,0.04469444143715844,0.629,7/11,25.52%,HMGA1;FYN;ELMO1;PSMD5;CD247;AP1S2;DOCK2
gsea,WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY,-0.6028106504275569,-1.7557236325487495,0.004024144869215292,0.044187629911294136,0.63,4/11,7.93%,TGFB1;MYLK;NRG1;MAPK1
