Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,0.7595509535923991,2.3241136991109674,0.0,0.004401170367092031,0.004,4/13,2.71%,PDE10A;PDE4D;PDE7B;PDE4C
gsea,KEGG_PURINE_METABOLISM,0.6537826640560083,2.279222270691058,0.0,0.004951316662978535,0.008,7/17,15.51%,PDE10A;FHIT;PDE4D;PDE7B;PDE4C;PKLR;GDA
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.669158515475515,2.1684611660694486,0.0,0.01577086048207978,0.035,5/15,4.78%,MDM2;GDF15;TNFRSF10B;NDRG1;DDIT4
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6570179833049934,-2.054766333027959,0.001937984496124031,0.08234852232543652,0.07,5/13,4.16%,EVL;DIAPH3;CENPF;CENPE;BUB1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5174265556362438,-1.9028816517435672,0.0,0.24565767053262244,0.311,7/26,5.56%,EVL;DIAPH3;CENPF;CENPE;BUB1;S100A9;PRKCA
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.5727579191561862,-1.8815447667251326,0.011363636363636364,0.2044834093699042,0.356,7/17,11.70%,NRG3;AREG;AKT3;EREG;PRKCA;EGFR;STAT5A
gsea,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,-0.6323928988584995,-1.8731107450555284,0.006085192697768763,0.1665475732424559,0.374,4/10,7.78%,SYTL2;RAB27A;AKT3;CEACAM1
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.3970842034433204,-1.872256082675182,0.001607717041800643,0.1345334286080727,0.379,50/73,53.36%,EVL;DIAPH3;PCDH7;CENPF;ADD3;LBR;DOCK8;CENPE;BUB1;ARHGEF2;ARAP3;S100A9;PRKCA;DOCK11;RHOH;KIF2A;ARHGAP25;CDC42BPA;CDC25C;TFRC;SH3PXD2A;ARHGAP28;PPP1R14A;TUBB4A;KIF5A;CPNE8;MYLK;RHOBTB1;DOCK10;ARHGAP4;UBXN11;MUC13;PRKCB;KIF14;LMAN1;NSL1;CAVIN1;IQGAP2;GFOD1;TUBB2A;ARHGAP26;CKB;RBMX;FILIP1;PTK2B;VIM;ARHGDIB;CCDC88A;CENPT;BCR
gsea,WP_BREAST_CANCER_PATHWAY,-0.6006228948699252,-1.8338132205305508,0.004098360655737705,0.15852861601226356,0.482,4/11,6.19%,NCOA3;FGFR1;AKT3;EGFR
gsea,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,-0.49876289699222776,-1.8198814196200475,0.0035026269702276708,0.153065150646638,0.524,9/19,15.66%,NMU;PRKCA;NTS;ANXA1;EGFR;LPAR1;TRPC3;DGKG;GNRHR
gsea,REACTOME_RHOA_GTPASE_CYCLE,-0.5053123580856522,-1.796493682433211,0.0016474464579901153,0.166316257168508,0.585,5/23,4.83%,DIAPH3;PCDH7;LBR;ARHGEF2;ARAP3
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.6389713924016897,-1.7748525927040748,0.02178217821782178,0.1774451305039993,0.65,5/11,6.19%,NRG3;AKT3;EREG;PRKCA;EGFR
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.4915429416024802,-1.7650620031080648,0.00945179584120983,0.17367210832004984,0.67,8/21,23.20%,DIAPH3;LBR;DOCK8;ARAP3;DOCK11;CDC42BPA;TFRC;SH3PXD2A
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.5635465116609509,-1.7347552228315593,0.022587268993839837,0.20338991520215066,0.752,5/11,15.37%,BMP7;ACVR1;LTBP1;BMP6;TGFB1
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.5906471887232849,-1.731349719193416,0.011214953271028037,0.1916839199447895,0.765,3/11,2.17%,CACNA1C;GFRA1;FGFR1
