Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,KEGG_CELL_CYCLE,-0.6224068702086303,-2.120900747314545,0.0,0.02261134160626864,0.025,5/13,11.20%,TGFB2;CDK6;CDC45;ABL1;TGFB1
gsea,WP_CELL_CYCLE,-0.6224068702086303,-2.120900747314545,0.0,0.02261134160626864,0.025,5/13,11.20%,TGFB2;CDK6;CDC45;ABL1;TGFB1
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.6028322544094071,-2.0613447616486464,0.002074688796680498,0.02970509583568625,0.05,10/14,30.19%,DLG2;PPM1E;CAMK2D;NRG1;ERBB4;MAPK1;PRKAR2B;LRRC7;PPM1F;GRIN2D
gsea,KEGG_PANCREATIC_CANCER,-0.7436120291572919,-1.9773218056381368,0.0,0.0470847936977594,0.116,8/11,22.55%,TGFB2;CDK6;EGFR;PLD1;EGF;TGFB1;ARHGEF6;MAPK1
gsea,WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,-0.7436120291572919,-1.9773218056381368,0.0,0.0470847936977594,0.116,8/11,22.55%,TGFB2;CDK6;EGFR;PLD1;EGF;TGFB1;ARHGEF6;MAPK1
gsea,PID_RB_1PATHWAY,-0.6895636898588944,-1.9557219207919083,0.003976143141153081,0.05120803834360839,0.149,4/10,6.68%,TGFB2;CDK6;UBTF;ABL1
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,-0.6906092786081256,-1.925691914039883,0.001984126984126984,0.06232369787274045,0.207,4/11,4.47%,CDK6;EGFR;TP63;DDIT4
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6064551593403068,-1.911413690604601,0.008912655971479501,0.06301248874099863,0.239,9/17,14.72%,EGFR;NRG3;AREG;ABL1;STAT5B;EGF;CAMK2D;NRG1;ERBB4
gsea,WP_ERBB_SIGNALING,-0.5914408076575624,-1.9103017095126968,0.0036363636363636364,0.0563066741960023,0.239,9/18,14.72%,EGFR;NRG3;AREG;ABL1;STAT5B;EGF;CAMK2D;NRG1;ERBB4
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3370832307396956,-1.8904304180387748,0.0,0.06464183541556799,0.288,51/116,37.37%,BMP7;PCSK6;COL4A5;ADGRV1;ZFP36L2;CACNA1C;ANK3;CHD4;NCOA3;EGFR;TP63;SEMA7A;GFRA1;TFRC;ROBO1;MYO10;ABL1;PSMA1;RAB27A;EGF;TGFB1;SCN9A;MAPK12;MAML3;PRX;EPHA4;RELN;KRT10;KRT13;FGFR1;HIRA;UNC5B;KRT81;EFNA5;MAPK1;YES1;MEF2C;PTPRC;KRT79;MAML2;LEF1;PRKCA;ZFPM2;SPTB;CNTN1;COL4A4;MED15;GATA2;SPRR1B;GRIN2B;FOXH1
