Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE,-0.5039946789536267,-2.206860508405015,0.0,0.014766680792955691,0.015,16/34,24.85%,BRIP1;CDC45;PRKCA;BUB1;CDC25C;CENPF;AKT3;CENPE;NSL1;KIF2A;TUBB2A;PSMA1;ANAPC2;LBR;TUBB4A;CCND2
gsea,REACTOME_M_PHASE,-0.5934084458117687,-2.183865955794521,0.0,0.008306257946037577,0.017,11/19,23.28%,PRKCA;BUB1;CENPF;CENPE;NSL1;KIF2A;TUBB2A;PSMA1;ANAPC2;LBR;TUBB4A
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.6735790689656,-2.1547949928776307,0.0,0.008613897129224153,0.023,9/15,9.39%,BRIP1;CDC45;BUB1;CDC25C;CENPF;CENPE;NSL1;KIF2A;PSMA1
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.49533074686416667,-2.149201088043762,0.0,0.007383340396477846,0.027,15/30,24.85%,CDC45;PRKCA;BUB1;CDC25C;CENPF;AKT3;CENPE;NSL1;KIF2A;TUBB2A;PSMA1;ANAPC2;LBR;TUBB4A;CCND2
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.6521641182804654,-2.015507818384243,0.0,0.028610444036351653,0.115,9/12,23.28%,BUB1;CENPF;CENPE;NSL1;KIF2A;TUBB2A;PSMA1;ANAPC2;TUBB4A
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.630123733049746,-2.0143185723814576,0.0,0.023995856288552997,0.115,10/13,23.28%,BUB1;CENPF;CENPE;NSL1;KIF2A;TUBB2A;PSMA1;ANAPC2;LBR;TUBB4A
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.6879063904856466,-2.0006425047347083,0.0,0.023732165560107363,0.126,6/10,9.29%,BUB1;CENPF;CENPE;NSL1;KIF2A;TUBB2A
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.6223786986496047,-1.9755407280048807,0.0021929824561403508,0.02930263219852145,0.171,5/11,10.05%,BMP7;TGFB2;BMP6;TGFB1;AMHR2
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6608121064455473,-1.9645954586916932,0.002079002079002079,0.029123176008329275,0.19,3/11,2.28%,DIAPH3;PRKCA;EGFR
gsea,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,-0.6313469333942671,-1.8737140701578505,0.006036217303822937,0.06561943777369685,0.392,7/11,24.13%,CENPE;KIF2A;TUBB2A;NBAS;COPE;TUBB4A;KIF5A
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,-0.567387524421574,-1.8695544667818955,0.006036217303822937,0.062338885392989075,0.404,7/15,20.15%,PMEPA1;TGFB2;SERPINE1;TGFB1;AMHR2;KLF16;FOXH1
gsea,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.6444793703776713,-1.856827353394768,0.0021413276231263384,0.06345058153223149,0.435,7/10,24.13%,CENPE;KIF2A;TUBB2A;NBAS;COPE;TUBB4A;KIF5A
gsea,REACTOME_RHOC_GTPASE_CYCLE,-0.629581366485246,-1.8534238829669354,0.003875968992248062,0.06020262169435782,0.441,5/11,4.50%,DIAPH3;FMNL3;BCR;LMAN1;TFRC
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5094110873967109,-1.8478212345785336,0.0,0.05847341903282008,0.453,12/22,37.79%,BMP7;PRKCA;HMGA1;PDE11A;OSBPL3;PRKAA1;STAR;TOX;PLCD1;HSPA5;MAPK1;PDK1
gsea,WP_HEPATITIS_B_INFECTION,-0.5626749012139292,-1.788462214502062,0.010362694300518135,0.09339925601544473,0.622,5/16,7.44%,PRKCA;TGFB2;AKT3;CREB3L2;TGFB1
gsea,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,-0.5784548046881769,-1.7548239773824281,0.011764705882352941,0.11749894052832321,0.719,10/12,37.13%,BUB1;CDC25C;AKT3;PDE3A;ANAPC2;SPDYC;IGF1;PDE3B;MAPK12;MAPK1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.45633107391755245,-1.7058782928567156,0.01727447216890595,0.16047907508815082,0.812,16/26,24.13%,DIAPH3;PRKCA;BUB1;FMNL3;CDC25C;CENPF;CENPE;NSL1;KIF2A;TUBB2A;NCKAP1L;KIF14;RAC2;PPP1R14A;TUBB4A;KIF5A
gsea,WP_ENDOCHONDRAL_OSSIFICATION,-0.49832772166409095,-1.693947750086707,0.017094017094017096,0.15743030411174144,0.844,6/17,12.57%,BMP7;MGP;TGFB2;BMP6;TGFB1;SCIN
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.49832772166409095,-1.693947750086707,0.017094017094017096,0.15743030411174144,0.844,6/17,12.57%,BMP7;MGP;TGFB2;BMP6;TGFB1;SCIN
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.5428102238156773,-1.6831717060244626,0.030303030303030304,0.16211046758016667,0.864,8/12,9.29%,DIAPH3;BUB1;FMNL3;CENPF;CENPE;NSL1;KIF2A;TUBB2A
gsea,REACTOME_RAC3_GTPASE_CYCLE,-0.5681974077532809,-1.6484959673171597,0.020634920634920634,0.19904255152171524,0.904,8/14,18.54%,DIAPH3;ARAP3;BCR;LMAN1;TFRC;NCKAP1L;ARHGDIB;LBR
gsea,KEGG_PANCREATIC_CANCER,-0.5683285490015733,-1.645632207324289,0.02857142857142857,0.18494465156177384,0.906,5/11,13.42%,TGFB2;AKT3;EGFR;TGFB1;RAC2
gsea,WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,-0.5683285490015733,-1.645632207324289,0.02857142857142857,0.18494465156177384,0.906,5/11,13.42%,TGFB2;AKT3;EGFR;TGFB1;RAC2
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,-0.4000531516229744,-1.6387419548021023,0.017699115044247787,0.1866216195005572,0.913,16/31,41.35%,PRKCA;TGFB2;PCDH7;ABCC4;FGG;VCL;SERPINE1;TGFB1;TTN;IGF1;SCG3;HSPA5;FGA;EGF;SRGN;PROS1
gsea,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,-0.4985697625453782,-1.6039443634878194,0.016666666666666666,0.22766530112539435,0.945,12/26,38.31%,IFI6;BST2;FGG;CTSZ;PRKCQ;SERPINE1;NLRP1;CCL5;FYN;PTGS2;FGA;APOC1
