Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5372812934271295,2.6986196725777525,0.0,0.0,0.0,33/66,20.30%,G6PD;SLC7A11;SESN2;MDM2;HMGA1;FKBP5;ASNS;DDIT3;EGLN1;RAE1;ME1;GCLM;TPP1;HSPA5;ABCC1;KHSRP;PSMD5;GSR;MT1G;ETS1;HMOX1;TNIK;SCMH1;AREG;GFPT1;NUP214;HYOU1;SQSTM1;FKBP14;TLN1;PSMA1;CAMK2D;GCLC
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.7147685384129165,-2.2825331640389632,0.0,0.003343820985651199,0.003,5/14,6.41%,ERBB4;DLG2;PRKAR2B;PPM1F;TUBB2A
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.7555861438841709,2.236459731560031,0.0,0.006806676909327963,0.015,9/11,17.47%,ASNS;DDIT3;TPP1;HSPA5;KHSRP;GFPT1;HYOU1;FKBP14;TLN1
gsea,WP_BREAST_CANCER_PATHWAY,0.7289839487119988,2.175210665337296,0.0,0.009642792288214613,0.032,3/11,2.89%,LEF1;NCOA3;FGFR1
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.47786787581725276,-2.174390195088123,0.0,0.005573034976085331,0.01,23/60,22.99%,GFRA1;DSCAM;ANK3;PLXNA4;COL4A5;PRKCA;LYN;EPHA4;ADGRV1;EPHB6;TUBB2A;CACNA1C;COL4A4;EVL;UNC5D;PRKCQ;TRPC3;PTPRC;UNC5B;MSN;EGFR;GAB2;FYN
gsea,WP_HEPATITIS_B_INFECTION,-0.6681950950676964,-2.171773170034597,0.0,0.004086892315795909,0.011,3/16,1.66%,BCL2;TGFB2;PRKCA
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,-0.665273382651114,-2.1612172524336204,0.0,0.004458427980868265,0.014,6/15,14.97%,TGFB2;BMPR1B;INHBA;PMEPA1;TGFBR3;AMHR2
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.5647149169769012,2.1417979697038,0.0,0.010635432670824943,0.046,9/24,6.21%,G6PD;SESN2;MDM2;DDIT4;TNFRSF10B;CHD4;BRIP1;PLAGL1;GSR
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3740462156893039,-2.1238294679757383,0.0,0.008693934562693116,0.032,64/115,51.61%,GFRA1;BCL2;DSCAM;ANK3;MAML3;SYTL2;PLXNA4;COL4A5;PRKCA;LYN;RUNX1;EPHA4;ADGRV1;CCND3;EPHB6;TUBB2A;CACNA1C;KRT81;COL4A4;EVL;KRT7;UNC5D;PRKCQ;ZEB2;TRPC3;MEF2C;PTPRC;KRT79;UNC5B;MSN;EGFR;GAB2;FYN;SPRR1B;FOXH1;FOXA2;MC5R;TUBB4A;LGI4;WT1;COL6A5;TAL1;HEY1;SCN2A;TFEC;FOXL2;DHH;COL5A2;CDH2;ANK1;RELN;GATA2;YES1;ZFPM2;WWTR1;MAPK1;RPL3L;ITGA5;MAML2;SPTB;TP63;GMPR;MAPK12;KRT13
gsea,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-0.5704986465500475,-2.1003848989238034,0.0,0.008545320296664174,0.039,9/33,7.00%,ERBB4;DLG2;GLRA3;PRKCA;PRKAR2B;GABRA3;PPM1F;TUBB2A;ACHE
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.5861796149993548,-2.0842689904714824,0.0,0.008439167249500645,0.045,11/23,21.14%,ERBB4;PRKCA;GNA14;ITPR1;CACNA1C;PLCD1;P2RX1;RYR1;PRKCB;EGFR;MYLK
gsea,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,-0.6019956841867624,-2.083205197387041,0.0,0.0075235972177151965,0.046,8/26,6.41%,ERBB4;DLG2;GLRA3;PRKCA;PRKAR2B;GABRA3;PPM1F;TUBB2A
gsea,REACTOME_NEDDYLATION,0.7088237179671197,2.0460472150644633,0.0,0.032672049164774224,0.15,7/10,24.17%,KLHL22;PSMD5;CCDC8;SQSTM1;PSMA1;FBXL13;FBXO17
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6601970551156316,-2.0261456293127713,0.0020408163265306124,0.013003748277532437,0.086,6/11,20.55%,PRKCA;RICTOR;PLD1;MEF2C;USP6NL;EGFR
gsea,WP_ACUTE_VIRAL_MYOCARDITIS,-0.6639441945208531,-2.0174033327115604,0.0,0.013375283942604796,0.098,2/10,0.39%,BCL2;SGCG
gsea,PID_TXA2PATHWAY,-0.648866405538604,-1.9742979176336375,0.005535055350553505,0.02208948408702913,0.158,7/12,22.99%,PRKCA;LYN;GNA14;PRKCQ;PRKCB;EGFR;FYN
gsea,WP_EFFECT_OF_OMEGA3_PUFA_ON_HUNTINGTONS_DISEASE_PATHWAYS,-0.6281114184271903,-1.9476170858896498,0.0016025641025641025,0.027493639215354297,0.207,5/18,6.07%,BCL2;RICTOR;ITPR1;APOE;GABRA3
gsea,WP_BURN_WOUND_HEALING,-0.49272194385578705,-1.944063674158396,0.0,0.02649335088631334,0.212,9/22,32.14%,BCL2;TGFB2;INHBA;ACHE;TNFAIP3;S100A9;CXCL8;PDGFRB;MIAT
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.6885955236996916,-1.9202863648034236,0.0018796992481203006,0.03200514371980433,0.257,4/11,5.92%,ERBB4;PRKCA;NRG3;NRG4
gsea,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,-0.516738832306668,-1.9184069517727051,0.003745318352059925,0.030688845934976554,0.264,13/28,21.82%,BCL2;ERBB4;TFF1;RUNX1;PDK4;APOD;APOC1;ALDH1A1;APOE;ALDH1A2;AKR1C3;EGFR;EREG
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5178170690329226,1.9181174268714674,0.001996007984031936,0.08834499405231919,0.368,13/25,20.30%,G6PD;SLC7A11;SESN2;ME1;GCLM;ABCC1;PSMD5;GSR;HMOX1;AREG;SQSTM1;PSMA1;GCLC
gsea,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,-0.6406328470338605,-1.906147354143269,0.00338409475465313,0.03260225461009919,0.293,4/13,6.70%,SGCG;TGFB2;TPM2;CACNA1C
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6023632307690479,-1.9047699207769027,0.0,0.030946735396615015,0.295,4/12,7.39%,GFRA1;COL4A5;CACNA1C;COL4A4
gsea,WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,-0.5765469926843119,-1.9036574505318735,0.0035714285714285713,0.029722853205788432,0.3,7/18,10.03%,IGFBP5;PRKCA;PRKAR2B;ITPR1;PLCD1;RYR1;PRKCQ
gsea,WP_KIT_RECEPTOR_SIGNALING,-0.5705799414074456,-1.894698360504198,0.001893939393939394,0.031443649970334074,0.324,7/15,22.99%,BCL2;PRKCA;LYN;CRKL;PRKCB;GAB2;FYN
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.5387488961116307,1.8942942952119664,0.007462686567164179,0.09432109431497321,0.43,13/21,20.30%,G6PD;SLC7A11;SESN2;ME1;GCLM;ABCC1;PSMD5;GSR;HMOX1;AREG;SQSTM1;PSMA1;GCLC
gsea,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,-0.7010775866909946,-1.889682404163628,0.003629764065335753,0.03159910831440382,0.338,6/10,10.03%,PRKCA;PRKAR2B;ITPR1;CACNA1C;RYR1;PRKCQ
gsea,WP_IL3_SIGNALING,-0.6139971782792124,-1.8684790072659976,0.0035714285714285713,0.036941260412908475,0.388,7/12,26.91%,BCL2;LYN;CRKL;ENPP3;GAB2;FYN;CXCL8
gsea,WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,-0.6536545653752749,-1.8583845631142015,0.007677543186180422,0.03678203084216319,0.409,5/11,20.55%,TGFB2;PLD1;ARHGEF6;RAC2;EGFR
gsea,KEGG_PANCREATIC_CANCER,-0.6536545653752749,-1.8583845631142015,0.007677543186180422,0.03678203084216319,0.409,5/11,20.55%,TGFB2;PLD1;ARHGEF6;RAC2;EGFR
gsea,KEGG_GNRH_SIGNALING_PATHWAY,-0.630869148727305,-1.8552120368584342,0.0032,0.03613184342828656,0.414,9/15,22.06%,PRKCA;CGA;ITPR1;PLD1;CACNA1C;GNRHR;PRKCB;EGFR;PLA2G2A
gsea,KEGG_DILATED_CARDIOMYOPATHY,-0.6283045604709517,-1.8523855128896904,0.008503401360544218,0.035444502447902704,0.42,4/13,6.70%,SGCG;TGFB2;TPM2;CACNA1C
gsea,PID_KIT_PATHWAY,-0.6143300906363878,-1.8324171198439614,0.0072992700729927005,0.041540545321743734,0.478,3/11,6.51%,BCL2;LYN;CRKL
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.5917028405011451,1.8292724150515043,0.01904761904761905,0.14347198672942846,0.572,8/13,20.30%,TNFRSF10B;ABL1;JUND;HSPA5;ETS1;VIM;SQSTM1;GCLC
gsea,PID_P73PATHWAY,0.6217663118422857,1.8287708889033638,0.011049723756906077,0.12771972922919553,0.572,4/10,10.47%,GDF15;MDM2;ABL1;GATA1
gsea,KEGG_LONG_TERM_DEPRESSION,-0.6389695689926714,-1.82862819544616,0.0018975332068311196,0.04136430404472224,0.488,7/10,28.62%,PRKCA;LYN;ITPR1;RYR1;PRKCB;PLA2G2A;IGF1
gsea,REACTOME_SIGNALING_BY_ERBB4,-0.6304982386132778,-1.8243122967402214,0.008605851979345954,0.0419967992840716,0.497,6/12,21.82%,ERBB4;NRG3;APOE;NRG4;EGFR;EREG
gsea,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,-0.5789956460180139,-1.8103419525997244,0.0040650406504065045,0.04581419097581872,0.53,2/12,1.66%,BCL2;PRKCA
gsea,WP_GASTRIN_SIGNALING,-0.5853634074176555,-1.8023937917646076,0.007207207207207207,0.04751941156275426,0.552,8/15,26.91%,PRKCA;CD44;PRKCQ;ANXA2;MEF2C;EGFR;FYN;CXCL8
gsea,WP_ENDODERM_DIFFERENTIATION,0.5860311264894477,1.8012168756255482,0.009501187648456057,0.14149379625265504,0.631,3/12,13.45%,LEF1;BMP7;TET1
gsea,REACTOME_ESR_MEDIATED_SIGNALING,-0.5561133774408662,-1.7966059618561343,0.0044444444444444444,0.04803596598741937,0.566,4/15,1.96%,BCL2;ERBB4;TFF1;RUNX1
gsea,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.5932428895716264,-1.783533575751684,0.004830917874396135,0.05249102318100372,0.605,8/16,22.26%,PRKCA;LYN;PLD1;CRKL;PTPRC;RAC2;PRKCB;GAB2
gsea,WP_FERROPTOSIS,0.5166455089249032,1.7825465678414278,0.012072434607645875,0.14572476474061233,0.677,9/16,30.33%,SLC7A11;GCLM;FTL;NOX1;HMOX1;CP;GCLC;AKR1C1;BACH1
gsea,REACTOME_PEPTIDE_HORMONE_METABOLISM,-0.6285926402456232,-1.7770118011383502,0.0064516129032258064,0.0539402233745956,0.622,9/13,28.62%,MME;INHBA;CGA;ACHE;PCSK2;ERO1B;CTSZ;SLC30A8;IGF1
gsea,REACTOME_CELLULAR_SENESCENCE,0.6123056599913822,1.7765992514299698,0.019538188277087035,0.1404586141393614,0.695,5/11,13.21%,MDM2;HMGA1;ETS1;TNIK;SCMH1
gsea,PID_ATF2_PATHWAY,-0.6020890195318488,-1.7753745522191084,0.001834862385321101,0.053009397390176356,0.625,5/11,12.57%,BCL2;TGFB2;PRKCA;ACHE;CSRP2
gsea,REACTOME_NEURONAL_SYSTEM,-0.4504371125021519,-1.7622528870119303,0.0014326647564469914,0.057800334180542146,0.659,20/49,29.94%,ERBB4;DLG2;GLRA3;PRKCA;EPB41;PRKAR2B;GABRA3;PPM1F;TUBB2A;ACHE;KCNN2;IL1RAPL1;NCALD;NTRK3;PRKCB;NLGN4Y;KCNAB1;NRXN3;TSPOAP1;TUBB4A
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,0.5077773796103963,1.7532944636295134,0.015283842794759825,0.15210304939690564,0.74,4/15,13.45%,LEF1;BMP7;FGFR1;TET1
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.5406550937581622,-1.746607304565587,0.011472275334608031,0.06430663136294018,0.697,8/17,21.82%,ERBB4;PRKCA;NRG3;NRG4;CRKL;PRKCB;EGFR;EREG
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.5159047501576279,1.7442314018974587,0.01845018450184502,0.1496253442032629,0.756,12/19,20.30%,G6PD;SLC7A11;ME1;GCLM;ABCC1;PSMD5;GSR;HMOX1;AREG;SQSTM1;PSMA1;GCLC
gsea,REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.4654865371721517,1.7430834408098956,0.002638522427440633,0.14106837894582203,0.758,13/22,25.64%,FGB;SEC24D;HSPA5;KLHL22;PSMD5;BTK;FGG;PSMA1;RNF182;FBXL13;UBAC1;FBXO17;RNF217
gsea,REACTOME_OPIOID_SIGNALLING,-0.6068388917818721,-1.7381936361511285,0.018518518518518517,0.06648480103902879,0.72,4/12,5.63%,PRKCA;GNA14;PRKAR2B;ITPR1
