Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.6729989194052091,2.4153509469600207,0.0,0.0037910699241786015,0.003,1/13,0.05%,NEAT1
gsea,KEGG_CELL_CYCLE,-0.7021096525900337,-2.3636727725053155,0.0,0.0,0.0,6/13,12.13%,CDK6;TGFB2;CDC25C;CDC45;ABL1;BUB1
gsea,WP_CELL_CYCLE,-0.7021096525900337,-2.3636727725053155,0.0,0.0,0.0,6/13,12.13%,CDK6;TGFB2;CDC25C;CDC45;ABL1;BUB1
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.4705439697566549,-2.316564023499834,0.0,0.00027860024125595363,0.001,35/112,17.04%,GFRA1;BMP7;ANK3;DSCAM;MAML3;COL4A5;EPHA4;SYTL2;BCL2;PLXNA4;PCSK6;RAB27A;EVL;CACNA1C;SEMA3A;TP63;EGF;ABL1;EGFR;LYN;ZFP36L2;TUBB2A;SEMA7A;CDH2;MAML2;ANK1;EFNA5;GAB2;YES1;CHD4;HIRA;KRT13;MAPK12;PSMD5;ZNF521
gsea,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.7130843321550976,-2.1945965947918227,0.0,0.0008358007237678609,0.004,5/11,7.92%,CDK6;CDC45;TOP2A;ABL1;LYN
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.7469433448119125,-2.16708293557075,0.0,0.0008358007237678608,0.005,3/11,4.76%,GFRA1;COL4A5;CACNA1C
gsea,WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,0.5869004620578833,2.1563175752503905,0.0,0.03285593934288121,0.046,6/17,14.29%,ITPR1;FGA;FGB;CACNA1F;TNNI1;DMD
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.7759162321913629,-2.147156631364669,0.0,0.0012537010856517913,0.009,9/12,16.24%,DIAPH3;EVL;CENPF;CENPT;TUBB2A;FMNL3;BUB1;KIF2A;CENPE
gsea,REACTOME_CELL_CYCLE,-0.5728364509516539,-2.1451163375949713,0.0,0.0010746009305586783,0.009,16/34,16.84%,BRIP1;CDK6;CDC25C;CDC45;CENPF;CENPT;TOP2A;ABL1;LYN;TUBB2A;LBR;BUB1;KIF2A;CENPE;TEX15;PSMD5
gsea,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,-0.7412388214751664,-2.1292532164936318,0.0,0.0011492259951808087,0.011,3/10,3.56%,SYTL2;BCL2;RAB27A
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.4772937033843781,2.113393917668449,0.0,0.03706823925863521,0.072,28/58,27.02%,NQO1;FTL;SQSTM1;TXNRD1;GCLC;CPEB4;NCOA3;SLC6A8;G6PD;JUND;ANGPTL4;TNFAIP3;SLC5A3;SERTAD2;FKBP5;MFGE8;HMOX1;SLCO2B1;HSPA1A;SRGN;SLC7A11;GCLM;ABCB1;PLTP;SLC6A6;NRG1;PPARD;SERPINB9
gsea,PID_KIT_PATHWAY,-0.6374976362583364,-2.080596126259947,0.0,0.0023216686771329468,0.024,5/11,10.33%,BCL2;SH2B3;LYN;CRKL;SOCS1
gsea,WP_ENDODERM_DIFFERENTIATION,-0.6231124401073145,-2.0784459331770773,0.0,0.002089501809419652,0.024,3/12,10.78%,BMP7;TET1;SLC2A12
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.7681548338932264,-2.0589242170908264,0.0,0.002583384055282479,0.032,3/10,5.01%,BMP7;TGFB2;INHBA
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.7233699680781553,-2.0468723119092096,0.0,0.002716352352245548,0.036,8/13,16.84%,CENPF;CENPT;TUBB2A;LBR;BUB1;KIF2A;CENPE;PSMD5
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5469242920176776,-2.032597453926288,0.0,0.0030217410782376504,0.043,14/30,16.84%,CDK6;CDC25C;CDC45;CENPF;CENPT;TOP2A;ABL1;LYN;TUBB2A;LBR;BUB1;KIF2A;CENPE;PSMD5
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7162285446716943,-2.0272447199387775,0.0,0.0029253025331875127,0.045,9/15,16.84%,BRIP1;CDC25C;CDC45;CENPF;CENPT;BUB1;KIF2A;CENPE;PSMD5
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.5768069001421688,2.0231442545677574,0.0,0.07518955349620894,0.173,7/20,10.33%,NQO1;TXNRD1;CGA;ARG2;SLC6A8;ASNS;RPL3L
gsea,WP_NRF2_PATHWAY,0.5314577582490826,2.0189915154765026,0.0,0.062173546756529065,0.177,15/32,26.72%,NQO1;FTL;SQSTM1;TXNRD1;GCLC;SLC6A8;G6PD;SLC5A3;HMOX1;HSPA1A;SLC7A11;GCLM;SLC6A6;NRG1;PPARD
