Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,-0.6541279578438753,-2.2681393977788704,0.0,0.0,0.0,17/43,13.80%,LRP1B;FDPS;MYO1E;INSIG1;SCARB1;SNX9;MVD;EHBP1;PICALM;PRKAA1;SESN2;TFRC;ABL1;STON2;LBR;PPARD;LRP12
gsea,WP_ENDODERM_DIFFERENTIATION,-0.6981570240048549,-2.2295762055102,0.0,0.0,0.0,3/12,9.44%,BMP7;TGFB1;TET1
gsea,PID_CMYB_PATHWAY,-0.7084066122223613,-2.1335884874484656,0.0,0.000878684919109687,0.002,2/10,1.82%,BCL2;COPA
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.6253955411381305,-2.0947668575805864,0.0,0.0006590136893322653,0.002,35/112,13.17%,DSCAM;ANK3;NCOA3;BMP7;PRKCA;GFRA1;BCL2;ADGRV1;PCSK6;SYTL2;MYO10;MAML3;EVL;GAB2;MED15;WWTR1;RUNX1;ZFP36L2;YES1;TLN1;TGFB1;CCND3;COL4A5;EFNA5;ROBO1;PSMA1;RAB27A;CHD4;TFRC;CACNA1C;ABL1;HIRA;CLTCL1;GRB10;GATA2
gsea,WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,-0.7622470331782056,-2.026936662702203,0.0,0.0015816328543974366,0.006,5/12,8.77%,PRKCA;BCL2;MAP3K5;TGFB1;JUND
gsea,WP_MAPK_SIGNALING,-0.6338562751353539,-1.9644564685062385,0.0,0.0032950684466613264,0.014,10/31,10.48%,PRKCA;FGF13;MAP3K5;RAPGEF2;TGFB1;HSPA1A;ATF2;TGFB2;JUND;CACNA1C
gsea,KEGG_MAPK_SIGNALING_PATHWAY,-0.6089126698756155,-1.9543377584597592,0.0,0.003200923633899574,0.015,10/33,10.48%,PRKCA;FGF13;MAP3K5;RAPGEF2;TGFB1;HSPA1A;ATF2;TGFB2;JUND;CACNA1C
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.6133530352780543,-1.864707214647488,0.0,0.006095876626323453,0.033,19/59,13.12%,DSCAM;ANK3;PRKCA;GFRA1;ADGRV1;MYO10;EVL;GAB2;WWTR1;YES1;TLN1;COL4A5;EFNA5;ROBO1;PSMA1;CACNA1C;ABL1;CLTCL1;GRB10
gsea,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,-0.6525932808544812,-1.8465503512113624,0.0015923566878980893,0.007175926839395776,0.041,4/13,12.60%,ABCC1;SLC23A2;NAMPT;MTHFR
gsea,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,-0.629000540149206,-1.818056846053217,0.0,0.009226191650651713,0.057,9/24,15.09%,BMP7;TGFB1;ACVR1;BMPR1B;TNFRSF10B;TGFB2;IL6ST;GDF15;INHBA
gsea,REACTOME_RHOG_GTPASE_CYCLE,-0.761718341492666,-1.8114153094795002,0.0034904013961605585,0.009346012321439397,0.063,6/12,11.67%,DIAPH3;DOCK5;ARHGAP21;PLD1;TFRC;LBR
gsea,PID_TCR_PATHWAY,-0.5660995113830337,-1.8078095672555181,0.0019011406844106464,0.008896684805985582,0.065,2/12,3.63%,PRKCA;GAB2
gsea,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,-0.7032756868691356,-1.7871077865850828,0.0015527950310559005,0.011355312800802108,0.092,7/16,10.89%,RHOBTB3;COPA;NBAS;USP6NL;CENPE;MAN1A1;KIF13B
gsea,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,-0.6701748656469088,-1.7792201935124439,0.006666666666666667,0.011956391220742529,0.103,3/11,4.98%,SLC24A3;SLC12A2;SLC7A5
gsea,WP_PLEURAL_MESOTHELIOMA,-0.6140491939794569,-1.778591896906308,0.0,0.011159298472693025,0.103,17/49,14.32%,AREG;FGF13;BCL2;MAP3K5;WWTR1;SLC7A5;TGFB1;CCND3;COL4A5;EFNA5;ATF2;PRKAA1;FN1;MDM2;TNNT1;TNIK;PDK1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,-0.6378544848396966,-1.7727619583278649,0.008237232289950576,0.011285609429815043,0.107,5/13,20.59%,NEAT1;BCR;MFGE8;BCL6;BACH2
gsea,KEGG_ENDOCYTOSIS,-0.6996580286347821,-1.7675577953889774,0.0,0.011552122318883237,0.112,7/14,12.09%,HSPA1A;DNAJC6;PLD1;MDM2;TFRC;ERBB4;CLTCL1
gsea,PID_RB_1PATHWAY,-0.8011211595514245,-1.76560435238547,0.0,0.011349680205166789,0.118,6/10,10.74%,UBTF;CCND3;ATF2;TGFB2;MDM2;ABL1
gsea,REACTOME_VESICLE_MEDIATED_TRANSPORT,-0.6095499902020001,-1.7593870327998578,0.0,0.0117928765459458,0.127,33/57,26.14%,ANK3;RHOBTB3;AREG;COPA;NBAS;USP6NL;SCARB1;CENPE;SNX9;MAN1A1;DENND5B;DENND5A;PICALM;DNAJC6;RAB27A;TFRC;VAMP2;KIF13B;STON2;CLTCL1;KIAA0319;AP1S2;ARFIP2;F8;CTSC;KIF2A;EGF;ANK1;COL1A1;AKT3;FNBP1;BET1;EREG
gsea,REACTOME_RAC3_GTPASE_CYCLE,-0.6723619172478161,-1.7528299485654202,0.009244992295839754,0.01212585188371368,0.135,6/14,12.86%,DIAPH3;ARHGAP21;BCR;TFRC;LBR;DOCK10
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.5982114552981215,-1.749942576441278,0.0015290519877675841,0.012176062450519949,0.139,4/15,15.09%,BMP7;ACVR1;TET1;INHBA
gsea,WP_PI3KAKT_SIGNALING,-0.593457484559862,-1.7498323630140749,0.0,0.011682515401799246,0.139,12/40,10.58%,PRKCA;FGF13;BCL2;CREB3L2;CCND3;COL4A5;EFNA5;ATF2;PRKAA1;FN1;MDM2;DDIT4
gsea,REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,-0.669087416431412,-1.7490134143552711,0.001366120218579235,0.011346496564155524,0.14,5/20,6.12%,ANK3;AREG;COPA;ST8SIA6;MAN1A1
gsea,WP_CANCER_PATHWAYS,-0.5811677927075265,-1.7475189175224837,0.0,0.010983561488871087,0.141,18/58,12.66%,NCOA3;PRKCA;BCL2;TXNRD1;BCR;RUNX1;TGFB1;CCND3;COL4A5;PLD1;TGFB2;FN1;MDM2;EGLN1;IL6ST;ABL1;NQO1;PPARD
gsea,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.603724719794834,-1.7390648622693852,0.003284072249589491,0.011914967503127356,0.16,4/16,8.09%,PRKCA;MYO10;GAB2;PLD1
