Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE,-0.6324720317013429,-2.7336675595094087,0.0,0.0,0.0,12/36,7.86%,BRIP1;CDC45;CENPF;TOP2A;PRKCA;BUB1;CDC14A;LBR;CENPE;CDC25C;TEX15;PSMA1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.8408571777996156,-2.650825957205245,0.0,0.0,0.0,6/15,2.59%,BRIP1;CDC45;CENPF;BUB1;CENPE;CDC25C
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5758058399448821,-2.4467114601082454,0.0,0.0,0.0,10/32,7.86%,CDC45;CENPF;TOP2A;PRKCA;BUB1;CDC14A;LBR;CENPE;CDC25C;PSMA1
gsea,REACTOME_M_PHASE,-0.6018093807547452,-2.2722842724728483,0.0,0.0009866660461219836,0.004,6/21,7.86%,CENPF;PRKCA;BUB1;LBR;CENPE;PSMA1
gsea,WP_NRF2_PATHWAY,0.5219847712097829,2.2721668009865503,0.0,0.014235753960090516,0.014,9/33,18.11%,FGF13;NQO1;TGFB2;SQSTM1;ABCC3;HGF;FTL;GCLC;ABCC4
gsea,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.4940489219624029,2.247649569780146,0.0,0.010676815470067887,0.02,23/40,30.94%,FGF13;EPAS1;DDIT4;CREB3L2;CSF3R;COL4A4;COL1A2;HGF;ANGPT1;ITGAX;FGFR1;LPAR1;PFKFB4;IGF1;RELN;PDGFD;SLC2A3;AKT3;EFNA5;PRKAA1;COL5A2;MDM2;VEGFA
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5706831765027145,-2.2405964085568733,0.0,0.0009866660461219834,0.005,9/29,9.86%,DIAPH3;CENPF;PRKCA;BUB1;KIF14;CENPE;CDC25C;EVL;FMNL3
gsea,WP_BREAST_CANCER_PATHWAY,0.7430102651268149,2.204459016359257,0.0,0.011524181777216133,0.029,2/11,0.68%,NCOA3;CDK6
gsea,REACTOME_CARDIAC_CONDUCTION,0.587171512731999,2.1574225364098,0.0021321961620469083,0.01754048255796867,0.055,7/18,14.89%,FGF13;MME;CACNA1C;WWTR1;CAMK2D;TNNI3;ATP1A2
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6869001773946272,-2.154753543460411,0.0,0.003453331161426942,0.017,6/14,9.86%,DIAPH3;CENPF;BUB1;CENPE;EVL;FMNL3
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.44116681214385434,2.1186701295161723,0.0,0.01993005554412672,0.081,26/59,38.70%,NCOA3;FGF13;NQO1;TGFB2;SQSTM1;CPEB4;ANGPTL4;ABCC3;HGF;FTL;GCLC;ABCC4;CDKN1C;ABCB1;SLC2A3;PLTP;JUND;SLC6A6;ALDH3A1;GSR;CYP3A5;MAFG;SLC6A8;PPARD;EGFR;CAVIN2
gsea,KEGG_MELANOMA,0.6585775793527813,2.07184741652484,0.0,0.027115721828743843,0.125,7/13,24.99%,FGF13;CDK6;HGF;FGFR1;IGF1;PDGFD;AKT3
gsea,WP_SPINAL_CORD_INJURY,-0.5524702967152859,-2.0494644743310437,0.004,0.012262849430373224,0.072,8/19,14.30%,PRKCA;RTN4;C5;VCAN;PTGS2;ANXA1;CHST11;TGFB1
gsea,WP_ECTODERM_DIFFERENTIATION,0.5728009702375667,2.0310446807285008,0.00641025641025641,0.03428201974062614,0.179,7/19,22.21%,CTNND2;KIFC3;SORCS1;ARHGAP15;ABCC4;POU2F2;DMD
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.6179211976419672,-2.0208470346262617,0.0,0.015786656737951738,0.106,5/15,7.86%,CENPF;BUB1;LBR;CENPE;PSMA1
gsea,REACTOME_ESR_MEDIATED_SIGNALING,-0.6064451109634788,-2.019675961211478,0.0022371364653243847,0.01425184288842865,0.108,5/15,2.68%,AREG;TFF1;BCL2;RUNX1;FKBP5
gsea,REACTOME_MUSCLE_CONTRACTION,0.45620165239895333,1.9700848482557658,0.0,0.051985922943544836,0.286,15/34,26.11%,FGF13;MME;CACNA1C;WWTR1;ANXA2;TNNI1;CAMK2D;TNNI3;ATP1A2;VIM;SORBS1;LMOD1;DMD;TLN1;CLIC2
gsea,REACTOME_AUTOPHAGY,0.6309682245409551,1.9019132975922137,0.006607929515418502,0.08756118507198532,0.445,7/11,20.69%,SQSTM1;EPAS1;PRKN;TUBAL3;TUBB1;VIM;PLIN2
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.6779762283172761,1.8971392314867976,0.0,0.08236400505480941,0.456,9/11,30.94%,CDK6;DDIT4;SESN2;FGFR1;AKT3;PRKAA1;RICTOR;TP63;VEGFA
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,-0.46460476807557405,-1.8929579738883058,0.00684931506849315,0.053279966490587104,0.332,5/24,21.03%,BRIP1;CDC25C;G6PD;TNFRSF10B;BNIP3L
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.571044730140533,1.8896788205145674,0.0,0.08116228556467192,0.475,5/15,16.89%,NEAT1;CD69;ITGAX;BCL6;STAT5A
gsea,WP_MAPK_SIGNALING,0.45621561178148007,1.8804751021391128,0.0026954177897574125,0.07888980319550161,0.49,10/31,29.43%,FGF13;TGFB2;CACNA1C;MKNK2;RAPGEF2;FGFR1;PLA2G4A;AKT3;MEF2C;JUND
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.6370577246529574,-1.8780749151240903,0.010330578512396695,0.05677814610865596,0.369,3/12,2.44%,CENPF;BUB1;CENPE
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,-0.6569679023325958,-1.8688102783347629,0.0040650406504065045,0.05665107548150389,0.392,3/11,2.44%,CENPF;BUB1;CENPE
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.5630796246479286,1.8614988771303973,0.013282732447817837,0.08588383433065597,0.534,6/14,21.77%,TGFB2;SQSTM1;LDHB;PKLR;ENPP3;GRB10
