Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.6977259475445912,2.0761335688307354,0.0,0.17074916194804704,0.115,6/11,16.98%,DDIT3;ASNS;KHSRP;GFPT1;TPP1;HYOU1
gsea,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0.5704010433858646,2.024964244450778,0.0022371364653243847,0.14815000816080554,0.186,13/18,31.28%,CENPE;TUBAL3;TUBB2B;CYTH4;COPE;COPA;MAN1A1;ARFIP2;KIF5A;PLA2G4A;USP6NL;KIF13B;TUBB2A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,0.49255665218042405,1.9977466161893924,0.0022222222222222222,0.12287243614692799,0.227,10/29,13.57%,KIF14;CENPE;BUB1;CENPF;CDC25C;BTK;TUBAL3;NOX1;TUBB2B;EVL
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,0.6556124360036919,1.9641681166598184,0.011741682974559686,0.1245464475385755,0.294,5/11,10.79%,CENPE;BUB1;CENPF;TUBAL3;TUBB2B
gsea,REACTOME_MITOTIC_PROMETAPHASE,0.6398605100227784,1.960575396852471,0.010080645161290322,0.10104332759984432,0.298,5/12,10.79%,CENPE;BUB1;CENPF;TUBAL3;TUBB2B
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,0.5972788948587442,1.9205740870234291,0.011627906976744186,0.11433497804952564,0.371,6/14,13.57%,CENPE;BUB1;CENPF;TUBAL3;TUBB2B;EVL
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.3720179431247092,1.8821079966395011,0.0018214936247723133,0.1322947288370583,0.465,41/69,38.99%,MDM2;DDIT3;SLC7A11;ASNS;KHSRP;SESN2;GFPT1;TXNIP;FKBP5;HBA2;TUBAL3;IL1A;GPX5;TUBB2B;SQSTM1;ME1;NUP214;SCMH1;TPP1;NQO1;HYOU1;ANAPC2;CAMK2D;PSMA1;HMGA1;MEF2C;GCLC;EPAS1;HIRA;EGF;PSMD5;TUBB2A;TNIK;CREB3L2;G6PD;EGLN3;ABCC1;HMOX1;ATF2;NPAS2;VEGFA
gsea,REACTOME_CELL_CYCLE,0.4484797177116951,1.8759007614836936,0.005714285714285714,0.12190987959673065,0.487,22/36,35.33%,TOP2A;CENPE;MDM2;BUB1;CENPF;CDC25C;TUBAL3;TUBB2B;LBR;TEX15;NUP214;CDC14A;ANAPC2;CDKN1C;PSMA1;CCND3;PSMD5;TUBB2A;CENPT;ZNF385A;KIF2A;PRKAR2B
gsea,REACTOME_M_PHASE,0.5163856628059584,1.8657431786183178,0.015296367112810707,0.1165111928586674,0.509,14/21,35.33%,CENPE;BUB1;CENPF;TUBAL3;TUBB2B;LBR;NUP214;ANAPC2;PSMA1;PSMD5;TUBB2A;CENPT;KIF2A;PRKAR2B
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,0.5713830707581228,1.8604901880895814,0.019011406844106463,0.10827505681176161,0.518,11/15,31.63%,CENPE;BUB1;CENPF;TUBAL3;TUBB2B;LBR;ANAPC2;PSMA1;PSMD5;TUBB2A;CENPT
