Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_INFECTIOUS_DISEASE,0.6240161613537564,2.885158602768673,0.0,0.0,0.0,25/60,18.54%,RPL3L;RAE1;PARP16;ELMO1;MAP1B;ITPR1;TXNRD1;TUBB4A;TXNIP;FYN;HMOX1;AKT3;SERPINE1;TUSC3;MYO10;TGFB1;HSPG2;PRKAR2B;C3;VAV1;TUBB2A;GPC5;ST6GAL1;TLR6;ST3GAL2
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.6485136639714627,2.831714171861603,0.0,0.0,0.0,18/40,18.54%,RPL3L;RAE1;PARP16;ELMO1;MAP1B;TUBB4A;FYN;AKT3;SERPINE1;TUSC3;TGFB1;HSPG2;VAV1;TUBB2A;GPC5;ST6GAL1;TLR6;ST3GAL2
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.5729275275162153,2.8058754453876995,0.0,0.0,0.0,23/74,14.01%,ACSBG1;INSIG1;AGMO;NCOA3;CYP4F2;FADS1;HSD17B11;HMGCS1;PPARD;ACSL4;TXNRD1;STARD4;ANGPTL4;FADS2;TNFAIP8;AGPAT4;PI4KA;MVD;PTGR1;B4GALT5;CGA;MBOAT2;GDPD5
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.5473960062583529,2.6359932833574193,0.0,0.0,0.0,21/59,14.97%,NCOA3;GCLC;CPEB4;SQSTM1;SLCO2B1;SERTAD2;FTL;PPARD;TXNRD1;ANGPTL4;G6PD;HMOX1;SERPINB9;CDKN1C;MFGE8;TGFB1;PTGR1;ABCB1;SLC6A6;FKBP5;SLC6A8
gsea,REACTOME_COLLAGEN_FORMATION,0.7418218689141982,2.610030825351254,0.0,0.0,0.0,2/20,3.30%,COL26A1;P4HA1
gsea,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.7461770327291154,2.5401218683213203,0.0,0.0,0.0,2/18,3.30%,COL26A1;P4HA1
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.7925088870250154,2.5327632778908318,0.0,0.0,0.0,6/14,9.52%,CPEB4;SERTAD2;ANGPTL4;SERPINB9;CDKN1C;MFGE8
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7984803872025528,-2.5083908869242824,0.0,0.0,0.0,11/15,13.19%,MDM2;CENPF;PSMD5;BRIP1;CDC25C;BUB1;CDC45;PSMA1;CENPE;B9D2;CENPT
gsea,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.6879907065496945,2.4911309579177146,0.0,0.0001942812902024018,0.001,7/21,15.61%,PARP16;TCN2;MTHFR;SLC23A2;HSPG2;ALDH1L2;GPC5
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5081354776751599,2.4693897598284353,0.0,0.00017269448017991272,0.001,26/66,18.45%,RPL3L;RAE1;GCLC;SQSTM1;DDIT3;TXNRD1;TNIK;TUBB4A;EGLN3;TXNIP;G6PD;HMOX1;AKT3;HSPA5;EPAS1;CREB3L2;FKBP5;HYOU1;SESN2;FKBP14;ATF2;TUBB2A;GRB10;HBA1;ASNS;CAMK2A
gsea,REACTOME_NEURONAL_SYSTEM,0.5053463848588389,2.4031624612698406,0.0,0.00015542503216192145,0.001,19/52,26.10%,PPM1E;GABRB3;KCNN2;NRXN3;TUBB4A;DLG2;ERBB4;KCNAB1;PRKCA;PRKAR2B;NCALD;TUBB2A;KCNH5;CAMK2A;SYT2;KCNJ6;GRIN2D;GABRG3;KCNQ5
gsea,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.5854762268943267,2.3824948785675364,0.0,0.0002825909675671299,0.002,9/29,15.38%,PPM1E;GABRB3;TUBB4A;DLG2;ERBB4;PRKCA;PRKAR2B;NCALD;TUBB2A
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6532365891635168,2.3737976477753953,0.0,0.0002590417202698691,0.002,6/23,16.21%,COL26A1;COL4A4;HSPG2;COL1A1;FN1;LAMB1
gsea,REACTOME_FATTY_ACID_METABOLISM,0.6371646103552558,2.356814096226424,0.0,0.0003586731511428956,0.003,7/23,11.58%,ACSBG1;CYP4F2;FADS1;PPARD;ACSL4;FADS2;PTGR1
gsea,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.5959106322863401,2.3552597891261176,0.0,0.0003330536403469745,0.003,12/29,18.54%,RAE1;FBP2;ALDOC;G6PD;CHST11;CEMIP;HSPG2;B4GALT5;RHCE;NDST4;GPC5;ST3GAL2
gsea,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.8048631746294495,2.3540915264031366,0.0,0.0003108500643238429,0.003,1/11,0.05%,COL26A1
gsea,REACTOME_COLLAGEN_DEGRADATION,0.7912593595071902,2.3500983960694954,0.0,0.00029142193530360273,0.003,1/12,0.05%,COL26A1
gsea,PID_HIF1_TFPATHWAY,0.7464486574955415,2.346030904159185,0.0,0.0002742794685210378,0.003,6/12,12.32%,EGLN3;HMOX1;TFRC;SERPINE1;NDRG1;ABCB1
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5036922830794658,2.336472650510004,0.0,0.0002590417202698691,0.003,21/47,26.69%,AGMO;TCN2;MTHFR;GABRB3;NRXN3;DLG2;SYP;PRKCA;AKT3;PRKAR2B;ALDH1L2;CNTNAP2;SESN2;GRM8;CNTN1;SCN9A;SCN4A;AKR1C3;GRIN2D;PIK3AP1;AKR1B1
