Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.5354546183405305,-2.92815161713315,0.0,0.0,0.0,45/115,20.90%,BMP7;SYTL2;EVL;ANK3;ADGRV1;PRKCA;COL4A5;PCSK6;MAML3;CHD4;ZFP36L2;NCOA3;TFRC;GFRA1;EPHA4;CACNA1C;TGFB1;ABL1;CCND3;EGFR;MYO10;RAB27A;FYN;GRB10;PSMA1;YES1;KRT7;SEMA7A;GMPR;ROBO1;MAML2;EFNA5;TCF4;EPHB6;WWTR1;GATA2;HIRA;MAPK12;FGFR1;SPTB;PLXNA4;CEACAM1;KRT16;PRKCQ;ITGA2B
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.5635872690003475,-2.488247814839878,0.0,0.0,0.0,25/60,20.90%,EVL;ANK3;ADGRV1;PRKCA;COL4A5;GFRA1;EPHA4;CACNA1C;ABL1;EGFR;MYO10;FYN;GRB10;PSMA1;YES1;SEMA7A;ROBO1;EFNA5;EPHB6;WWTR1;FGFR1;SPTB;PLXNA4;PRKCQ;ITGA2B
gsea,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-0.587283830302138,-2.397479741390106,0.0,0.0,0.0,10/32,8.40%,PRKCA;AREG;NRG3;SCMH1;CHD4;RICTOR;ERBB4;EGFR;FYN;PSMA1
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.7837160582856376,-2.371413935773923,0.0,0.0,0.0,5/11,6.08%,BMP7;ACVR1;TGFB1;INHBA;BMP6
gsea,WP_EGFEGFR_SIGNALING,-0.5824370410367734,-2.277597991094529,0.0,0.0005650003450735007,0.002,7/21,10.42%,PRKCA;NCOA3;RICTOR;ABL1;EGFR;GRB10;USP6NL
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.6395960262588885,-2.246687338459022,0.0,0.0009416672417891678,0.004,10/16,23.22%,BMP7;TET1;ACVR1;INHBA;TCF4;SLC2A12;FGFR1;ADAM19;LEF1;CSRP2
gsea,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.7170106188472416,2.2227546612100606,0.0,0.010901117260102329,0.023,3/11,1.83%,FDPS;HMGCS1;MVD
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.6642681473598436,-2.211455343146666,0.0,0.0018160725377362522,0.009,8/23,7.66%,GNA14;PRKCA;CACNA1C;ERBB4;EGFR;ITPKA;GRIN2D;PLCD1
gsea,REACTOME_ESR_MEDIATED_SIGNALING,-0.7309133678416663,-2.20878921159691,0.0,0.0015890634705192205,0.009,6/15,5.78%,AREG;NCOA3;FKBP5;ERBB4;KANK1;EGFR
gsea,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,-0.6206732413496592,-2.2055654906713187,0.0,0.0014125008626837518,0.009,6/17,10.92%,COL4A5;MKI67;TGFB1;FYN;MME;MYO1E
gsea,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,-0.6094946042121513,-2.15230791287557,0.0,0.0022600013802940026,0.016,6/17,12.55%,AREG;TFRC;EGFR;VAMP2;DNAJC6;STON2
gsea,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,-0.4817524976955652,-2.1245956237189745,0.0,0.0032102292333721625,0.022,19/46,23.47%,AREG;MAML3;NRG3;RICTOR;ERBB4;KANK1;TGFB1;EGFR;FYN;PSMA1;YES1;PIM1;BCR;MAML2;FGFR1;NRG1;ITGA2B;IL10RA;STAT5A
gsea,PID_PDGFRB_PATHWAY,-0.6903865921534723,-2.1183908772402793,0.001941747572815534,0.0030604185358147954,0.023,6/13,10.42%,PRKCA;ABL1;FYN;GRB10;YES1;USP6NL
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.718008688747282,-2.1182078662755375,0.0,0.0028250017253675036,0.023,5/11,10.42%,PRKCA;RICTOR;DIAPH3;EGFR;USP6NL
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5514874760480122,-2.115961046694983,0.0,0.002623215887841253,0.023,6/22,13.78%,BMP7;PRKCA;HMGA1;PLCD1;PDK1;CGA
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,-0.4800016271707501,-2.114963019724137,0.0,0.0025425015528307525,0.024,17/46,22.63%,PRKCA;KYNU;DLG2;RICTOR;CACNA1C;ABL1;EGFR;GAD1;VAMP2;GLUL;GRIN2D;CNTN5;NRXN3;GABRA3;TCN2;AKR1B1;SYP
gsea,WP_FRAGILE_X_SYNDROME,-0.709470663581936,-2.108954231920946,0.0,0.0026484391175320343,0.026,5/13,12.60%,PRKCA;EPHA4;GAD1;FYN;PDK1
gsea,WP_SPINAL_CORD_INJURY,-0.5684065738366538,-2.106862960153864,0.0,0.002658825153287062,0.028,5/19,5.78%,PRKCA;EPHA4;RTN4;TGFB1;EGFR
gsea,WP_ENDODERM_DIFFERENTIATION,-0.6631891710494624,-2.09462222641064,0.0,0.0027465294552184057,0.031,3/12,5.04%,BMP7;TET1;TGFB1
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.4927609155697176,-2.0804475045741175,0.0,0.002899343876035069,0.034,18/40,20.90%,AREG;NRG3;DLG2;NCOA3;GFRA1;ERBB4;CCND3;EGFR;FYN;GRIN2D;IGF2BP1;PSMA1;MAPK12;FGFR1;NRG1;SPTB;PRKCQ;ITGA2B
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.7224017110661789,-2.0641544477974976,0.0,0.0033900020704410038,0.039,6/10,12.06%,EVL;PRKCA;COL4A5;ABL1;PSMA1;ROBO1
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6849181098384318,-2.0336844148826514,0.0,0.005179169829840423,0.057,6/17,5.78%,PRKCA;AREG;NRG3;ERBB4;ABL1;EGFR
gsea,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,-0.5507938832298567,-2.025653809794586,0.001937984496124031,0.005393185112065233,0.062,7/17,16.65%,AREG;NRG3;ERBB4;EGFR;FYN;FGFR1;NRG1
gsea,REACTOME_CELL_CYCLE,-0.49776867518642837,-2.0099999186905806,0.002012072434607646,0.006202721179611256,0.073,13/34,18.03%,BRIP1;PRKCA;CDC45;ABL1;CCND3;CENPF;PSMA1;B9D2;NSL1;BUB1;KIF2A;TEX15;CDK6
